교차로번호,입력일자,교차로명,유형코드,연동교차로코드,구코드,지번,구경찰서코드,신경찰서코드,작업구분,표출구분,고객번호,계약종별,계량기번호,도로구분,관할사업소,교차로관리번호,공간데이터,신규정규화ID,이력ID,동코드,공사형태,지도표출구분,RN_CDE,MNG_AGEN,XCE,YCE
4501,-,서울대매점앞,002,0,620,803-3구,290,290,001,002,-,-,-,001,105,82-0000003052,,-,3052,10200,-,N,-,-,195406.930091261,540859.735540336
4502,-,쓰레기집하장(경보),001,0,620,23-1잡,290,290,001,002,-,-,-,001,105,82-0000005033,,-,5033,10200,-,N,-,-,192934.798157931,543393.578435204
4503,-,삼성산정산(경보),001,0,620,산97-14임,260,290,001,002,-,-,-,001,105,82-0000002031,,-,2031,10200,-,N,-,-,193221.857269868,540179.040241217
4504,-,연건119안전센터,001,-,110,-,150,150,001,002,-,-,-,001,107,82-0000000476,,4313012    ,476,16600,-,N,-,-,200192.054020344,553329.35014263
4505,-,한강현대아파트(경보),001,0,590,260천,220,220,001,002,-,-,-,001,105,82-0000001695,,3156092    ,1695,10500,-,N,-,-,197181.44020169,545228.089180491
4506,-,중앙대병원서측,003,0,590,143-21대,220,220,001,002,-,-,-,001,105,82-0000003124,,3137725    ,3124,10500,-,N,-,-,196547.67485,545364.015399726
4507,-,중앙대중문앞,002,0,590,186-135대,220,220,001,002,-,-,-,002,105,82-0000001672,,3136091    ,1672,10500,-,N,-,-,196204.734543071,545226.944269196
4508,-,재향군인회(연등),001,0,110,-,150,150,001,002,-,-,-,001,107,82-0000004157,,4301294    ,4157,15700,-,N,-,-,199780.631691521,552743.785279671
4509,-,한국생명과학연구소,001,0,110,-,150,150,001,002,-,-,-,002,107,82-0000004946,,4305134    ,4946,17000,-,N,-,-,199767.750783025,554415.350767279
4510,-,혜화역(연등)1,001,3680,110,-,150,150,001,002,-,-,-,001,107,82-0000004454,,4304916    ,4454,16900,-,N,-,-,200142.78937264,553810.622951816
4511,-,혜화역(연등)2,001,3680,110,-,150,150,001,002,-,-,-,001,107,82-0000001894,,4303965    ,1894,16800,-,N,-,-,200175.425631702,553590.974498187
4512,-,서울대병원앞,001,4504,110,1-38대,150,150,001,002,-,-,-,001,107,82-0000003712,,4313044    ,3712,16600,-,N,-,-,200186.45998295,553464.058837282
4513,-,서울사대부속초교,001,0,110,169-1 학,150,150,001,002,-,-,-,001,107,82-0000001703,,4312052    ,1703,16600,-,N,-,-,200215.17412,553032.057919869
4515,-,청계9가(연등)2,001,536,230,237-10도,200,200,001,002,-,-,-,001,109,82-0000002032,,4361033    ,2032,10200,-,N,-,-,202689.624871715,552408.313631509
4516,-,신동아아파트입구,001,657,230,105-27대,200,200,001,002,-,-,-,001,109,82-0000004869,,4361392    ,4869,10200,-,N,-,-,202864.590389234,552715.79822059
