method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,bo_selection_strategy,bo_candidate_source,bo_plateau_mode,bo_batch_slot,hold_feasibility,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,5,5,6,bo_r05_005_tl60_dt0_ge1_qr72_tau76,60,0,1,0.72,0.76,294.92,433.00,307.47,272.91,0.00,PASS,,recovery_detected,True,False,0,891,1,95,246436.28,-600663.99,1093536.54,367.98,228.17,ei,global,False,global_ei,0.6236659803920094,153.97,44.91,29.93,38.52,29.90,153.97,59.74,153.97,59.49,5.03672834,5,0.670889,307.47,,,
BO,20260607,5,6,6,bo_r05_006_tl106_dt206_ge49_qr8_tau85,106,206,49,0.08,0.85,658.92,287.80,625.18,272.91,0.00,PASS,,recovery_timeout,True,False,0,340,1,46,511079.86,-324762.80,1346922.52,2.65,0.78,ei,global,False,space_filling,0.2969678568759599,0.63,0.23,0.14,0.17,0.13,0.63,0.24,0.63,0.26,-0.46240348,5,0.799789,625.18,,,
BO,20260607,6,1,6,bo_r06_001_tl85_dt18_ge4_qr100_tau88,85,18,4,1.0,0.88,230.92,458.76,251.63,251.63,0.00,PASS,,recovery_detected,True,False,0,3273,0,39,-161292.19,-405914.11,83329.72,0.03,17.15,stable_success_lattice,stable_success,False,stable,0.24539817366329983,15.84,4.72,3.19,3.88,3.27,15.84,6.72,15.84,6.27,2.76246526,5,0.922049,251.63,,,
BO,20260607,6,2,6,bo_r06_002_tl82_dt18_ge4_qr100_tau88,82,18,4,1.0,0.88,230.92,458.76,251.63,251.63,0.00,PASS,,recovery_detected,True,False,0,3273,0,39,-388493.20,-646587.68,-130398.72,0.05,16.53,stable_success_lattice,stable_success,False,stable,0.2364911400797987,15.17,4.48,3.03,3.70,3.13,15.17,6.44,15.17,5.99,2.71930161,5,0.916357,251.63,,,
BO,20260607,6,3,6,bo_r06_003_tl18_dt2_ge41_qr62_tau71,18,2,41,0.62,0.71,363.92,434.71,370.35,251.63,0.00,PASS,,recovery_detected,True,False,0,5159,1,15,289278.70,-607942.66,1186500.06,199.72,118.97,ei,local,False,local_constrained,0.599445016478703,76.81,20.25,13.80,18.60,14.41,76.81,30.04,76.81,28.99,4.34138936,5,0.641621,370.35,,,
BO,20260607,6,4,6,bo_r06_004_tl1_dt0_ge44_qr62_tau73,1,0,44,0.62,0.73,0.00,485.95,1000044.18,251.63,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,545,1,23,229198.93,-643018.24,1101416.11,164.96,110.87,ei,local,False,local_constrained,0.6763561683073335,71.60,17.23,12.04,16.78,13.16,71.60,28.54,71.60,26.56,4.27103984,5,0.641697,44.18,,,
BO,20260607,6,5,6,bo_r06_005_tl23_dt217_ge0_qr21_tau78,23,217,0,0.21,0.78,313.92,431.16,324.58,251.63,0.00,PASS,,recovery_detected,True,False,0,1206,1,105,300351.75,-597481.59,1198185.09,189.16,128.60,ei,global,False,global_ei,0.6866365017516037,56.38,12.96,8.79,13.80,9.08,56.38,18.74,56.38,19.96,4.03211190,5,0.434070,324.58,,,
BO,20260607,6,6,6,bo_r06_006_tl106_dt191_ge49_qr11_tau79,106,191,49,0.11,0.79,657.92,285.49,624.06,251.63,0.00,PASS,,recovery_timeout,True,False,0,298,1,45,173577.94,-639828.67,986984.56,0.66,0.33,ei,global,False,space_filling,0.5077809762492366,0.25,0.09,0.06,0.07,0.05,0.25,0.09,0.25,0.10,-1.38405971,5,0.745342,624.06,,,
BO,20260607,7,1,6,bo_r07_001_tl80_dt22_ge3_qr100_tau89,80,22,3,1.0,0.89,234.92,450.24,254.49,251.63,0.00,PASS,,recovery_detected,True,False,0,2781,0,46,133017.48,-206493.93,472528.89,103.48,26.52,ei,stable_success,False,stable,0.2566644254154524,24.41,7.14,4.84,5.93,5.02,24.41,10.39,24.41,9.62,3.19508883,5,0.919152,254.49,,,
BO,20260607,7,2,6,bo_r07_002_tl80_dt22_ge4_qr100_tau89,80,22,4,1.0,0.89,227.92,449.83,248.09,248.09,0.00,PASS,,recovery_detected,True,False,0,2783,0,45,208415.63,-58281.12,475112.38,80.47,22.52,ei,stable_success,False,stable,0.2802177462635267,20.80,6.09,4.13,5.05,4.28,20.80,8.86,20.80,8.20,3.03488182,5,0.922402,248.09,,,
BO,20260607,7,3,6,bo_r07_003_tl69_dt34_ge0_qr98_tau89,69,34,0,0.98,0.89,0.00,484.32,1000044.03,248.09,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,2865,0,60,437243.37,-424147.12,1298633.86,271.03,138.58,ei,local,False,local_constrained,0.5123806858605332,122.24,34.38,23.53,29.34,24.74,122.24,51.92,122.24,47.69,4.80597857,5,0.880249,44.03,,,
BO,20260607,7,4,6,bo_r07_004_tl56_dt32_ge2_qr100_tau90,56,32,2,1.0,0.9,0.00,484.71,1000044.06,248.09,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,2853,0,56,301153.93,-575825.92,1178133.78,243.80,133.60,ei,local,False,local_constrained,0.5491411705432486,117.61,31.55,21.87,27.73,23.54,117.61,50.44,117.61,45.46,4.76736441,5,0.878464,44.06,,,
