method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,29,6,6,bo_r29_006_tl55_dt62_ge37_qr68_tau71,55,62,37,0.68,0.71,226.92,500.95,251.83,178.47,0.00,PASS,,recovery_detected,True,False,0,381,1,31,185.14,121.74,248.54,9.54,9.38,6.57,1.97,1.30,1.66,1.29,6.57,3.19,6.57,2.66,1.88225981,5,0.688733,251.83,,,
BO,20260607,30,1,6,bo_r30_001_tl96_dt42_ge31_qr51_tau83,96,42,31,0.51,0.83,184.92,499.65,213.53,178.47,0.00,PASS,,recovery_detected,True,False,0,1805,1,28,195.03,100.36,289.70,11.85,11.74,9.92,3.24,2.13,2.54,2.07,9.92,5.01,9.92,4.15,2.29426477,5,0.837175,213.53,,,
BO,20260607,30,2,6,bo_r30_002_tl64_dt49_ge37_qr69_tau70,64,49,37,0.69,0.7,158.92,513.01,191.11,178.47,0.00,PASS,,recovery_detected,True,False,0,1449,1,27,167.95,142.92,192.98,11.42,11.24,7.98,2.48,1.63,2.04,1.59,7.98,3.87,7.98,3.26,2.07739540,5,0.699272,191.11,,,
BO,20260607,30,3,6,bo_r30_003_tl46_dt34_ge37_qr40_tau89,46,34,37,0.4,0.89,191.92,495.89,219.55,178.47,0.00,PASS,,recovery_detected,True,False,0,2120,1,26,208.51,98.90,318.12,10.22,10.12,8.29,2.33,1.59,2.00,1.66,8.29,4.31,8.29,3.36,2.11523570,5,0.811316,219.55,,,
BO,20260607,30,4,6,bo_r30_004_tl56_dt25_ge41_qr68_tau77,56,25,41,0.68,0.77,165.92,507.90,197.01,178.47,0.00,PASS,,recovery_detected,True,False,0,2337,1,19,192.50,114.66,270.34,9.54,9.43,7.44,2.20,1.48,1.84,1.49,7.44,3.78,7.44,3.04,2.00654471,5,0.779331,197.01,,,
BO,20260607,30,5,6,bo_r30_005_tl89_dt9_ge38_qr20_tau80,89,9,38,0.2,0.8,176.92,499.89,206.28,178.47,0.00,PASS,,recovery_detected,True,False,0,4054,1,17,206.56,104.40,308.73,9.48,9.36,7.10,2.41,1.56,1.87,1.47,7.10,3.43,7.10,2.97,1.96074186,5,0.749123,206.28,,,
BO,20260607,30,6,6,bo_r30_006_tl56_dt16_ge43_qr53_tau88,56,16,43,0.53,0.88,177.92,504.91,207.65,178.47,0.00,PASS,,recovery_detected,True,False,0,3506,1,18,200.14,109.73,290.55,9.33,9.27,8.15,2.36,1.60,1.98,1.66,8.15,4.29,8.15,3.34,2.09773400,5,0.873229,207.65,,,
BO,20260607,31,3,6,bo_r31_003_tl58_dt18_ge47_qr85_tau70,58,18,47,0.85,0.7,164.92,507.38,196.05,178.47,0.00,PASS,,recovery_detected,True,False,0,3322,1,18,204.52,100.81,308.23,10.37,10.24,7.96,2.41,1.60,1.99,1.60,7.96,4.00,7.96,3.26,2.07479151,5,0.767980,196.05,,,
BO,20260607,31,2,6,bo_r31_002_tl58_dt21_ge46_qr82_tau75,58,21,46,0.82,0.75,162.92,507.80,194.27,178.47,0.00,PASS,,recovery_detected,True,False,0,2654,1,19,199.33,104.78,293.89,10.35,10.25,8.40,2.50,1.68,2.08,1.70,8.40,4.31,8.40,3.44,2.12820933,5,0.811730,194.27,,,
BO,20260607,31,1,6,bo_r31_001_tl73_dt25_ge29_qr15_tau71,73,25,29,0.15,0.71,164.92,507.78,196.09,178.47,0.00,PASS,,recovery_detected,True,False,0,2396,1,26,183.97,104.88,263.05,13.18,12.89,7.60,2.60,1.65,2.06,1.49,7.60,3.31,7.60,3.12,2.02831285,5,0.576742,196.09,,,
BO,20260607,31,4,6,bo_r31_004_tl104_dt52_ge33_qr62_tau84,104,52,33,0.62,0.84,265.92,480.63,285.44,178.47,0.00,PASS,,recovery_detected,True,False,0,895,1,35,207.02,102.55,311.49,9.76,9.70,8.71,2.86,1.88,2.22,1.83,8.71,4.47,8.71,3.66,2.16400960,5,0.892345,285.44,,,
