input_method,input_seed,input_round,input_parameter_id,input_t_lead,input_delta_T_thr,input_G_ext,input_Q_ratio,input_tau,output_D_E_sec,output_D_G_sec,weight_E,weight_G,weight_ratio,score,measured_T_free_EMV_sec,measured_T_actual_EMV_sec,measured_D_E_sec,measured_D_G_sec,measured_general_mean_travel_time_sec,stage2_on_count,stage3_on_count
BO,20260607,12,bo_r12_004_tl27_dt26_ge38_qr24_tau80,27,26,38,0.24,0.8,92.92,116.88,0.91,0.09,10:1,95.10,,,92.92,116.88,,1,17
BO,20260607,12,bo_r12_005_tl38_dt25_ge38_qr10_tau80,38,25,38,0.1,0.8,94.92,116.27,0.91,0.09,10:1,96.86,,,94.92,116.27,,1,17
BO,20260607,12,bo_r12_006_tl43_dt0_ge38_qr20_tau78,43,0,38,0.2,0.78,324.92,137.00,0.91,0.09,10:1,307.84,,,324.92,137.00,,1,36
BO,20260607,13,bo_r13_001_tl35_dt22_ge34_qr22_tau84,35,22,34,0.22,0.84,93.92,114.24,0.91,0.09,10:1,95.77,,,93.92,114.24,,1,17
BO,20260607,13,bo_r13_002_tl27_dt23_ge34_qr32_tau85,27,23,34,0.32,0.85,144.92,105.79,0.91,0.09,10:1,141.36,,,144.92,105.79,,0,19
BO,20260607,13,bo_r13_003_tl11_dt29_ge34_qr21_tau83,11,29,34,0.21,0.83,145.92,114.70,0.91,0.09,10:1,143.08,,,145.92,114.70,,1,22
BO,20260607,13,bo_r13_004_tl20_dt25_ge35_qr7_tau83,20,25,35,0.07,0.83,94.92,116.27,0.91,0.09,10:1,96.86,,,94.92,116.27,,1,17
BO,20260607,13,bo_r13_005_tl45_dt29_ge32_qr19_tau83,45,29,32,0.19,0.83,144.92,112.03,0.91,0.09,10:1,141.93,,,144.92,112.03,,1,24
BO,20260607,13,bo_r13_006_tl24_dt29_ge36_qr20_tau84,24,29,36,0.2,0.84,143.92,114.36,0.91,0.09,10:1,141.23,,,143.92,114.36,,1,21
BO,20260607,14,bo_r14_001_tl26_dt16_ge33_qr3_tau84,26,16,33,0.03,0.84,138.92,112.08,0.91,0.09,10:1,136.48,,,138.92,112.08,,1,18
BO,20260607,14,bo_r14_002_tl5_dt11_ge31_qr0_tau82,5,11,31,0.0,0.82,146.92,114.83,0.91,0.09,10:1,144.00,,,146.92,114.83,,1,17
BO,20260607,14,bo_r14_003_tl38_dt13_ge34_qr25_tau84,38,13,34,0.25,0.84,158.92,122.47,0.91,0.09,10:1,155.61,,,158.92,122.47,,1,17
BO,20260607,14,bo_r14_004_tl35_dt20_ge33_qr30_tau82,35,20,33,0.3,0.82,91.92,116.91,0.91,0.09,10:1,94.19,,,91.92,116.91,,1,17
BO,20260607,14,bo_r14_005_tl21_dt21_ge33_qr20_tau81,21,21,33,0.2,0.81,138.92,109.76,0.91,0.09,10:1,136.27,,,138.92,109.76,,1,17
BO,20260607,14,bo_r14_006_tl32_dt20_ge31_qr9_tau80,32,20,31,0.09,0.8,91.92,116.91,0.91,0.09,10:1,94.19,,,91.92,116.91,,1,17
BO,20260607,15,bo_r15_001_tl13_dt26_ge37_qr13_tau79,13,26,37,0.13,0.79,92.92,116.88,0.91,0.09,10:1,95.10,,,92.92,116.88,,1,17
BO,20260607,15,bo_r15_002_tl38_dt40_ge39_qr10_tau83,38,40,39,0.1,0.83,115.92,119.60,0.91,0.09,10:1,116.25,,,115.92,119.60,,1,22
BO,20260607,15,bo_r15_003_tl18_dt16_ge40_qr8_tau81,18,16,40,0.08,0.81,138.92,112.08,0.91,0.09,10:1,136.48,,,138.92,112.08,,1,18
BO,20260607,15,bo_r15_004_tl36_dt35_ge37_qr6_tau83,36,35,37,0.06,0.83,110.92,119.75,0.91,0.09,10:1,111.72,,,110.92,119.75,,1,20
BO,20260607,15,bo_r15_005_tl11_dt36_ge44_qr12_tau79,11,36,44,0.12,0.79,95.92,114.60,0.91,0.09,10:1,97.62,,,95.92,114.60,,1,17
BO,20260607,15,bo_r15_006_tl37_dt28_ge36_qr21_tau81,37,28,36,0.21,0.81,90.92,121.85,0.91,0.09,10:1,93.73,,,90.92,121.85,,1,19
BO,20260607,16,bo_r16_001_tl3_dt62_ge46_qr90_tau83,3,62,46,0.9,0.83,276.92,148.74,0.91,0.09,10:1,265.27,,,276.92,148.74,,0,25
BO,20260607,16,bo_r16_002_tl23_dt45_ge42_qr24_tau78,23,45,42,0.24,0.78,113.92,124.61,0.91,0.09,10:1,114.89,,,113.92,124.61,,1,19
BO,20260607,16,bo_r16_003_tl13_dt60_ge47_qr45_tau75,13,60,47,0.45,0.75,159.92,99.34,0.91,0.09,10:1,154.41,,,159.92,99.34,,0,23
BO,20260607,16,bo_r16_004_tl17_dt23_ge35_qr0_tau81,17,23,35,0.0,0.81,144.92,114.37,0.91,0.09,10:1,142.14,,,144.92,114.37,,1,19
BO,20260607,16,bo_r16_005_tl28_dt40_ge42_qr16_tau80,28,40,42,0.16,0.8,109.92,119.25,0.91,0.09,10:1,110.77,,,109.92,119.25,,1,19
