method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,observed_score,best_so_far,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score
BO,20260607,10,2,6,bo_r10_002_tl33_dt142_ge15_qr0_tau74,33,142,15,0.0,0.74,255.19,93.63,240.00,87.52,392.49,,,,,,,,,,,,,,
BO,20260607,10,3,6,bo_r10_003_tl111_dt95_ge35_qr42_tau87,111,95,35,0.42,0.87,350.47,93.63,240.00,87.52,392.49,,,,,,,,,,,,,,
BO,20260607,10,4,6,bo_r10_004_tl119_dt133_ge13_qr83_tau76,119,133,13,0.83,0.76,335.98,93.63,240.00,87.52,392.49,,,,,,,,,,,,,,
BO,20260607,10,5,6,bo_r10_005_tl103_dt217_ge30_qr85_tau82,103,217,30,0.85,0.82,271.33,93.63,240.00,87.52,392.49,,,,,,,,,,,,,,
BO,20260607,10,6,6,bo_r10_006_tl2_dt95_ge46_qr94_tau71,2,95,46,0.94,0.71,158.19,93.63,240.00,87.52,392.49,,,,,,,,,,,,,,
BO,20260607,11,1,6,bo_r11_001_tl24_dt27_ge35_qr16_tau80,24,27,35,0.16,0.8,96.66,93.63,241.23,88.23,394.23,11.17,10.94,6.83,1.84,1.24,1.68,1.27,6.83,3.26,6.83,2.69,1.92196431,5,0.611761
BO,20260607,11,2,6,bo_r11_002_tl29_dt47_ge34_qr22_tau81,29,47,34,0.22,0.81,153.52,93.63,241.23,88.23,394.23,10.38,10.18,6.62,1.79,1.21,1.62,1.25,6.62,3.20,6.62,2.62,1.88936207,5,0.637292
BO,20260607,11,3,6,bo_r11_003_tl11_dt67_ge36_qr25_tau90,11,67,36,0.25,0.9,390.54,93.63,241.23,88.23,394.23,10.07,9.92,7.18,1.75,1.23,1.67,1.36,7.18,3.70,7.18,2.82,1.97175468,5,0.713311
BO,20260607,11,4,6,bo_r11_004_tl31_dt56_ge36_qr18_tau86,31,56,36,0.18,0.86,183.56,93.63,241.23,88.23,394.23,10.04,9.87,6.93,1.88,1.28,1.68,1.33,6.93,3.45,6.93,2.76,1.93568382,5,0.690278
BO,20260607,11,5,6,bo_r11_005_tl8_dt39_ge39_qr26_tau84,8,39,39,0.26,0.84,135.27,93.63,241.23,88.23,394.23,9.55,9.38,6.32,1.55,1.08,1.49,1.17,6.32,3.17,6.32,2.46,1.84333694,5,0.661695
BO,20260607,11,6,6,bo_r11_006_tl22_dt72_ge35_qr15_tau73,22,72,35,0.15,0.73,174.80,93.63,241.23,88.23,394.23,9.38,9.14,4.85,1.31,0.87,1.22,0.86,4.85,2.14,4.85,1.88,1.57877942,5,0.516889
BO,20260607,12,1,6,bo_r12_001_tl31_dt23_ge37_qr9_tau78,31,23,37,0.09,0.78,143.10,93.63,236.49,77.55,395.42,24.14,23.62,14.31,4.05,2.69,3.59,2.68,14.31,6.66,14.31,5.66,2.66075180,5,0.592719
BO,20260607,12,2,6,bo_r12_002_tl31_dt0_ge36_qr9_tau79,31,0,36,0.09,0.79,200.38,93.63,236.49,77.55,395.42,23.72,23.23,14.39,4.07,2.71,3.60,2.71,14.39,6.77,14.39,5.71,2.66649780,5,0.606596
BO,20260607,12,3,6,bo_r12_003_tl28_dt29_ge37_qr20_tau80,28,29,37,0.2,0.8,99.59,93.63,236.49,77.55,395.42,21.77,21.35,13.81,3.78,2.55,3.39,2.61,13.81,6.66,13.81,5.47,2.62508268,5,0.634295
BO,20260607,12,4,6,bo_r12_004_tl27_dt26_ge38_qr24_tau80,27,26,38,0.24,0.8,95.10,93.63,236.49,77.55,395.42,21.63,21.23,13.98,3.80,2.57,3.42,2.65,13.98,6.80,13.98,5.54,2.63750973,5,0.646202
BO,20260607,12,5,6,bo_r12_005_tl38_dt25_ge38_qr10_tau80,38,25,38,0.1,0.8,96.86,93.63,236.49,77.55,395.42,20.79,20.39,13.14,3.81,2.53,3.30,2.51,13.14,6.24,13.14,5.26,2.57580782,5,0.632029
BO,20260607,12,6,6,bo_r12_006_tl43_dt0_ge38_qr20_tau78,43,0,38,0.2,0.78,307.84,93.63,236.49,77.55,395.42,18.82,18.48,12.22,3.61,2.39,3.09,2.36,12.22,5.84,12.22,4.92,2.50344847,5,0.649398
BO,20260607,13,1,6,bo_r13_001_tl35_dt22_ge34_qr22_tau84,35,22,34,0.22,0.84,95.77,93.63,229.87,65.86,393.89,18.77,18.46,12.90,3.57,2.42,3.15,2.49,12.90,6.39,12.90,5.15,2.55717008,5,0.687402
BO,20260607,13,2,6,bo_r13_002_tl27_dt23_ge34_qr32_tau85,27,23,34,0.32,0.85,141.36,93.63,229.87,65.86,393.89,17.85,17.58,12.64,3.35,2.30,3.03,2.43,12.64,6.39,12.64,5.02,2.53711134,5,0.708202
BO,20260607,13,3,6,bo_r13_003_tl11_dt29_ge34_qr21_tau83,11,29,34,0.21,0.83,143.08,93.63,229.87,65.86,393.89,17.51,17.17,11.03,2.74,1.89,2.62,2.03,11.03,5.43,11.03,4.29,2.40100946,5,0.630334
BO,20260607,13,4,6,bo_r13_004_tl20_dt25_ge35_qr7_tau83,20,25,35,0.07,0.83,96.86,93.63,229.87,65.86,393.89,16.72,16.39,10.31,2.72,1.85,2.51,1.92,10.31,4.97,10.31,4.05,2.33355109,5,0.616726
BO,20260607,13,5,6,bo_r13_005_tl45_dt29_ge32_qr19_tau83,45,29,32,0.19,0.83,141.93,93.63,229.87,65.86,393.89,16.44,16.16,11.15,3.22,2.15,2.78,2.17,11.15,5.44,11.15,4.49,2.41154693,5,0.678256
BO,20260607,13,6,6,bo_r13_006_tl24_dt29_ge36_qr20_tau84,24,29,36,0.2,0.84,141.23,93.63,229.87,65.86,393.89,16.24,15.96,10.85,2.88,1.96,2.62,2.06,10.85,5.37,10.85,4.29,2.38419149,5,0.668078
BO,20260607,14,1,6,bo_r14_001_tl26_dt16_ge33_qr3_tau84,26,16,33,0.03,0.84,136.48,93.63,221.94,54.99,388.89,32.30,31.67,20.17,5.46,3.69,4.95,3.78,20.17,9.70,20.17,7.96,3.00429508,5,0.624475
BO,20260607,14,2,6,bo_r14_002_tl5_dt11_ge31_qr0_tau82,5,11,31,0.0,0.82,144.00,93.63,221.94,54.99,388.89,29.08,28.40,16.10,3.90,2.68,3.86,2.85,16.10,7.54,16.10,6.16,2.77862708,5,0.553529
BO,20260607,14,3,6,bo_r14_003_tl38_dt13_ge34_qr25_tau84,38,13,34,0.25,0.84,155.61,93.63,221.94,54.99,388.89,24.86,24.47,17.46,4.89,3.30,4.28,3.39,17.46,8.69,17.46,7.00,2.85972728,5,0.702225
BO,20260607,14,4,6,bo_r14_004_tl35_dt20_ge33_qr30_tau82,35,20,33,0.3,0.82,94.19,93.63,221.94,54.99,388.89,24.84,24.42,16.94,4.68,3.16,4.14,3.26,16.94,8.37,16.94,6.76,2.82954415,5,0.681885
BO,20260607,14,5,6,bo_r14_005_tl21_dt21_ge33_qr20_tau81,21,21,33,0.2,0.81,136.27,93.63,221.94,54.99,388.89,24.86,24.37,15.47,4.06,2.76,3.75,2.88,15.47,7.48,15.47,6.07,2.73898878,5,0.622234
BO,20260607,14,6,6,bo_r14_006_tl32_dt20_ge31_qr9_tau80,32,20,31,0.09,0.8,94.19,93.63,221.94,54.99,388.89,23.91,23.40,14.29,3.99,2.67,3.57,2.67,14.29,6.70,14.29,5.65,2.65966230,5,0.597760
BO,20260607,15,1,6,bo_r15_001_tl13_dt26_ge37_qr13_tau79,13,26,37,0.13,0.79,95.10,93.63,215.14,46.78,383.50,26.79,26.20,15.57,4.00,2.72,3.78,2.83,15.57,7.36,15.57,6.04,2.74536816,5,0.581167
BO,20260607,15,2,6,bo_r15_002_tl38_dt40_ge39_qr10_tau83,38,40,39,0.1,0.83,116.25,93.63,215.14,46.78,383.50,23.75,23.33,15.77,4.52,3.02,3.92,3.04,15.77,7.66,15.77,6.32,2.75832807,5,0.664283
BO,20260607,15,3,6,bo_r15_003_tl18_dt16_ge40_qr8_tau81,18,16,40,0.08,0.81,136.48,93.63,215.14,46.78,383.50,23.33,22.86,14.29,3.79,2.57,3.49,2.65,14.29,6.85,14.29,5.61,2.65927970,5,0.612290
BO,20260607,15,4,6,bo_r15_004_tl36_dt35_ge37_qr6_tau83,36,35,37,0.06,0.83,111.72,93.63,215.14,46.78,383.50,19.74,19.37,12.75,3.63,2.43,3.17,2.44,12.75,6.14,12.75,5.09,2.54562327,5,0.646031
BO,20260607,15,5,6,bo_r15_005_tl11_dt36_ge44_qr12_tau79,11,36,44,0.12,0.79,97.62,93.63,215.14,46.78,383.50,18.47,18.07,10.99,2.84,1.93,2.67,2.01,10.99,5.24,10.99,4.28,2.39734922,5,0.595370
