method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,observed_score,best_so_far,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score
BO,20260607,37,1,6,bo_r37_001_tl10_dt41_ge47_qr10_tau71,10,41,47,0.1,0.71,307.83,93.63,178.81,15.08,342.54,38.83,37.83,19.77,5.24,3.49,4.95,3.49,19.77,8.71,19.77,7.61,2.98424970,5,0.509246
BO,20260607,37,2,6,bo_r37_002_tl24_dt18_ge46_qr18_tau83,24,18,46,0.18,0.83,327.95,93.63,178.81,15.08,342.54,31.65,31.13,21.76,5.92,4.02,5.29,4.18,21.76,10.83,21.76,8.67,3.08029800,5,0.687708
BO,20260607,37,3,6,bo_r37_003_tl17_dt25_ge40_qr25_tau83,17,25,40,0.25,0.83,311.97,93.63,178.81,15.08,342.54,22.58,22.19,15.15,3.92,2.70,3.62,2.86,15.15,7.56,15.15,5.97,2.71813514,5,0.670951
BO,20260607,37,4,6,bo_r37_004_tl0_dt0_ge50_qr28_tau77,0,0,50,0.28,0.77,356.27,93.63,178.81,15.08,342.54,18.46,18.09,11.47,2.83,1.96,2.72,2.10,11.47,5.62,11.47,4.45,2.44010218,5,0.621700
BO,20260607,37,5,6,bo_r37_005_tl0_dt22_ge46_qr16_tau76,0,22,46,0.16,0.76,324.95,93.63,178.81,15.08,342.54,17.67,17.26,9.95,2.44,1.68,2.39,1.78,9.95,4.68,9.95,3.82,2.29738236,5,0.563039
BO,20260607,37,6,6,bo_r37_006_tl9_dt43_ge45_qr10_tau70,9,43,45,0.1,0.7,285.29,93.63,178.81,15.08,342.54,17.61,17.14,8.62,2.27,1.51,2.16,1.50,8.62,3.73,8.62,3.30,2.15426386,5,0.489471
BO,20260607,38,1,6,bo_r38_001_tl1_dt34_ge47_qr13_tau75,1,34,47,0.13,0.75,314.17,93.63,182.60,14.92,350.29,24.47,23.89,13.38,3.32,2.26,3.24,2.37,13.38,6.20,13.38,5.13,2.59341256,5,0.546634
BO,20260607,38,2,6,bo_r38_002_tl33_dt21_ge29_qr5_tau82,33,21,29,0.05,0.82,315.82,93.63,182.60,14.92,350.29,20.25,19.83,12.25,3.41,2.28,3.05,2.30,12.25,5.78,12.25,4.85,2.50567888,5,0.605135
BO,20260607,38,3,6,bo_r38_003_tl32_dt24_ge33_qr18_tau80,32,24,33,0.18,0.8,345.07,93.63,182.60,14.92,350.29,16.64,16.31,10.40,2.89,1.94,2.57,1.96,10.40,4.97,10.40,4.12,2.34162754,5,0.624794
BO,20260607,38,4,6,bo_r38_004_tl31_dt31_ge37_qr30_tau76,31,31,37,0.3,0.76,325.58,93.63,182.60,14.92,350.29,15.86,15.54,9.82,2.74,1.83,2.44,1.85,9.82,4.67,9.82,3.89,2.28425834,5,0.618988
BO,20260607,38,5,6,bo_r38_005_tl19_dt6_ge48_qr14_tau77,19,6,48,0.14,0.77,339.24,93.63,182.60,14.92,350.29,15.57,15.25,9.55,2.61,1.76,2.36,1.79,9.55,4.54,9.55,3.77,2.25612942,5,0.613096
BO,20260607,38,6,6,bo_r38_006_tl20_dt38_ge37_qr11_tau83,20,38,37,0.11,0.83,304.77,93.63,182.60,14.92,350.29,15.47,15.17,9.74,2.56,1.74,2.36,1.82,9.74,4.73,9.74,3.82,2.27587115,5,0.629363
BO,20260607,39,1,6,bo_r39_001_tl26_dt18_ge29_qr20_tau79,26,18,29,0.2,0.79,338.16,93.63,186.33,14.95,357.70,29.88,29.25,17.83,4.78,3.23,4.38,3.30,17.83,8.44,17.83,6.99,2.88090388,5,0.596742
BO,20260607,39,2,6,bo_r39_002_tl28_dt4_ge30_qr22_tau77,28,4,30,0.22,0.77,391.09,93.63,186.33,14.95,357.70,29.48,28.85,17.39,4.76,3.19,4.31,3.22,17.39,8.15,17.39,6.84,2.85612959,5,0.590005
BO,20260607,39,3,6,bo_r39_003_tl0_dt22_ge50_qr10_tau74,0,22,50,0.1,0.74,324.95,93.63,186.33,14.95,357.70,29.35,28.64,15.84,3.97,2.70,3.85,2.81,15.84,7.28,15.84,6.07,2.76253240,5,0.539639
BO,20260607,39,4,6,bo_r39_004_tl32_dt38_ge29_qr18_tau83,32,38,29,0.18,0.83,407.68,93.63,186.33,14.95,357.70,24.76,24.30,15.87,4.32,2.92,3.89,3.00,15.87,7.70,15.87,6.28,2.76467699,5,0.641065
BO,20260607,39,5,6,bo_r39_005_tl47_dt30_ge38_qr21_tau83,47,30,38,0.21,0.83,309.58,93.63,186.33,14.95,357.70,24.14,23.76,17.04,4.99,3.33,4.25,3.35,17.04,8.40,17.04,6.89,2.83531386,5,0.705773
BO,20260607,39,6,6,bo_r39_006_tl24_dt21_ge36_qr10_tau80,24,21,36,0.1,0.8,316.42,93.63,186.33,14.95,357.70,22.74,22.26,13.69,3.71,2.50,3.38,2.55,13.69,6.49,13.69,5.39,2.61683403,5,0.602209
BO,20260607,40,1,6,bo_r40_001_tl38_dt20_ge30_qr14_tau82,38,20,30,0.14,0.82,316.79,93.63,190.47,13.65,367.29,41.68,40.89,26.63,7.53,5.04,6.62,5.08,26.63,12.78,26.63,10.61,3.28218329,5,0.638961
BO,20260607,40,2,6,bo_r40_002_tl53_dt16_ge40_qr22_tau79,53,16,40,0.22,0.79,317.39,93.63,190.47,13.65,367.29,35.05,34.47,24.00,7.32,4.83,6.10,4.74,24.00,11.60,24.00,9.76,3.17825099,5,0.684853
BO,20260607,40,3,6,bo_r40_003_tl58_dt13_ge42_qr26_tau81,58,13,42,0.26,0.81,319.07,93.63,190.47,13.65,367.29,30.71,30.28,22.49,6.90,4.57,5.69,4.50,22.49,11.10,22.49,9.21,3.11317285,5,0.732461
BO,20260607,40,4,6,bo_r40_004_tl22_dt26_ge29_qr9_tau86,22,26,29,0.09,0.86,306.05,93.63,190.47,13.65,367.29,26.09,25.60,16.65,4.33,2.96,4.01,3.11,16.65,8.15,16.65,6.54,2.81262579,5,0.638243
BO,20260607,40,5,6,bo_r40_005_tl35_dt22_ge41_qr15_tau78,35,22,41,0.15,0.78,317.12,93.63,190.47,13.65,367.29,24.74,24.26,15.52,4.47,2.98,3.90,2.96,15.52,7.36,15.52,6.20,2.74228623,5,0.627352
BO,20260607,40,6,6,bo_r40_006_tl36_dt9_ge30_qr13_tau79,36,9,30,0.13,0.79,343.00,93.63,190.47,13.65,367.29,23.83,23.34,14.37,4.09,2.72,3.61,2.71,14.37,6.73,14.37,5.70,2.66524481,5,0.603007
BO,20260607,41,1,6,bo_r41_001_tl29_dt21_ge41_qr14_tau85,29,21,41,0.14,0.85,317.52,93.63,193.71,14.64,372.77,30.99,30.49,21.44,5.89,3.99,5.22,4.13,21.44,10.67,21.44,8.56,3.06521474,5,0.691768
BO,20260607,41,2,6,bo_r41_002_tl31_dt21_ge30_qr12_tau81,31,21,30,0.12,0.81,325.16,93.63,193.71,14.64,372.77,22.70,22.23,13.86,3.82,2.56,3.43,2.60,13.86,6.58,13.86,5.48,2.62914231,5,0.610702
BO,20260607,41,3,6,bo_r41_003_tl43_dt17_ge37_qr7_tau81,43,17,37,0.07,0.81,320.70,93.63,193.71,14.64,372.77,20.33,19.95,13.08,3.86,2.56,3.30,2.52,13.08,6.23,13.08,5.26,2.57106592,5,0.643419
BO,20260607,41,4,6,bo_r41_004_tl38_dt24_ge31_qr26_tau83,38,24,31,0.26,0.83,339.06,93.63,193.71,14.64,372.77,15.52,15.26,10.57,2.95,1.99,2.59,2.04,10.57,5.21,10.57,4.22,2.35767571,5,0.680945
BO,20260607,41,5,6,bo_r41_005_tl57_dt39_ge31_qr18_tau80,57,39,31,0.18,0.8,413.87,93.63,193.71,14.64,372.77,14.70,14.43,9.67,2.96,1.94,2.47,1.89,9.67,4.60,9.67,3.92,2.26885408,5,0.657843
BO,20260607,41,6,6,bo_r41_006_tl60_dt16_ge36_qr32_tau84,60,16,36,0.32,0.84,317.39,93.63,193.71,14.64,372.77,13.86,13.69,10.58,3.19,2.12,2.64,2.12,10.58,5.31,10.58,4.33,2.35873767,5,0.763046
BO,20260607,42,1,6,bo_r42_001_tl26_dt40_ge34_qr14_tau76,26,40,34,0.14,0.76,383.62,93.63,197.25,14.71,379.79,40.52,39.58,22.68,6.23,4.15,5.67,4.15,22.68,10.37,22.68,8.88,3.12143886,5,0.559731
BO,20260607,42,2,6,bo_r42_002_tl34_dt15_ge33_qr37_tau81,34,15,33,0.37,0.81,316.99,93.63,197.25,14.71,379.79,35.53,34.95,24.42,6.70,4.54,5.95,4.70,24.42,12.12,24.42,9.74,3.19543981,5,0.687275
BO,20260607,42,3,6,bo_r42_003_tl38_dt19_ge47_qr7_tau77,38,19,47,0.07,0.77,312.22,93.63,197.25,14.71,379.79,26.40,25.87,16.44,4.91,3.23,4.19,3.16,16.44,7.70,16.44,6.60,2.79950864,5,0.622677
BO,20260607,42,4,6,bo_r42_004_tl23_dt43_ge35_qr22_tau74,23,43,35,0.22,0.74,430.25,93.63,197.25,14.71,379.79,24.04,23.48,13.32,3.60,2.41,3.32,2.42,13.32,6.09,13.32,5.19,2.58940256,5,0.554157
BO,20260607,42,5,6,bo_r42_005_tl26_dt28_ge34_qr5_tau77,26,28,34,0.05,0.77,347.20,93.63,197.25,14.71,379.79,21.57,21.06,11.91,3.30,2.19,2.99,2.18,11.91,5.41,11.91,4.66,2.47774692,5,0.552328
BO,20260607,42,6,6,bo_r42_006_tl9_dt50_ge46_qr35_tau83,9,50,46,0.35,0.83,340.50,93.63,197.25,14.71,379.79,17.31,17.03,12.01,3.00,2.09,2.82,2.26,12.01,6.11,12.01,4.71,2.48569342,5,0.693857
BO,20260607,43,1,6,bo_r43_001_tl28_dt11_ge32_qr22_tau84,28,11,32,0.22,0.84,328.01,93.63,201.01,14.18,387.84,32.55,31.99,21.86,5.86,3.99,5.30,4.16,21.86,10.82,21.86,8.67,3.08472117,5,0.671640
BO,20260607,43,2,6,bo_r43_002_tl30_dt18_ge34_qr28_tau79,30,18,34,0.28,0.79,328.53,93.63,201.01,14.18,387.84,31.80,31.20,20.33,5.57,3.76,4.99,3.85,20.33,9.83,20.33,8.05,3.01195676,5,0.639159
BO,20260607,43,3,6,bo_r43_003_tl31_dt34_ge43_qr12_tau81,31,34,43,0.12,0.81,287.30,93.63,201.01,14.18,387.84,26.60,26.11,17.28,4.86,3.26,4.28,3.30,17.28,8.35,17.28,6.89,2.84931690,5,0.649489
BO,20260607,43,4,6,bo_r43_004_tl35_dt28_ge34_qr22_tau75,35,28,34,0.22,0.75,347.20,93.63,201.01,14.18,387.84,23.79,23.28,13.96,3.99,2.65,3.52,2.61,13.96,6.46,13.96,5.53,2.63639790,5,0.586804
BO,20260607,43,5,6,bo_r43_005_tl27_dt25_ge26_qr0_tau81,27,25,26,0.0,0.81,306.79,93.63,201.01,14.18,387.84,20.19,19.73,11.33,3.07,2.05,2.82,2.07,11.33,5.20,11.33,4.42,2.42714872,5,0.560869
BO,20260607,43,6,6,bo_r43_006_tl26_dt18_ge33_qr28_tau81,26,18,33,0.28,0.81,348.70,93.63,201.01,14.18,387.84,18.88,18.53,12.29,3.28,2.23,2.98,2.32,12.29,6.02,12.29,4.85,2.50850636,5,0.650942
BO,20260607,44,1,6,bo_r44_001_tl4_dt15_ge42_qr1_tau76,4,15,42,0.01,0.76,308.10,93.63,203.88,15.56,392.20,21.52,20.98,11.25,2.84,1.92,2.76,1.98,11.25,5.09,11.25,4.30,2.42057295,5,0.522871
BO,20260607,44,2,6,bo_r44_002_tl36_dt23_ge36_qr29_tau86,36,23,36,0.29,0.86,325.75,93.63,203.88,15.56,392.20,21.18,20.88,15.55,4.28,2.91,3.77,3.03,15.55,7.88,15.55,6.24,2.74398388,5,0.734178
BO,20260607,44,3,6,bo_r44_003_tl0_dt20_ge48_qr25_tau75,0,20,48,0.25,0.75,317.91,93.63,203.88,15.56,392.20,19.99,19.55,11.61,2.85,1.97,2.78,2.09,11.61,5.54,11.61,4.47,2.45176132,5,0.580672
BO,20260607,44,4,6,bo_r44_004_tl45_dt37_ge40_qr30_tau82,45,37,40,0.3,0.82,314.09,93.63,203.88,15.56,392.20,18.47,18.19,13.25,3.84,2.57,3.28,2.60,13.25,6.59,13.25,5.36,2.58395900,5,0.717525
BO,20260607,44,5,6,bo_r44_005_tl29_dt45_ge43_qr20_tau83,29,45,43,0.2,0.83,384.73,93.63,203.88,15.56,392.20,17.14,16.86,11.73,3.22,2.18,2.86,2.25,11.73,5.81,11.73,4.68,2.46200372,5,0.684275
BO,20260607,44,6,6,bo_r44_006_tl0_dt20_ge46_qr24_tau74,0,20,46,0.24,0.74,317.91,93.63,203.88,15.56,392.20,16.60,16.22,9.31,2.28,1.57,2.24,1.66,9.31,4.38,9.31,3.57,2.23095149,5,0.560772
BO,20260607,45,1,6,bo_r45_001_tl3_dt15_ge48_qr10_tau77,3,15,48,0.1,0.77,308.10,93.63,206.70,16.88,396.53,28.85,28.20,16.54,4.17,2.85,4.00,2.98,16.54,7.80,16.54,6.39,2.80552464,5,0.573230
BO,20260607,45,2,6,bo_r45_002_tl29_dt20_ge25_qr17_tau85,29,20,25,0.17,0.85,317.01,93.63,206.70,16.88,396.53,17.14,16.82,11.09,2.95,2.01,2.69,2.09,11.09,5.43,11.09,4.38,2.40634654,5,0.647234
BO,20260607,45,3,6,bo_r45_003_tl25_dt50_ge34_qr39_tau82,25,50,34,0.39,0.82,318.29,93.63,206.70,16.88,396.53,17.11,16.82,11.66,3.05,2.09,2.79,2.21,11.66,5.83,11.66,4.61,2.45583369,5,0.681325
BO,20260607,45,4,6,bo_r45_004_tl22_dt36_ge29_qr38_tau78,22,36,29,0.38,0.78,285.27,93.63,206.70,16.88,396.53,15.33,15.02,9.46,2.45,1.67,2.29,1.75,9.46,4.58,9.46,3.70,2.24717153,5,0.617180
BO,20260607,45,5,6,bo_r45_005_tl35_dt34_ge30_qr36_tau81,35,34,30,0.36,0.81,295.19,93.63,206.70,16.88,396.53,14.77,14.52,9.92,2.71,1.84,2.42,1.90,9.92,4.89,9.92,3.95,2.29497770,5,0.671806
BO,20260607,45,6,6,bo_r45_006_tl32_dt28_ge41_qr20_tau81,32,28,41,0.2,0.81,333.27,93.63,206.70,16.88,396.53,12.41,12.19,8.26,2.31,1.55,2.03,1.58,8.26,4.03,8.26,3.30,2.11105077,5,0.665529
BO,20260607,46,1,6,bo_r46_001_tl34_dt32_ge41_qr33_tau80,34,32,41,0.33,0.8,311.69,93.63,208.99,18.89,399.08,34.59,34.03,23.80,6.65,4.49,5.84,4.60,23.80,11.77,23.80,9.53,3.16988979,5,0.688147
BO,20260607,46,2,6,bo_r46_002_tl29_dt22_ge41_qr31_tau77,29,22,41,0.31,0.77,317.12,93.63,208.99,18.89,399.08,29.86,29.31,19.24,5.33,3.59,4.74,3.66,19.24,9.31,19.24,7.65,2.95703742,5,0.644302
BO,20260607,46,3,6,bo_r46_003_tl42_dt18_ge42_qr24_tau81,42,18,42,0.24,0.81,326.86,93.63,208.99,18.89,399.08,16.47,16.21,11.50,3.34,2.24,2.86,2.25,11.50,5.66,11.50,4.64,2.44256568,5,0.698461
BO,20260607,46,4,6,bo_r46_004_tl72_dt38_ge44_qr83_tau76,72,38,44,0.83,0.76,281.80,93.63,208.99,18.89,399.08,15.47,15.34,12.97,3.99,2.66,3.24,2.66,12.97,6.66,12.97,5.37,2.56298348,5,0.838487
BO,20260607,46,5,6,bo_r46_005_tl43_dt40_ge40_qr8_tau77,43,40,40,0.08,0.77,286.71,93.63,208.99,18.89,399.08,15.39,15.07,9.32,2.80,1.84,2.39,1.78,9.32,4.31,9.32,3.74,2.23214901,5,0.605442
BO,20260607,46,6,6,bo_r46_006_tl47_dt21_ge31_qr41_tau83,47,21,31,0.41,0.83,316.42,93.63,208.99,18.89,399.08,14.83,14.62,10.88,3.10,2.09,2.67,2.14,10.88,5.47,10.88,4.39,2.38673073,5,0.733420
BO,20260607,47,1,6,bo_r47_001_tl5_dt33_ge49_qr4_tau77,5,33,49,0.04,0.77,313.39,93.63,211.11,20.97,401.26,99.67,97.37,55.89,14.32,9.72,13.63,10.06,55.89,26.02,55.89,21.61,4.02342932,5,0.560768
BO,20260607,47,2,6,bo_r47_002_tl65_dt22_ge47_qr74_tau71,65,22,47,0.74,0.71,317.12,93.63,211.11,20.97,401.26,13.31,13.15,10.17,3.17,2.09,2.58,2.06,10.17,5.06,10.17,4.19,2.31911589,5,0.763707
BO,20260607,47,3,6,bo_r47_003_tl3_dt12_ge32_qr13_tau84,3,12,32,0.13,0.84,328.01,93.63,211.11,20.97,401.26,12.74,12.48,7.72,1.83,1.28,1.82,1.40,7.72,3.78,7.72,2.97,2.04439025,5,0.606229
BO,20260607,47,4,6,bo_r47_004_tl21_dt31_ge35_qr15_tau82,21,31,35,0.15,0.82,293.58,93.63,211.11,20.97,401.26,12.20,11.96,7.63,2.01,1.37,1.85,1.42,7.63,3.69,7.63,2.99,2.03165045,5,0.625070
BO,20260607,47,5,6,bo_r47_005_tl44_dt24_ge37_qr26_tau80,44,24,37,0.26,0.8,329.96,93.63,211.11,20.97,401.26,11.95,11.75,8.10,2.36,1.57,2.02,1.58,8.10,3.94,8.10,3.26,2.09182729,5,0.677896
BO,20260607,47,6,6,bo_r47_006_tl0_dt27_ge47_qr12_tau73,0,27,47,0.12,0.73,316.41,93.63,211.11,20.97,401.26,10.54,10.28,5.51,1.37,0.93,1.34,0.96,5.51,2.50,5.51,2.10,1.70605455,5,0.522357
BO,20260607,48,1,6,bo_r48_001_tl10_dt23_ge44_qr21_tau77,10,23,44,0.21,0.77,316.60,93.63,213.35,22.87,403.84,25.43,24.89,15.18,3.90,2.66,3.67,2.78,15.18,7.25,15.18,5.91,2.71970095,5,0.596691
BO,20260607,48,2,6,bo_r48_002_tl29_dt40_ge40_qr26_tau79,29,40,40,0.26,0.79,286.71,93.63,213.35,22.87,403.84,17.97,17.64,11.61,3.20,2.16,2.85,2.21,11.61,5.63,11.61,4.61,2.45210953,5,0.646257
BO,20260607,48,3,6,bo_r48_003_tl28_dt39_ge40_qr22_tau78,28,39,40,0.22,0.78,287.00,93.63,213.35,22.87,403.84,17.49,17.15,10.92,3.02,2.03,2.70,2.06,10.92,5.22,10.92,4.32,2.39043374,5,0.624181
BO,20260607,48,4,6,bo_r48_004_tl50_dt41_ge32_qr51_tau75,50,41,32,0.51,0.75,281.07,93.63,213.35,22.87,403.84,15.97,15.70,10.74,3.15,2.10,2.69,2.09,10.74,5.21,10.74,4.33,2.37426491,5,0.672568
BO,20260607,48,5,6,bo_r48_005_tl35_dt12_ge38_qr21_tau81,35,12,38,0.21,0.81,324.17,93.63,213.35,22.87,403.84,12.92,12.70,8.63,2.43,1.64,2.13,1.66,8.63,4.21,8.63,3.45,2.15488070,5,0.667666
BO,20260607,48,6,6,bo_r48_006_tl67_dt41_ge37_qr61_tau83,67,41,37,0.61,0.83,300.24,93.63,213.35,22.87,403.84,10.25,10.16,8.51,2.56,1.71,2.11,1.73,8.51,4.38,8.51,3.50,2.14155783,5,0.830429
BO,20260607,49,1,6,bo_r49_001_tl0_dt34_ge49_qr13_tau78,0,34,49,0.13,0.78,293.93,93.63,215.14,25.07,405.22,29.71,29.06,17.36,4.28,2.95,4.15,3.13,17.36,8.30,17.36,6.70,2.85423195,5,0.584393
BO,20260607,49,2,6,bo_r49_002_tl9_dt23_ge37_qr22_tau80,9,23,37,0.22,0.8,327.00,93.63,215.14,25.07,405.22,16.56,16.22,10.06,2.50,1.73,2.40,1.84,10.06,4.88,10.06,3.90,2.30865072,5,0.607599
BO,20260607,49,3,6,bo_r49_003_tl34_dt22_ge27_qr17_tau80,34,22,27,0.17,0.8,317.52,93.63,215.14,25.07,405.22,15.03,14.72,9.12,2.53,1.69,2.27,1.71,9.12,4.31,9.12,3.61,2.21081032,5,0.606911
BO,20260607,49,4,6,bo_r49_004_tl34_dt23_ge41_qr28_tau82,34,23,41,0.28,0.82,316.60,93.63,215.14,25.07,405.22,13.61,13.39,9.53,2.66,1.80,2.33,1.85,9.53,4.74,9.53,3.82,2.25481794,5,0.700544
BO,20260607,49,5,6,bo_r49_005_tl44_dt26_ge30_qr9_tau84,44,26,30,0.09,0.84,311.18,93.63,215.14,25.07,405.22,9.65,9.48,6.35,1.84,1.22,1.59,1.23,6.35,3.07,6.35,2.55,1.84850258,5,0.657813
BO,20260607,49,6,6,bo_r49_006_tl58_dt30_ge35_qr23_tau80,58,30,35,0.23,0.8,312.64,93.63,215.14,25.07,405.22,9.35,9.20,6.42,1.97,1.30,1.64,1.27,6.42,3.10,6.42,2.62,1.86014172,5,0.686983
BO,20260607,50,1,6,bo_r50_001_tl5_dt39_ge44_qr29_tau74,5,39,44,0.29,0.74,311.65,93.63,217.14,27.05,407.24,27.31,26.69,15.56,3.87,2.65,3.75,2.80,15.56,7.35,15.56,6.00,2.74501159,5,0.569920
BO,20260607,50,2,6,bo_r50_002_tl33_dt31_ge37_qr21_tau82,33,31,37,0.21,0.82,325.58,93.63,217.14,27.05,407.24,22.04,21.66,14.70,4.08,2.75,3.61,2.82,14.70,7.20,14.70,5.86,2.68785231,5,0.666871
BO,20260607,50,3,6,bo_r50_003_tl11_dt32_ge42_qr23_tau71,11,32,42,0.23,0.71,314.67,93.63,217.14,27.05,407.24,10.26,10.00,5.42,1.41,0.95,1.34,0.96,5.42,2.44,5.42,2.09,1.68995800,5,0.528335
BO,20260607,50,4,6,bo_r50_004_tl8_dt42_ge39_qr29_tau75,8,42,39,0.29,0.75,357.89,93.63,217.14,27.05,407.24,10.13,9.90,5.76,1.43,0.98,1.39,1.03,5.76,2.72,5.76,2.22,1.75144733,5,0.569096
BO,20260607,50,5,6,bo_r50_005_tl40_dt32_ge29_qr52_tau82,40,32,29,0.52,0.82,293.94,93.63,217.14,27.05,407.24,9.85,9.71,7.16,1.96,1.34,1.73,1.39,7.16,3.62,7.16,2.87,1.96889626,5,0.727198
BO,20260607,50,6,6,bo_r50_006_tl43_dt37_ge36_qr33_tau85,43,37,36,0.33,0.85,305.93,93.63,217.14,27.05,407.24,9.09,8.97,6.74,1.90,1.29,1.65,1.33,6.74,3.41,6.74,2.72,1.90824730,5,0.741241
