change_type,from_edge,to_edge,tl,link_index,old_state,new_state,old_pass,new_pass,old_keepClear,new_keepClear,old_priority,new_priority,reason
connection_priority,218773869#7,218773869#8,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,9,O,O,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,218773869#7,218773869#8,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,10,O,O,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,218773869#8,218773869#9,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,218773869#8,218773869#9,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,218773869#8,218773869#9,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,218773869#9,219696193#1,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,25,O,O,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,218773869#9,219696193#1,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,26,O,O,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,333557072#3,333557072#5,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,333557072#3,333557072#5,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,333557072#3,333557072#5,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,333557072#5,619147738#0,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,333557072#5,619147738#0,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,333557072#5,619147738#0,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,347237859#0,347237859#1,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,347237859#0,347237859#1,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,347237859#0,347237859#1,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,347237859#1,347237859#2,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,347237859#1,347237859#2,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,347237859#1,347237859#2,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,347237859#2,347237859#3,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,347237859#2,347237859#3,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,347237859#2,347237859#3,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,347237859#3,347237859#4,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,347237859#3,347237859#4,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,347237859#3,347237859#4,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,347237859#4,347237859#5,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,347237859#4,347237859#5,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,347237859#4,347237859#5,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,347237859#5,781985787#0,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,347237859#5,781985787#0,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,347237859#5,781985787#0,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,420361196,180445419,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,420361196,180445419,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,619147738#0,619147738#1,joinedS_11139302899_11139302904_11178710208_cluster_11139302901_4704751520_5593950663_5593950669_#1more_#1more,2,O,O,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,619147738#0,619147738#1,joinedS_11139302899_11139302904_11178710208_cluster_11139302901_4704751520_5593950663_5593950669_#1more_#1more,3,O,O,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,619147738#0,619147738#1,joinedS_11139302899_11139302904_11178710208_cluster_11139302901_4704751520_5593950663_5593950669_#1more_#1more,4,O,O,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,781985787#0,218915135#3,joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,18,o,o,,true,,false,,,firetruck_route_release_connection_priority
