method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,observed_score,best_so_far,surrogate_mean,surrogate_ci_low,surrogate_ci_high,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score
BO,20260607,6,2,6,bo_r06_002_tl8_dt204_ge36_qr80_tau76,8,204,36,0.8,0.76,242.61,91.20,234.53,67.80,401.25,,,,,,,,,,,,,
BO,20260607,6,3,6,bo_r06_003_tl28_dt22_ge33_qr35_tau76,28,22,33,0.35,0.76,139.52,91.20,234.53,67.80,401.25,,,,,,,,,,,,,
BO,20260607,6,4,6,bo_r06_004_tl86_dt232_ge20_qr22_tau70,86,232,20,0.22,0.7,272.39,91.20,234.53,67.80,401.25,,,,,,,,,,,,,
BO,20260607,6,5,6,bo_r06_005_tl82_dt60_ge33_qr40_tau89,82,60,33,0.4,0.89,230.52,91.20,234.53,67.80,401.25,,,,,,,,,,,,,
BO,20260607,6,6,6,bo_r06_006_tl81_dt122_ge8_qr4_tau70,81,122,8,0.04,0.7,377.86,91.20,234.53,67.80,401.25,,,,,,,,,,,,,
BO,20260607,7,1,6,bo_r07_001_tl58_dt81_ge42_qr4_tau82,58,81,42,0.04,0.82,188.96,91.20,239.98,73.95,406.01,,,,,,,,,,,,,
BO,20260607,7,2,6,bo_r07_002_tl12_dt115_ge48_qr61_tau70,12,115,48,0.61,0.7,265.30,91.20,239.98,73.95,406.01,,,,,,,,,,,,,
BO,20260607,7,3,6,bo_r07_003_tl73_dt176_ge11_qr55_tau84,73,176,11,0.55,0.84,299.23,91.20,239.98,73.95,406.01,,,,,,,,,,,,,
BO,20260607,7,4,6,bo_r07_004_tl26_dt15_ge37_qr40_tau84,26,15,37,0.4,0.84,139.80,91.20,239.98,73.95,406.01,,,,,,,,,,,,,
BO,20260607,7,5,6,bo_r07_005_tl106_dt115_ge29_qr23_tau87,106,115,29,0.23,0.87,212.54,91.20,239.98,73.95,406.01,,,,,,,,,,,,,
BO,20260607,7,6,6,bo_r07_006_tl34_dt110_ge15_qr88_tau86,34,110,15,0.88,0.86,284.04,91.20,239.98,73.95,406.01,,,,,,,,,,,,,
BO,20260607,8,1,6,bo_r08_001_tl103_dt74_ge32_qr38_tau71,103,74,32,0.38,0.71,227.95,91.20,238.79,79.40,398.18,,,,,,,,,,,,,
BO,20260607,8,2,6,bo_r08_002_tl12_dt66_ge2_qr31_tau79,12,66,2,0.31,0.79,277.02,91.20,238.79,79.40,398.18,,,,,,,,,,,,,
BO,20260607,8,3,6,bo_r08_003_tl52_dt209_ge43_qr9_tau88,52,209,43,0.09,0.88,198.39,91.20,238.79,79.40,398.18,,,,,,,,,,,,,
BO,20260607,8,4,6,bo_r08_004_tl53_dt156_ge33_qr38_tau86,53,156,33,0.38,0.86,338.97,91.20,238.79,79.40,398.18,,,,,,,,,,,,,
BO,20260607,8,5,6,bo_r08_005_tl23_dt153_ge44_qr17_tau73,23,153,44,0.17,0.73,153.11,91.20,238.79,79.40,398.18,,,,,,,,,,,,,
BO,20260607,8,6,6,bo_r08_006_tl17_dt76_ge27_qr36_tau87,17,76,27,0.36,0.87,152.73,91.20,238.79,79.40,398.18,,,,,,,,,,,,,
BO,20260607,9,1,6,bo_r09_001_tl106_dt21_ge32_qr45_tau74,106,21,32,0.45,0.74,138.63,91.20,237.03,80.64,393.42,,,,,,,,,,,,,
BO,20260607,9,2,6,bo_r09_002_tl105_dt75_ge12_qr84_tau87,105,75,12,0.84,0.87,272.91,91.20,237.03,80.64,393.42,,,,,,,,,,,,,
BO,20260607,9,3,6,bo_r09_003_tl42_dt234_ge39_qr55_tau84,42,234,39,0.55,0.84,257.29,91.20,237.03,80.64,393.42,,,,,,,,,,,,,
BO,20260607,9,4,6,bo_r09_004_tl119_dt231_ge27_qr7_tau70,119,231,27,0.07,0.7,269.57,91.20,237.03,80.64,393.42,,,,,,,,,,,,,
BO,20260607,9,5,6,bo_r09_005_tl57_dt68_ge11_qr91_tau90,57,68,11,0.91,0.9,199.77,91.20,237.03,80.64,393.42,,,,,,,,,,,,,
BO,20260607,9,6,6,bo_r09_006_tl32_dt111_ge6_qr52_tau83,32,111,6,0.52,0.83,248.26,91.20,237.03,80.64,393.42,,,,,,,,,,,,,
BO,20260607,10,1,6,bo_r10_001_tl78_dt33_ge41_qr96_tau79,78,33,41,0.96,0.79,139.61,91.20,236.37,85.60,387.14,,,,,,,,,,,,,
BO,20260607,10,2,6,bo_r10_002_tl33_dt142_ge15_qr0_tau74,33,142,15,0.0,0.74,251.38,91.20,236.37,85.60,387.14,,,,,,,,,,,,,
BO,20260607,10,3,6,bo_r10_003_tl111_dt95_ge35_qr42_tau87,111,95,35,0.42,0.87,345.32,91.20,236.37,85.60,387.14,,,,,,,,,,,,,
BO,20260607,10,4,6,bo_r10_004_tl119_dt133_ge13_qr83_tau76,119,133,13,0.83,0.76,332.04,91.20,236.37,85.60,387.14,,,,,,,,,,,,,
BO,20260607,10,5,6,bo_r10_005_tl103_dt217_ge30_qr85_tau82,103,217,30,0.85,0.82,267.69,91.20,236.37,85.60,387.14,,,,,,,,,,,,,
BO,20260607,10,6,6,bo_r10_006_tl2_dt95_ge46_qr94_tau71,2,95,46,0.94,0.71,156.06,91.20,236.37,85.60,387.14,,,,,,,,,,,,,
BO,20260607,11,1,6,bo_r11_001_tl70_dt39_ge50_qr97_tau90,70,39,50,0.97,0.9,139.80,91.20,237.60,86.31,388.89,0.84,0.84,0.25,0.17,0.21,0.18,0.84,0.48,0.84,0.36,-0.17591640,5,1.000000
BO,20260607,11,2,6,bo_r11_002_tl119_dt36_ge32_qr92_tau87,119,36,32,0.92,0.87,106.47,91.20,237.60,86.31,388.89,0.84,0.84,0.28,0.19,0.22,0.18,0.84,0.46,0.84,0.36,-0.17591640,5,1.000000
BO,20260607,11,3,6,bo_r11_003_tl119_dt53_ge41_qr88_tau89,119,53,41,0.88,0.89,181.27,91.20,237.60,86.31,388.89,0.84,0.84,0.29,0.19,0.22,0.19,0.84,0.48,0.84,0.37,-0.17591640,5,1.000000
BO,20260607,11,4,6,bo_r11_004_tl119_dt97_ge38_qr81_tau88,119,97,38,0.81,0.88,274.26,91.20,237.60,86.31,388.89,0.84,0.84,0.28,0.18,0.21,0.18,0.84,0.45,0.84,0.36,-0.17591640,5,1.000000
BO,20260607,11,5,6,bo_r11_005_tl115_dt181_ge44_qr91_tau84,115,181,44,0.91,0.84,233.62,91.20,237.60,86.31,388.89,0.82,0.82,0.27,0.18,0.21,0.18,0.82,0.43,0.82,0.35,-0.19358135,5,0.982490
BO,20260607,11,6,6,bo_r11_006_tl44_dt9_ge38_qr99_tau90,44,9,38,0.99,0.9,169.17,91.20,237.60,86.31,388.89,0.81,0.81,0.22,0.15,0.19,0.17,0.81,0.45,0.81,0.33,-0.20602329,5,0.970342
BO,20260607,12,1,6,bo_r12_001_tl51_dt11_ge50_qr97_tau88,51,11,50,0.97,0.88,155.03,91.20,232.73,81.70,383.77,0.97,0.97,0.27,0.19,0.23,0.20,0.97,0.53,0.97,0.40,-0.02899136,5,0.994202
BO,20260607,12,2,6,bo_r12_002_tl119_dt0_ge40_qr60_tau88,119,0,40,0.6,0.88,278.48,91.20,232.73,81.70,383.77,0.97,0.97,0.33,0.22,0.25,0.21,0.97,0.51,0.97,0.41,-0.02891799,5,0.994275
BO,20260607,12,3,6,bo_r12_003_tl90_dt163_ge49_qr100_tau84,90,163,49,1.0,0.84,282.57,91.20,232.73,81.70,383.77,0.96,0.96,0.30,0.20,0.24,0.20,0.96,0.51,0.96,0.40,-0.04175753,5,0.981590
BO,20260607,12,4,6,bo_r12_004_tl107_dt175_ge48_qr89_tau84,107,175,48,0.89,0.84,283.59,91.20,232.73,81.70,383.77,0.96,0.96,0.31,0.21,0.24,0.20,0.96,0.50,0.96,0.40,-0.04505974,5,0.978354
BO,20260607,12,5,6,bo_r12_005_tl115_dt164_ge50_qr61_tau88,115,164,50,0.61,0.88,371.64,91.20,232.73,81.70,383.77,0.96,0.96,0.32,0.21,0.24,0.20,0.96,0.50,0.96,0.41,-0.04489135,5,0.978519
BO,20260607,12,6,6,bo_r12_006_tl121_dt149_ge35_qr68_tau89,121,149,35,0.68,0.89,247.20,91.20,232.73,81.70,383.77,0.95,0.95,0.32,0.21,0.24,0.20,0.95,0.50,0.95,0.40,-0.05155958,5,0.972016
BO,20260607,13,1,6,bo_r13_001_tl95_dt84_ge39_qr94_tau88,95,84,39,0.94,0.88,280.32,91.20,235.82,85.43,386.21,0.86,0.86,0.27,0.18,0.21,0.18,0.86,0.47,0.86,0.36,-0.15096890,5,1.000000
BO,20260607,13,2,6,bo_r13_002_tl98_dt222_ge44_qr91_tau90,98,222,44,0.91,0.9,233.62,91.20,235.82,85.43,386.21,0.86,0.86,0.27,0.18,0.21,0.18,0.86,0.47,0.86,0.36,-0.15096890,5,1.000000
BO,20260607,13,3,6,bo_r13_003_tl103_dt40_ge48_qr100_tau83,103,40,48,1.0,0.83,133.44,91.20,235.82,85.43,386.21,0.86,0.86,0.28,0.19,0.22,0.19,0.86,0.47,0.86,0.37,-0.15096890,5,1.000000
BO,20260607,13,4,6,bo_r13_004_tl115_dt6_ge46_qr59_tau89,115,6,46,0.59,0.89,172.89,91.20,235.82,85.43,386.21,0.86,0.86,0.29,0.19,0.22,0.19,0.86,0.46,0.86,0.37,-0.15096890,5,1.000000
BO,20260607,13,5,6,bo_r13_005_tl118_dt26_ge47_qr97_tau84,118,26,47,0.97,0.84,132.53,91.20,235.82,85.43,386.21,0.86,0.86,0.30,0.20,0.23,0.20,0.86,0.48,0.86,0.38,-0.15096890,5,1.000000
BO,20260607,13,6,6,bo_r13_006_tl119_dt67_ge45_qr85_tau89,119,67,45,0.85,0.89,181.50,91.20,235.82,85.43,386.21,0.86,0.86,0.30,0.20,0.23,0.20,0.86,0.49,0.86,0.38,-0.15096890,5,1.000000
BO,20260607,14,1,6,bo_r14_001_tl114_dt161_ge49_qr97_tau85,114,161,49,0.97,0.85,282.57,91.20,232.22,82.86,381.58,0.93,0.93,0.31,0.21,0.24,0.21,0.93,0.51,0.93,0.40,-0.06972113,5,1.000000
BO,20260607,14,2,6,bo_r14_002_tl121_dt13_ge50_qr98_tau90,121,13,50,0.98,0.9,139.86,91.20,232.22,82.86,381.58,0.93,0.93,0.35,0.23,0.27,0.23,0.93,0.58,0.93,0.43,-0.06972113,5,1.000000
BO,20260607,14,3,6,bo_r14_003_tl76_dt26_ge48_qr70_tau89,76,26,48,0.7,0.89,132.53,91.20,232.22,82.86,381.58,0.91,0.91,0.27,0.19,0.22,0.19,0.91,0.49,0.91,0.38,-0.09662911,5,0.973451
BO,20260607,14,4,6,bo_r14_004_tl98_dt37_ge29_qr76_tau90,98,37,29,0.76,0.9,111.02,91.20,232.22,82.86,381.58,0.91,0.91,0.28,0.19,0.23,0.19,0.91,0.48,0.91,0.38,-0.09761645,5,0.972490
BO,20260607,14,5,6,bo_r14_005_tl98_dt62_ge44_qr94_tau83,98,62,44,0.94,0.83,224.22,91.20,232.22,82.86,381.58,0.91,0.91,0.29,0.19,0.23,0.19,0.91,0.48,0.91,0.38,-0.08912790,5,0.980780
BO,20260607,14,6,6,bo_r14_006_tl118_dt39_ge22_qr78_tau88,118,39,22,0.78,0.88,131.97,91.20,232.22,82.86,381.58,0.90,0.90,0.30,0.20,0.23,0.19,0.90,0.47,0.90,0.38,-0.10343983,5,0.966843
BO,20260607,15,1,6,bo_r15_001_tl113_dt134_ge30_qr91_tau89,113,134,30,0.91,0.89,267.69,91.20,227.80,77.02,378.58,1.14,1.14,0.36,0.24,0.28,0.24,1.14,0.61,1.14,0.48,0.12960169,5,1.000000
BO,20260607,15,2,6,bo_r15_002_tl118_dt21_ge36_qr75_tau88,118,21,36,0.75,0.88,138.63,91.20,227.80,77.02,378.58,1.14,1.14,0.38,0.25,0.29,0.25,1.14,0.61,1.14,0.49,0.12960169,5,1.000000
BO,20260607,15,3,6,bo_r15_003_tl62_dt4_ge50_qr77_tau89,62,4,50,0.77,0.89,266.25,91.20,227.80,77.02,378.58,1.11,1.11,0.32,0.22,0.27,0.23,1.11,0.60,1.11,0.46,0.10758738,5,0.978226
BO,20260607,15,4,6,bo_r15_004_tl100_dt115_ge23_qr100_tau88,100,115,23,1.0,0.88,262.80,91.20,227.80,77.02,378.58,1.11,1.11,0.34,0.23,0.27,0.23,1.11,0.59,1.11,0.46,0.10047673,5,0.971295
BO,20260607,15,5,6,bo_r15_005_tl119_dt65_ge43_qr84_tau82,119,65,43,0.84,0.82,181.66,91.20,227.80,77.02,378.58,1.11,1.11,0.37,0.25,0.29,0.24,1.11,0.58,1.11,0.47,0.10767200,5,0.978309
BO,20260607,15,6,6,bo_r15_006_tl103_dt17_ge25_qr97_tau85,103,17,25,0.97,0.85,140.49,91.20,227.80,77.02,378.58,1.10,1.10,0.35,0.23,0.27,0.23,1.10,0.58,1.10,0.46,0.09803574,5,0.968927
BO,20260607,16,1,6,bo_r16_001_tl89_dt181_ge44_qr95_tau89,89,181,44,0.95,0.89,233.62,91.20,226.59,77.75,375.43,1.10,1.10,0.33,0.23,0.27,0.23,1.10,0.60,1.10,0.46,0.09857883,5,1.000000
BO,20260607,16,2,6,bo_r16_002_tl94_dt23_ge42_qr100_tau86,94,23,42,1.0,0.86,138.75,91.20,226.59,77.75,375.43,1.10,1.10,0.35,0.24,0.28,0.24,1.10,0.61,1.10,0.47,0.09857883,5,1.000000
BO,20260607,16,3,6,bo_r16_003_tl94_dt74_ge46_qr91_tau88,94,74,46,0.91,0.88,249.79,91.20,226.59,77.75,375.43,1.10,1.10,0.35,0.24,0.28,0.24,1.10,0.61,1.10,0.47,0.09857883,5,1.000000
BO,20260607,16,4,6,bo_r16_004_tl97_dt78_ge49_qr78_tau88,97,78,49,0.78,0.88,247.89,91.20,226.59,77.75,375.43,1.10,1.10,0.35,0.24,0.28,0.24,1.10,0.59,1.10,0.47,0.09857883,5,1.000000
BO,20260607,16,5,6,bo_r16_005_tl103_dt90_ge42_qr78_tau89,103,90,42,0.78,0.89,180.47,91.20,226.59,77.75,375.43,1.10,1.10,0.35,0.23,0.28,0.24,1.10,0.59,1.10,0.47,0.09857883,5,1.000000
BO,20260607,16,6,6,bo_r16_006_tl110_dt113_ge33_qr91_tau88,110,113,33,0.91,0.88,338.97,91.20,226.59,77.75,375.43,1.10,1.10,0.35,0.23,0.28,0.23,1.10,0.59,1.10,0.46,0.09857883,5,1.000000
BO,20260607,17,1,6,bo_r17_001_tl78_dt8_ge46_qr92_tau89,78,8,46,0.92,0.89,157.16,91.20,226.90,79.56,374.24,1.03,1.03,0.32,0.22,0.26,0.22,1.03,0.58,1.03,0.44,0.03228027,5,1.000000
BO,20260607,17,2,6,bo_r17_002_tl97_dt195_ge42_qr100_tau90,97,195,42,1.0,0.9,263.49,91.20,226.90,79.56,374.24,1.03,1.03,0.32,0.22,0.26,0.22,1.03,0.57,1.03,0.44,0.03228027,5,1.000000
BO,20260607,17,3,6,bo_r17_003_tl100_dt16_ge48_qr90_tau84,100,16,48,0.9,0.84,139.00,91.20,226.90,79.56,374.24,1.03,1.03,0.33,0.22,0.26,0.22,1.03,0.56,1.03,0.44,0.03228027,5,1.000000
BO,20260607,17,4,6,bo_r17_004_tl110_dt111_ge27_qr98_tau90,110,111,27,0.98,0.9,248.90,91.20,226.90,79.56,374.24,1.03,1.03,0.33,0.22,0.26,0.22,1.03,0.56,1.03,0.44,0.03228027,5,1.000000
BO,20260607,17,5,6,bo_r17_005_tl120_dt28_ge27_qr98_tau86,120,28,27,0.98,0.86,159.61,91.20,226.90,79.56,374.24,1.03,1.03,0.34,0.23,0.26,0.22,1.03,0.56,1.03,0.44,0.03228027,5,1.000000
BO,20260607,17,6,6,bo_r17_006_tl63_dt17_ge37_qr95_tau90,63,17,37,0.95,0.9,152.20,91.20,226.90,79.56,374.24,1.02,1.02,0.29,0.20,0.24,0.21,1.02,0.56,1.02,0.42,0.02066802,5,0.988455
BO,20260607,18,1,6,bo_r18_001_tl97_dt85_ge38_qr95_tau88,97,85,38,0.95,0.88,208.97,91.20,224.54,78.48,370.60,1.07,1.07,0.33,0.22,0.27,0.23,1.07,0.58,1.07,0.45,0.06373018,5,1.000000
BO,20260607,18,2,6,bo_r18_002_tl102_dt62_ge39_qr83_tau88,102,62,39,0.83,0.88,280.27,91.20,224.54,78.48,370.60,1.07,1.07,0.34,0.23,0.27,0.23,1.07,0.57,1.07,0.45,0.06373018,5,1.000000
BO,20260607,18,3,6,bo_r18_003_tl103_dt155_ge49_qr97_tau86,103,155,49,0.97,0.86,282.57,91.20,224.54,78.48,370.60,1.07,1.07,0.34,0.23,0.27,0.23,1.07,0.58,1.07,0.45,0.06373018,5,1.000000
BO,20260607,18,4,6,bo_r18_004_tl109_dt81_ge39_qr95_tau86,109,81,39,0.95,0.86,280.32,91.20,224.54,78.48,370.60,1.07,1.07,0.35,0.23,0.27,0.23,1.07,0.58,1.07,0.45,0.06373018,5,1.000000
BO,20260607,18,5,6,bo_r18_005_tl115_dt45_ge42_qr76_tau90,115,45,42,0.76,0.9,212.90,91.20,224.54,78.48,370.60,1.07,1.07,0.36,0.24,0.28,0.24,1.07,0.59,1.07,0.46,0.06373018,5,1.000000
BO,20260607,18,6,6,bo_r18_006_tl105_dt27_ge47_qr96_tau81,105,27,47,0.96,0.81,134.60,91.20,224.54,78.48,370.60,1.06,1.06,0.34,0.23,0.27,0.23,1.06,0.56,1.06,0.45,0.05856358,5,0.994847
BO,20260607,19,1,6,bo_r19_001_tl84_dt209_ge49_qr97_tau90,84,209,49,0.97,0.9,282.57,91.20,225.02,80.84,369.21,0.98,0.98,0.30,0.20,0.24,0.21,0.98,0.54,0.98,0.41,-0.02466609,5,1.000000
BO,20260607,19,2,6,bo_r19_002_tl99_dt101_ge32_qr96_tau90,99,101,32,0.96,0.9,296.44,91.20,225.02,80.84,369.21,0.98,0.98,0.30,0.20,0.24,0.21,0.98,0.53,0.98,0.41,-0.02466609,5,1.000000
BO,20260607,19,3,6,bo_r19_003_tl100_dt73_ge42_qr88_tau87,100,73,42,0.88,0.87,218.68,91.20,225.02,80.84,369.21,0.98,0.98,0.31,0.21,0.24,0.21,0.98,0.52,0.98,0.41,-0.02466609,5,1.000000
BO,20260607,19,4,6,bo_r19_004_tl115_dt29_ge43_qr90_tau85,115,29,43,0.9,0.85,133.82,91.20,225.02,80.84,369.21,0.98,0.98,0.33,0.22,0.25,0.22,0.98,0.53,0.98,0.42,-0.02466609,5,1.000000
BO,20260607,19,5,6,bo_r19_005_tl115_dt36_ge41_qr49_tau90,115,36,41,0.49,0.9,107.59,91.20,225.02,80.84,369.21,0.95,0.95,0.32,0.21,0.24,0.20,0.95,0.50,0.95,0.40,-0.04837779,5,0.976567
BO,20260607,19,6,6,bo_r19_006_tl86_dt100_ge44_qr99_tau83,86,100,44,0.99,0.83,179.88,91.20,225.02,80.84,369.21,0.94,0.94,0.29,0.19,0.23,0.20,0.94,0.50,0.94,0.39,-0.06366086,5,0.961756
BO,20260607,20,1,6,bo_r20_001_tl76_dt1_ge48_qr92_tau86,76,1,48,0.92,0.86,248.98,91.20,223.87,79.69,368.06,1.01,1.01,0.30,0.21,0.25,0.21,1.01,0.55,1.01,0.42,0.01477233,5,0.999911
BO,20260607,20,2,6,bo_r20_002_tl76_dt19_ge49_qr85_tau89,76,19,49,0.85,0.89,138.94,91.20,223.87,79.69,368.06,1.01,1.01,0.31,0.21,0.25,0.22,1.01,0.56,1.01,0.43,0.01486168,5,1.000000
BO,20260607,20,3,6,bo_r20_003_tl95_dt16_ge46_qr100_tau87,95,16,46,1.0,0.87,139.00,91.20,223.87,79.69,368.06,1.01,1.01,0.33,0.22,0.26,0.23,1.01,0.58,1.01,0.44,0.01486168,5,1.000000
BO,20260607,20,4,6,bo_r20_004_tl108_dt100_ge44_qr99_tau90,108,100,44,0.99,0.9,179.88,91.20,223.87,79.69,368.06,1.01,1.01,0.34,0.23,0.27,0.23,1.01,0.59,1.01,0.45,0.01486168,5,1.000000
BO,20260607,20,5,6,bo_r20_005_tl109_dt32_ge35_qr85_tau85,109,32,35,0.85,0.85,133.87,91.20,223.87,79.69,368.06,0.99,0.99,0.32,0.21,0.25,0.21,0.99,0.52,0.99,0.42,-0.00627823,5,0.979082
BO,20260607,20,6,6,bo_r20_006_tl113_dt81_ge48_qr51_tau89,113,81,48,0.51,0.89,236.69,91.20,223.87,79.69,368.06,0.99,0.99,0.33,0.22,0.25,0.21,0.99,0.52,0.99,0.42,-0.00774606,5,0.977646
BO,20260607,21,1,6,bo_r21_001_tl99_dt47_ge36_qr100_tau86,99,47,36,1.0,0.86,164.33,91.20,221.66,78.34,364.97,1.06,1.06,0.33,0.22,0.26,0.23,1.06,0.57,1.06,0.45,0.05758648,5,1.000000
BO,20260607,21,2,6,bo_r21_002_tl101_dt18_ge40_qr100_tau90,101,18,40,1.0,0.9,158.79,91.20,221.66,78.34,364.97,1.06,1.06,0.35,0.24,0.28,0.24,1.06,0.62,1.06,0.47,0.05758648,5,1.000000
BO,20260607,21,3,6,bo_r21_003_tl121_dt80_ge50_qr70_tau85,121,80,50,0.7,0.85,207.53,91.20,221.66,78.34,364.97,1.06,1.06,0.36,0.24,0.27,0.23,1.06,0.55,1.06,0.45,0.05753320,5,0.999947
BO,20260607,21,4,6,bo_r21_004_tl120_dt209_ge40_qr91_tau86,120,209,40,0.91,0.86,278.48,91.20,221.66,78.34,364.97,1.05,1.05,0.34,0.23,0.27,0.22,1.05,0.55,1.05,0.44,0.05030016,5,0.992740
BO,20260607,21,5,6,bo_r21_005_tl120_dt58_ge13_qr94_tau87,120,58,13,0.94,0.87,218.07,91.20,221.66,78.34,364.97,1.02,1.02,0.33,0.22,0.26,0.22,1.02,0.54,1.02,0.43,0.02031606,5,0.963416
