method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,delay_A,delay_N,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
Random Search,20260607,6,4,6,rs_r06_004_tl28_dt35_ge2_qr93_tau70,28,35,2,0.93,0.7,137.92,77.20,132.40,110.26,0.00,PASS,,recovery_detected,True,False,0,1753,0,49,,,,,,,,,,,,,,,,,132.40,,,
Random Search,20260607,6,5,6,rs_r06_005_tl68_dt113_ge20_qr57_tau72,68,113,20,0.57,0.72,273.92,97.81,257.91,110.26,0.00,PASS,,recovery_detected,True,False,0,363,0,51,,,,,,,,,,,,,,,,,257.91,,,
Random Search,20260607,6,6,6,rs_r06_006_tl27_dt5_ge14_qr40_tau87,27,5,14,0.4,0.87,266.92,79.29,249.86,110.26,0.00,PASS,,recovery_detected,True,False,0,4848,0,20,,,,,,,,,,,,,,,,,249.86,,,
Random Search,20260607,7,1,6,rs_r07_001_tl76_dt228_ge7_qr1_tau77,76,228,7,0.01,0.77,366.92,83.15,341.12,110.26,0.00,PASS,,recovery_detected,True,False,0,916,1,81,,,,,,,,,,,,,,,,,341.12,,,
Random Search,20260607,7,2,6,rs_r07_002_tl10_dt107_ge8_qr98_tau73,10,107,8,0.98,0.73,297.92,103.02,280.20,110.26,0.00,PASS,,recovery_detected,True,False,0,1124,0,71,,,,,,,,,,,,,,,,,280.20,,,
Random Search,20260607,7,3,6,rs_r07_003_tl50_dt49_ge36_qr85_tau84,50,49,36,0.85,0.84,194.92,75.02,184.02,110.26,0.00,PASS,,recovery_detected,True,False,0,1167,0,30,,,,,,,,,,,,,,,,,184.02,,,
Random Search,20260607,7,4,6,rs_r07_004_tl81_dt31_ge26_qr88_tau71,81,31,26,0.88,0.71,137.92,88.13,133.39,110.26,0.00,PASS,,recovery_detected,True,False,0,1834,0,28,,,,,,,,,,,,,,,,,133.39,,,
Random Search,20260607,7,5,6,rs_r07_005_tl69_dt127_ge27_qr15_tau85,69,127,27,0.15,0.85,288.92,84.66,270.35,110.26,0.00,PASS,,recovery_detected,True,False,0,305,1,43,,,,,,,,,,,,,,,,,270.35,,,
Random Search,20260607,7,6,6,rs_r07_006_tl64_dt47_ge9_qr93_tau77,64,47,9,0.93,0.77,291.92,103.02,274.75,110.26,0.00,PASS,,recovery_detected,True,False,0,1845,0,61,,,,,,,,,,,,,,,,,274.75,,,
Random Search,20260607,8,1,6,rs_r08_001_tl19_dt205_ge50_qr83_tau76,19,205,50,0.83,0.76,313.92,75.36,292.23,110.26,0.00,PASS,,recovery_detected,True,False,0,290,0,31,,,,,,,,,,,,,,,,,292.23,,,
Random Search,20260607,8,2,6,rs_r08_002_tl116_dt237_ge12_qr57_tau90,116,237,12,0.57,0.9,0.00,83.40,1000007.58,110.26,1000000.00,FAIL,Connection closed by SUMO.,,False,False,0,0,0,0,,,,,,,,,,,,,,,,,7.58,,,
Random Search,20260607,8,3,6,rs_r08_003_tl62_dt173_ge48_qr37_tau83,62,173,48,0.37,0.83,303.92,80.26,283.59,110.26,0.00,PASS,,recovery_detected,True,False,0,366,0,32,,,,,,,,,,,,,,,,,283.59,,,
Random Search,20260607,8,4,6,rs_r08_004_tl74_dt50_ge33_qr41_tau84,74,50,33,0.41,0.84,238.92,75.86,224.10,110.26,0.00,PASS,,recovery_detected,True,False,0,1265,0,31,,,,,,,,,,,,,,,,,224.10,,,
Random Search,20260607,8,5,6,rs_r08_005_tl40_dt196_ge41_qr62_tau90,40,196,41,0.62,0.9,241.92,77.60,226.98,110.26,0.00,PASS,,recovery_detected,True,False,0,238,0,32,,,,,,,,,,,,,,,,,226.98,,,
Random Search,20260607,8,6,6,rs_r08_006_tl17_dt241_ge43_qr2_tau84,17,241,43,0.02,0.84,90.92,84.55,90.34,90.34,0.00,PASS,,recovery_detected,True,False,0,187,1,24,,,,,,,,,,,,,,,,,90.34,,,
Random Search,20260607,9,1,6,rs_r09_001_tl12_dt225_ge30_qr46_tau88,12,225,30,0.46,0.88,144.92,79.72,138.99,90.34,0.00,PASS,,recovery_detected,True,False,0,567,0,27,,,,,,,,,,,,,,,,,138.99,,,
Random Search,20260607,9,2,6,rs_r09_002_tl90_dt113_ge22_qr30_tau84,90,113,22,0.3,0.84,170.92,84.52,163.07,90.34,0.00,PASS,,recovery_detected,True,False,0,226,1,38,,,,,,,,,,,,,,,,,163.07,,,
Random Search,20260607,9,3,6,rs_r09_003_tl71_dt81_ge10_qr85_tau83,71,81,10,0.85,0.83,441.92,94.90,410.37,90.34,0.00,PASS,,recovery_detected,True,False,0,867,0,87,,,,,,,,,,,,,,,,,410.37,,,
Random Search,20260607,9,4,6,rs_r09_004_tl113_dt238_ge44_qr78_tau80,113,238,44,0.78,0.8,248.92,80.57,233.62,90.34,0.00,PASS,,recovery_detected,True,False,0,173,0,29,,,,,,,,,,,,,,,,,233.62,,,
Random Search,20260607,9,5,6,rs_r09_005_tl81_dt108_ge22_qr65_tau81,81,108,22,0.65,0.81,307.92,97.10,288.75,90.34,0.00,PASS,,recovery_detected,True,False,0,368,0,49,,,,,,,,,,,,,,,,,288.75,,,
Random Search,20260607,9,6,6,rs_r09_006_tl40_dt220_ge2_qr31_tau85,40,220,2,0.31,0.85,258.92,89.98,243.56,90.34,0.00,PASS,,recovery_detected,True,False,0,987,0,87,,,,,,,,,,,,,,,,,243.56,,,
Random Search,20260607,10,1,6,rs_r10_001_tl6_dt162_ge24_qr64_tau72,6,162,24,0.64,0.72,289.92,82.66,271.08,90.34,0.00,PASS,,recovery_detected,True,False,0,904,0,46,,,,,,,,,,,,,,,,,271.08,,,
Random Search,20260607,10,2,6,rs_r10_002_tl32_dt156_ge7_qr55_tau71,32,156,7,0.55,0.71,284.92,88.22,267.04,90.34,0.00,PASS,,recovery_detected,True,False,0,934,0,73,,,,,,,,,,,,,,,,,267.04,,,
Random Search,20260607,10,3,6,rs_r10_003_tl27_dt56_ge2_qr52_tau87,27,56,2,0.52,0.87,0.00,98.77,1000008.98,90.34,1000000.00,FAIL,Connection closed by SUMO.,,False,False,0,0,0,0,,,,,,,,,,,,,,,,,8.98,,,
Random Search,20260607,10,4,6,rs_r10_004_tl32_dt39_ge7_qr70_tau74,32,39,7,0.7,0.74,0.00,62.71,1000005.70,90.34,1000000.00,FAIL,Connection closed by SUMO.,,False,False,0,0,0,0,,,,,,,,,,,,,,,,,5.70,,,
Random Search,20260607,10,5,6,rs_r10_005_tl38_dt207_ge10_qr72_tau70,38,207,10,0.72,0.7,363.92,90.76,339.09,90.34,0.00,PASS,,recovery_detected,True,False,0,670,0,76,,,,,,,,,,,,,,,,,339.09,,,
Random Search,20260607,10,6,6,rs_r10_006_tl50_dt113_ge21_qr41_tau71,50,113,21,0.41,0.71,413.92,85.83,384.09,90.34,0.00,PASS,,recovery_detected,True,False,0,559,0,60,,,,,,,,,,,,,,,,,384.09,,,
Random Search,20260607,11,1,6,rs_r11_001_tl95_dt93_ge32_qr51_tau74,95,93,32,0.51,0.74,316.92,91.59,296.44,90.34,0.00,PASS,,recovery_detected,True,False,0,272,0,40,,,,,,,,,,,,,,,,,296.44,,,
Random Search,20260607,11,2,6,rs_r11_002_tl121_dt211_ge14_qr93_tau86,121,211,14,0.93,0.86,319.92,82.27,298.32,90.34,0.00,PASS,,recovery_detected,True,False,0,574,0,61,,,,,,,,,,,,,,,,,298.32,,,
Random Search,20260607,11,3,6,rs_r11_003_tl97_dt180_ge5_qr35_tau89,97,180,5,0.35,0.89,290.92,100.47,273.61,90.34,0.00,PASS,,recovery_detected,True,False,0,657,0,83,,,,,,,,,,,,,,,,,273.61,,,
Random Search,20260607,11,4,6,rs_r11_004_tl10_dt98_ge38_qr61_tau70,10,98,38,0.61,0.7,142.92,71.92,136.47,90.34,0.00,PASS,,recovery_detected,True,False,0,560,0,24,,,,,,,,,,,,,,,,,136.47,,,
Random Search,20260607,11,5,6,rs_r11_005_tl79_dt183_ge0_qr85_tau84,79,183,0,0.85,0.84,222.92,89.47,210.79,90.34,0.00,PASS,,recovery_detected,True,False,0,679,0,97,,,,,,,,,,,,,,,,,210.79,,,
Random Search,20260607,11,6,6,rs_r11_006_tl92_dt203_ge5_qr75_tau86,92,203,5,0.75,0.86,290.92,100.47,273.61,90.34,0.00,PASS,,recovery_detected,True,False,0,658,0,83,,,,,,,,,,,,,,,,,273.61,,,
