edge_id,length_m,lane_count,speed_mps,priority,planned_count,actual_entered_count,zero_planned,zero_actual
-420092889#3,24.02,1,13.89,3,0,0.0,True,True
-420092889#4,24.87,1,13.89,3,0,0.0,True,True
-420097204#3,46.33,1,13.89,3,0,0.0,True,True
-420317538#1,142.28,1,13.89,3,0,0.0,True,True
-420317540,132.6,1,13.89,3,5,0.0,False,True
-420317541#1,26.36,1,13.89,3,3,0.0,False,True
-420317544#1,86.61,1,13.89,3,0,0.0,True,True
-420319841#10,60.46,1,13.89,3,0,0.0,True,True
-420319841#7,23.89,1,13.89,3,0,0.0,True,True
-420319841#8,20.34,1,13.89,3,2,0.0,False,True
-420319844,58.74,1,13.89,3,0,0.0,True,True
-420331801#0,82.24,1,8.33,3,0,0.0,True,True
-420331802#0,67.5,1,13.89,3,0,0.0,True,True
-420331802#1,67.5,1,13.89,3,0,0.0,True,True
-420331804,68.66,1,13.89,3,0,0.0,True,True
-420331805,68.9,1,13.89,3,0,0.0,True,True
-420331806,77.67,1,13.89,3,0,0.0,True,True
-420331807#1,35.03,1,13.89,3,0,0.0,True,True
-420331810,69.48,1,13.89,3,0,0.0,True,True
-420331816#2,26.67,1,13.89,3,0,0.0,True,True
-420331817,91.74,1,13.89,3,0,0.0,True,True
-420331830,66.87,1,13.89,3,4,0.0,False,True
-420331837#1,46.33,1,13.89,3,1,0.0,False,True
-420335669,60.95,1,13.89,3,0,0.0,True,True
-420348545,120.49,1,13.89,3,0,0.0,True,True
-420348552#1,85.41,1,13.89,3,0,0.0,True,True
-420348553,31.2,1,13.89,3,0,0.0,True,True
-420348556#1,19.09,1,13.89,3,0,0.0,True,True
-420348556#2,32.27,1,13.89,3,0,0.0,True,True
-420348556#3,56.07,1,13.89,3,2,0.0,False,True
-420348560,108.56,1,13.89,3,0,0.0,True,True
-420348561#0,18.64,1,13.89,3,2,0.0,False,True
-420348561#1,31.63,1,13.89,3,0,0.0,True,True
-420383139#0,67.39,1,13.89,3,2,0.0,False,True
-420383140#2,55.3,1,13.89,3,0,0.0,True,True
-420383140#4,30.77,1,13.89,3,0,0.0,True,True
-420383140#5,7.52,1,13.89,3,0,0.0,True,True
-420383145,108.55,1,13.89,3,0,0.0,True,True
-420383146#1,110.56,1,13.89,3,0,0.0,True,True
-420383153,32.32,1,13.89,3,0,0.0,True,True
-420383159#2,82.21,1,13.89,3,0,0.0,True,True
-420383161,54.88,1,13.89,3,0,0.0,True,True
-420391195,78.93,1,13.89,3,0,0.0,True,True
-420393496#4,5.51,1,13.89,3,0,0.0,True,True
-422584938,249.49,1,22.22,10,2,0.0,False,True
-464233655,55.79,1,13.89,3,0,0.0,True,True
-464445691#1,54.68,1,13.89,3,0,0.0,True,True
-464445691#3,43.34,1,13.89,3,2,0.0,False,True
-464461045,140.97,1,13.89,3,1,0.0,False,True
-464461049#0,45.02,1,13.89,3,4,0.0,False,True
-464461050,20.42,1,13.89,3,1,0.0,False,True
-464461051,14.0,1,13.89,3,0,0.0,True,True
-464461052#1,26.46,1,13.89,3,0,0.0,True,True
-464461053#2,188.0,1,13.89,3,0,0.0,True,True
-464461053#3,42.62,1,13.89,3,0,0.0,True,True
-464461055,10.98,1,13.89,3,0,0.0,True,True
-464461056,11.91,1,13.89,3,0,0.0,True,True
-464461057#0,46.03,1,13.89,3,0,0.0,True,True
-464461063,92.51,1,13.89,3,0,0.0,True,True
-520307305#4,30.6,2,27.78,12,1,0.0,False,True
-531796031,36.2,1,27.78,11,2,0.0,False,True
-607077076#3,95.57,1,22.22,10,2,0.0,False,True
-631259843,36.12,1,13.89,3,0,0.0,True,True
-631259844,31.46,1,13.89,3,3,0.0,False,True
-651696631#2,88.76,1,13.89,3,3,0.0,False,True
-651817398#5,158.19,1,13.89,3,1,0.0,False,True
-656122998#0,1.07,1,8.33,3,0,0.0,True,True
-656122998#1,51.38,1,8.33,3,1,0.0,False,True
-701497860#0,45.63,1,13.89,3,0,0.0,True,True
-711239223#2,128.94,1,13.89,3,0,0.0,True,True
-73550864#2,148.55,1,13.89,3,0,0.0,True,True
-766904027#11,118.78,1,13.89,3,0,0.0,True,True
-767111811#2,61.82,1,13.89,3,0,0.0,True,True
-767524334#2,30.83,1,13.89,3,0,0.0,True,True
-767644535,44.67,1,13.89,3,1,0.0,False,True
-769110715#2,241.04,1,13.89,3,0,0.0,True,True
-770860550,2.84,1,13.89,3,6,0.0,False,True
-771678026,24.99,1,13.89,3,3,0.0,False,True
-771923366,25.88,1,13.89,3,0,0.0,True,True
-772873184,30.16,1,13.89,3,0,0.0,True,True
-776781838,24.05,1,13.89,3,0,0.0,True,True
-777422408,36.46,1,13.89,3,0,0.0,True,True
-778973690,85.73,1,13.89,3,2,0.0,False,True
-781985790#4,73.9,1,13.89,3,0,0.0,True,True
-782616914#1,22.05,1,13.89,3,0,0.0,True,True
-785130601#1,60.28,1,13.89,3,0,0.0,True,True
-785130602#2,44.22,1,13.89,3,2,0.0,False,True
-788296723#0,110.49,1,13.89,3,0,0.0,True,True
-788296725,58.38,1,13.89,3,0,0.0,True,True
-788411958,113.56,1,13.89,3,0,0.0,True,True
-788411959,58.93,1,13.89,3,0,0.0,True,True
-821107999#1,55.0,1,13.89,3,0,0.0,True,True
-821108006#1,29.48,1,13.89,3,0,0.0,True,True
-824132486,0.2,1,27.78,11,0,0.0,True,True
-870977308#1,31.95,1,13.89,3,14,0.0,False,True
-911522751#0,74.84,2,22.22,10,0,0.0,True,True
-911522751#1,78.77,2,22.22,10,0,0.0,True,True
-911522751#3,19.64,2,22.22,10,0,0.0,True,True
-913009310#1,132.64,1,13.89,3,0,0.0,True,True
-913009313#1,81.44,1,13.89,3,0,0.0,True,True
-913811578,34.98,1,22.22,10,0,0.0,True,True
-913826317,23.91,1,13.89,3,1,0.0,False,True
-914660214#2,47.06,1,13.89,3,1,0.0,False,True
-921796625,135.73,1,13.89,3,0,0.0,True,True
-955312947#0,90.25,1,13.89,3,0,0.0,True,True
-955312947#1,67.77,1,13.89,3,0,0.0,True,True
1002205277,37.61,1,13.89,3,0,0.0,True,True
1002205278,47.56,1,13.89,3,0,0.0,True,True
1002205279,28.99,1,13.89,3,0,0.0,True,True
1002205302,60.79,1,13.89,3,0,0.0,True,True
1004718837,19.49,1,2.78,2,2,0.0,False,True
1011331960,56.06,1,13.89,3,0,0.0,True,True
1084408283#2,190.91,8,16.67,12,9,0.0,False,True
1125773042,39.39,1,13.89,3,0,0.0,True,True
1126339784,38.13,1,13.89,3,0,0.0,True,True
1149179293,104.05,1,13.89,3,0,0.0,True,True
117770531#4,41.67,1,13.89,3,0,0.0,True,True
117770531#5,35.39,1,13.89,3,0,0.0,True,True
117770536#1,42.89,1,8.33,3,0,0.0,True,True
117770543#2,62.5,1,13.89,3,0,0.0,True,True
117784411#1,93.21,1,13.89,3,0,0.0,True,True
117784413#0,86.93,1,13.89,3,0,0.0,True,True
117784414,46.99,1,13.89,3,0,0.0,True,True
117784415,91.12,1,13.89,3,0,0.0,True,True
117784416,51.46,1,13.89,3,1,0.0,False,True
117784417#0,33.49,1,13.89,3,42,0.0,False,True
117784418#0,35.0,1,13.89,3,0,0.0,True,True
117784418#1,33.2,1,13.89,3,0,0.0,True,True
117784418#2,30.3,1,13.89,3,0,0.0,True,True
117784419#0,94.03,1,13.89,3,4,0.0,False,True
117784419#1,109.59,1,13.89,3,0,0.0,True,True
117784421#0,37.98,1,13.89,3,0,0.0,True,True
117784423#0,169.29,1,13.89,3,0,0.0,True,True
117914345#2,31.24,1,13.89,3,0,0.0,True,True
117914345#3,46.61,1,13.89,3,0,0.0,True,True
117914345#4,21.73,1,13.89,3,0,0.0,True,True
117914348#0,68.27,1,13.89,3,0,0.0,True,True
117914351#0,23.13,1,13.89,3,1,0.0,False,True
117914840,71.22,1,13.89,3,2,0.0,False,True
117914847#0,61.01,1,13.89,3,0,0.0,True,True
117914848#0,79.94,1,13.89,3,0,0.0,True,True
1205679413,7.21,1,22.22,7,2,0.0,False,True
1205679415,17.83,1,22.22,5,3,0.0,False,True
1274416500,51.16,1,13.89,3,0,0.0,True,True
1283636934#1,119.64,1,13.89,3,0,0.0,True,True
1283637468#0,14.24,1,13.89,3,2,0.0,False,True
1283637469#0,42.87,1,13.89,3,0,0.0,True,True
1283637469#5,55.66,1,13.89,3,0,0.0,True,True
1283637484,156.08,1,13.89,4,0,0.0,True,True
1283637487,87.73,1,22.22,10,0,0.0,True,True
1305791485#0,200.64,1,27.78,12,0,0.0,True,True
1339655670#1,83.57,2,27.78,11,4,0.0,False,True
135131177,1533.43,2,27.78,12,46,0.0,False,True
1380482780,17.96,1,13.89,3,0,0.0,True,True
1380857657#0,27.61,1,13.89,3,3,0.0,False,True
1380857658,10.94,1,13.89,3,0,0.0,True,True
1384048167,10.06,1,13.89,3,0,0.0,True,True
1395426738#0,27.73,1,22.22,7,0,0.0,True,True
1424068314#4,31.89,2,27.78,12,1,0.0,False,True
1455524947#1,90.3,1,13.89,3,0,0.0,True,True
1455524947#2,16.99,1,13.89,3,36,0.0,False,True
1456115790#0,125.6,1,13.89,3,0,0.0,True,True
1456115790#8,81.62,1,13.89,3,0,0.0,True,True
1456115804#0,60.81,3,16.67,12,0,0.0,True,True
1456115804#1,7.01,3,16.67,12,0,0.0,True,True
1456115804#2,89.14,3,16.67,12,0,0.0,True,True
1456115805,20.35,3,16.67,12,0,0.0,True,True
1456115806#0,12.58,1,13.89,3,0,0.0,True,True
1456115806#2,21.03,1,13.89,3,0,0.0,True,True
1465558147,1.65,1,22.22,7,0,0.0,True,True
1499619439#3,176.31,3,27.78,11,0,0.0,True,True
1499619440#2,49.33,5,27.78,11,1,0.0,False,True
1506939325#7,44.28,1,27.78,11,1,0.0,False,True
156570776,17.49,1,13.89,3,0,0.0,True,True
170207582#0,19.24,1,13.89,3,0,0.0,True,True
170207582#1,89.67,1,13.89,3,0,0.0,True,True
170207585#0,64.21,1,13.89,3,0,0.0,True,True
170207585#1,63.98,1,13.89,3,0,0.0,True,True
170207591#0,61.93,1,13.89,3,0,0.0,True,True
170403792,92.77,1,13.89,3,1,0.0,False,True
170403810#1,143.2,1,13.89,3,0,0.0,True,True
170403814#0,230.49,1,13.89,3,0,0.0,True,True
170403818#6,76.39,1,13.89,3,0,0.0,True,True
170403826#3,15.93,1,22.22,7,0,0.0,True,True
176728954,90.51,1,13.89,3,6,0.0,False,True
176728956#2,148.5,1,13.89,3,5,0.0,False,True
183272313#0,87.72,2,27.78,12,0,0.0,True,True
183272314#2,89.4,2,27.78,12,0,0.0,True,True
183272579#1,17.1,1,13.89,3,0,0.0,True,True
183272579#5,6.85,1,13.89,3,0,0.0,True,True
183272580#0,35.62,1,13.89,3,0,0.0,True,True
183521074#3,11.27,1,22.22,10,0,0.0,True,True
184083106,159.04,1,13.89,3,0,0.0,True,True
184083172,44.14,1,22.22,7,0,0.0,True,True
184083174,42.96,1,22.22,7,0,0.0,True,True
198691057#0,71.94,1,13.89,3,1,0.0,False,True
198691062#0,58.63,1,13.89,3,1,0.0,False,True
198691069#0,166.22,1,13.89,3,0,0.0,True,True
198691071#0,21.01,1,13.89,3,1,0.0,False,True
198691072#1,25.19,1,13.89,3,0,0.0,True,True
198691075#0,39.55,1,13.89,3,1,0.0,False,True
198691079#3,71.13,1,13.89,3,0,0.0,True,True
198691091,59.44,1,13.89,3,2,0.0,False,True
198691093,56.3,1,13.89,3,0,0.0,True,True
215843535#2,39.34,1,22.22,10,0,0.0,True,True
215843535#4,87.22,1,22.22,10,33,0.0,False,True
218684408#0,98.0,1,27.78,11,0,0.0,True,True
218684408#2,27.3,1,27.78,11,0,0.0,True,True
218684408#3,31.4,1,27.78,11,0,0.0,True,True
218684408#5,66.05,1,27.78,11,0,0.0,True,True
218684411#4,30.8,2,27.78,12,0,0.0,True,True
218771978#1,216.94,1,27.78,12,0,0.0,True,True
218923178#7,53.87,3,16.67,12,2,0.0,False,True
218960891#1,102.51,1,27.78,11,1,0.0,False,True
218960895#0,49.07,1,27.78,11,0,0.0,True,True
223418965#1,59.08,1,22.22,10,0,0.0,True,True
223418965#16,229.27,1,22.22,10,0,0.0,True,True
223418965#2,57.36,1,22.22,10,1,0.0,False,True
228795468#0,37.41,1,13.89,3,0,0.0,True,True
228795468#3,35.79,1,13.89,3,0,0.0,True,True
228795472#0,77.23,1,13.89,3,0,0.0,True,True
228795472#2,5.49,1,13.89,3,0,0.0,True,True
228795477#2,26.0,1,13.89,3,0,0.0,True,True
228795477#3,25.98,1,13.89,3,0,0.0,True,True
228795478#0,35.89,1,13.89,3,0,0.0,True,True
228795478#2,49.45,1,13.89,3,0,0.0,True,True
228795483,34.25,1,13.89,3,0,0.0,True,True
228795484#1,38.06,1,13.89,3,6,0.0,False,True
228796091#1,29.78,1,13.89,3,0,0.0,True,True
228796091#2,102.97,1,13.89,3,1,0.0,False,True
229028338#0,0.42,1,13.89,3,0,0.0,True,True
229028340#0,115.73,1,13.89,3,0,0.0,True,True
233651280#1,54.69,1,13.89,3,0,0.0,True,True
