edge_id,actual_entered_count,actual_left_count,actual_screenline_count,sampled_seconds
-381452116,0.0,3.0,3.0,24.52
-381452117,1.0,0.0,1.0,1.25
-381452120#0,14.0,19.0,19.0,773.84
-381452120#1,5.0,13.0,13.0,70.6
-381452120#2,11.0,10.0,11.0,102.39
-381452120#3,15.0,14.0,15.0,84.7
-381452120#5,15.0,16.0,16.0,48.09
-381452120#6,20.0,20.0,20.0,103.14
-381452122#3,33.0,32.0,33.0,285.96
-381452128,0.0,1.0,1.0,8.82
-381452129,2.0,0.0,2.0,4.03
-381452130,3.0,3.0,3.0,24.95
-381452132,4.0,4.0,4.0,22.65
-381452133,2.0,0.0,2.0,7.74
-381452134,0.0,0.0,0.0,0.0
-381452136,0.0,0.0,0.0,0.0
-381452137,1.0,0.0,1.0,2.78
-381452138#0,1.0,12.0,12.0,51.98
-381452138#1,0.0,0.0,0.0,0.0
-381452140#0,2.0,2.0,2.0,7.13
-381452140#1,1.0,1.0,1.0,63.92
-381452141,1.0,1.0,1.0,7.0
-381452143#0,1.0,1.0,1.0,2.07
-381452143#1,0.0,0.0,0.0,0.0
-381452147,0.0,0.0,0.0,0.0
-381452149#0,0.0,0.0,0.0,0.0
-381452151,0.0,0.0,0.0,0.0
-381452152,2.0,1.0,2.0,14.62
-381452153,0.0,0.0,0.0,0.0
-381452155,0.0,0.0,0.0,0.0
-381452156#0,2.0,2.0,2.0,7.9
-381452156#2,1.0,1.0,1.0,9.29
-381452158,0.0,0.0,0.0,0.0
-381452159,0.0,1.0,1.0,7.95
-381452160#0,0.0,0.0,0.0,0.0
-381452160#1,1.0,0.0,1.0,3.03
-381452160#2,1.0,1.0,1.0,1.46
-381452162,0.0,0.0,0.0,0.0
-381452163#0,1.0,2.0,2.0,5.26
-381452163#1,1.0,1.0,1.0,1.56
-381452163#2,0.0,0.0,0.0,0.0
-381452163#3,0.0,0.0,0.0,0.0
-381452163#4,0.0,0.0,0.0,0.0
-381452163#5,0.0,0.0,0.0,0.0
-381452166#0,0.0,0.0,0.0,0.0
-381452166#1,1.0,0.0,1.0,5.07
-381452166#3,1.0,1.0,1.0,4.52
-381452167,1.0,1.0,1.0,4.81
-381452169,0.0,0.0,0.0,0.0
-381452170#0,19.0,22.0,22.0,2785.64
-381452170#1,46.0,29.0,46.0,709.63
-381452172,1.0,0.0,1.0,8.48
-381452174#0,0.0,1.0,1.0,8.95
-381452174#1,0.0,0.0,0.0,0.0
-381452175#0,2.0,2.0,2.0,7.12
-381452175#1,3.0,4.0,4.0,11.36
-381452175#2,5.0,5.0,5.0,13.03
-381452175#3,6.0,5.0,6.0,19.98
-381452176#0,0.0,0.0,0.0,0.0
-381452176#1,0.0,0.0,0.0,0.0
-381452178#0,15.0,23.0,23.0,116.09
-381452178#1,8.0,13.0,13.0,46.21
-381452179#0,11.0,11.0,11.0,41.1
-381452179#1,2.0,3.0,3.0,6.09
-381452179#3,4.0,2.0,4.0,14.36
-381452180#0,0.0,0.0,0.0,0.0
-381452180#2,0.0,0.0,0.0,0.0
-381452180#4,0.0,2.0,2.0,17.56
-381452182#0,6.0,12.0,12.0,9752.54
-381452182#1,1.0,5.0,5.0,41.75
-381452186#0,3.0,13.0,13.0,62.62
-381452186#2,0.0,3.0,3.0,23.78
-381453320#0,10.0,10.0,10.0,829.77
-381453320#1,0.0,0.0,0.0,0.0
-381453320#2,5.0,1.0,5.0,9.94
-381453320#3,5.0,5.0,5.0,13.75
-381453321#1,0.0,0.0,0.0,0.0
-381453321#2,0.0,0.0,0.0,0.0
-381453321#4,4.0,4.0,4.0,12.95
-381453321#5,0.0,0.0,0.0,0.0
-381453322,2.0,0.0,2.0,6.47
-381453323,0.0,0.0,0.0,0.0
-381453324,0.0,0.0,0.0,0.0
-381453325#1,16.0,16.0,16.0,70.91
-381453326#0,6.0,10.0,10.0,64.95
-381453326#2,2.0,5.0,5.0,19.36
-381453326#3,6.0,4.0,6.0,28.24
-381453327,0.0,1.0,1.0,10.97
-381453328#0,2.0,2.0,2.0,32.48
-381453328#1,6.0,8.0,8.0,28.31
-381453328#2,7.0,6.0,7.0,17.1
-381453328#3,5.0,7.0,7.0,30.8
-381453329,0.0,0.0,0.0,0.0
-381453331,0.0,0.0,0.0,0.0
-381453798,1.0,0.0,1.0,6.04
-381453800,3.0,3.0,3.0,430.34
-381456417#0,0.0,0.0,0.0,0.0
-381456417#1,0.0,0.0,0.0,0.0
-381456417#2,0.0,0.0,0.0,0.0
-381456418#0,0.0,0.0,0.0,0.0
-381456418#1,2.0,0.0,2.0,6.43
-381456418#2,4.0,4.0,4.0,8.42
-381456418#4,8.0,9.0,9.0,52.87
-381456418#6,9.0,10.0,10.0,34.12
-381456419#0,0.0,0.0,0.0,0.0
-381456419#1,1.0,2.0,2.0,13.34
-381456420#0,9.0,9.0,9.0,1457.94
-381456420#2,6.0,6.0,6.0,12.68
-381456420#4,5.0,7.0,7.0,24.88
-381456420#5,5.0,6.0,6.0,7.0
-381456420#6,9.0,10.0,10.0,41.08
-381456420#7,10.0,9.0,10.0,22.11
-381456422#1,2.0,2.0,2.0,312.96
-381456422#3,3.0,3.0,3.0,10.92
-381456422#4,2.0,3.0,3.0,2.82
-381456422#6,0.0,2.0,2.0,9.87
-381456422#7,0.0,0.0,0.0,0.0
-381456424#0,0.0,0.0,0.0,0.0
-381456424#1,1.0,0.0,1.0,1.25
-381456424#2,2.0,2.0,2.0,3.69
-381456424#3,3.0,3.0,3.0,5.18
-381456424#5,3.0,3.0,3.0,4.68
-381456424#6,13.0,8.0,13.0,23.05
-381456424#8,12.0,11.0,12.0,56.76
-381456429,2.0,1.0,2.0,5.73
-381456432,0.0,3.0,3.0,26.72
-381456433,1.0,1.0,1.0,4.34
-381456440#1,3.0,3.0,3.0,13.74
-381456441,30.0,29.0,30.0,214.33
-381456443,2.0,1.0,2.0,12.4
-381456444,0.0,0.0,0.0,0.0
-381456445,0.0,0.0,0.0,0.0
-381456446#0,2.0,0.0,2.0,6.26
-381456446#1,0.0,0.0,0.0,0.0
-381456447,0.0,0.0,0.0,0.0
-381456448,1.0,0.0,1.0,5.7
-381456449,14.0,13.0,14.0,59.17
-381456451,0.0,1.0,1.0,71.64
-381456452#2,0.0,0.0,0.0,0.0
-381456453#0,0.0,0.0,0.0,0.0
-381456453#1,0.0,0.0,0.0,0.0
-381456455#0,4.0,4.0,4.0,3.06
-381456455#1,5.0,5.0,5.0,14.96
-381456456,0.0,0.0,0.0,0.0
-381456457#1,0.0,0.0,0.0,0.0
-381456457#2,0.0,0.0,0.0,0.0
-381456458,1.0,1.0,1.0,5.23
-381456459,1.0,1.0,1.0,5.7
-381456460,2.0,3.0,3.0,26.44
-381456461,0.0,0.0,0.0,0.0
-381456462#0,0.0,0.0,0.0,0.0
-381456462#1,0.0,0.0,0.0,0.0
-381456462#3,3.0,3.0,3.0,17.66
-381456463#0,12.0,13.0,13.0,38.78
-381456463#2,13.0,12.0,13.0,62.14
-381456464#1,0.0,1.0,1.0,9.33
-381456465,0.0,0.0,0.0,0.0
-381456466#0,4.0,1.0,4.0,10.45
-381456466#1,3.0,4.0,4.0,5.66
-381456466#2,0.0,3.0,3.0,15.19
-381456468#0,0.0,0.0,0.0,0.0
-381456468#1,0.0,0.0,0.0,0.0
-381456469#0,2.0,1.0,2.0,2.69
-381456469#1,4.0,5.0,5.0,14.5
-381456469#2,4.0,4.0,4.0,10.39
-381458589#0,10.0,0.0,10.0,26.42
-381458589#1,0.0,11.0,11.0,19.46
-381802843#0,5.0,1.0,5.0,27.26
-381802843#1,0.0,0.0,0.0,0.0
-381802844#0,11.0,10.0,11.0,387.77
-381802844#1,1.0,1.0,1.0,2.08
-381802844#2,1.0,1.0,1.0,0.64
-381802844#3,0.0,0.0,0.0,0.0
-381802844#5,0.0,0.0,0.0,0.0
-381802844#6,0.0,1.0,1.0,2.09
-381802844#7,0.0,0.0,0.0,0.0
-381802844#8,0.0,1.0,1.0,4.17
-381802845#1,11.0,11.0,11.0,72.19
-381802845#2,8.0,11.0,11.0,60.98
-381802845#3,0.0,0.0,0.0,0.0
-381802847#0,2.0,2.0,2.0,507.29
-381802847#1,2.0,2.0,2.0,8.15
-381802847#2,1.0,3.0,3.0,425.78
-381802847#3,3.0,3.0,3.0,10.11
-381802847#4,3.0,3.0,3.0,7.1
-381802847#6,1.0,1.0,1.0,3.44
-381802848#0,0.0,0.0,0.0,0.0
-381802848#1,1.0,1.0,1.0,5.16
-381802848#2,1.0,1.0,1.0,8.55
-381802853,0.0,0.0,0.0,0.0
-381802858,1.0,1.0,1.0,2.42
-381802860#0,0.0,0.0,0.0,0.0
-381802860#1,0.0,0.0,0.0,0.0
-381802860#2,4.0,0.0,4.0,27.95
-381802863,2.0,2.0,2.0,15.88
-381802870#0,1.0,0.0,1.0,3.99
-381802870#1,1.0,1.0,1.0,4.6
-381802874#0,2.0,4.0,4.0,31.8
-381802874#1,1.0,0.0,1.0,3.36
-381802876#0,0.0,0.0,0.0,0.0
-381802876#1,6.0,5.0,6.0,47.13
-381802879#0,1.0,0.0,1.0,5.56
-381802879#1,1.0,1.0,1.0,7.26
-381802879#3,6.0,6.0,6.0,40.35
-381802881#0,0.0,0.0,0.0,0.0
-381802881#2,2.0,1.0,2.0,13.44
-381802882,0.0,0.0,0.0,0.0
-381802883#0,1.0,0.0,1.0,6.03
-381802883#1,9.0,7.0,9.0,62.55
-381802883#3,16.0,16.0,16.0,102.01
-381802884#0,1.0,0.0,1.0,2.3
-381802884#1,0.0,0.0,0.0,0.0
-381802888,1.0,1.0,1.0,7.82
-381807690#1,2.0,2.0,2.0,17.56
-381807690#2,0.0,2.0,2.0,13.43
-381807690#3,0.0,0.0,0.0,0.0
-381807694#1,3.0,1.0,3.0,21.61
-381807698#3,2.0,2.0,2.0,24.05
-381807721#0,33.0,32.0,33.0,714.75
-381807721#2,7.0,3.0,7.0,66.38
-381807721#3,0.0,0.0,0.0,0.0
-381809843#0,2.0,2.0,2.0,12.04
-381809843#1,0.0,1.0,1.0,11.19
-381809844#1,0.0,0.0,0.0,0.0
-381809845,0.0,0.0,0.0,0.0
-381809847,0.0,0.0,0.0,0.0
-381809849#0,0.0,0.0,0.0,0.0
-381809849#4,5.0,6.0,6.0,33.98
-381809850#2,0.0,1.0,1.0,12.12
-383097714,332.0,332.0,332.0,18782.06
-383097722#0,761.0,760.0,761.0,38581.55
-384030398#1,10.0,3.0,10.0,83.11
-384030401#1,2.0,0.0,2.0,11.19
-384030401#2,7.0,4.0,7.0,52.26
-395564622#0,16.0,17.0,17.0,32.73
-395564622#1,1.0,0.0,1.0,1.99
-395564622#2,3.0,3.0,3.0,13.31
-420086350,0.0,0.0,0.0,0.0
-420089386#1,2.0,2.0,2.0,10.59
-420089386#2,2.0,2.0,2.0,6.05
-420089386#3,0.0,2.0,2.0,15.12
-420092888#0,0.0,0.0,0.0,0.0
-420092888#1,0.0,1.0,1.0,10.55
-420092889#1,9.0,4.0,9.0,42.23
-420092889#2,5.0,9.0,9.0,31.97
-420092889#3,0.0,0.0,0.0,0.0
-420092889#4,0.0,0.0,0.0,0.0
-420097204#3,0.0,0.0,0.0,0.0
-420187959#0,227.0,239.0,239.0,4349.74
-420187959#11,7.0,8.0,8.0,26.34
-420187959#12,0.0,0.0,0.0,0.0
-420187959#2,117.0,128.0,128.0,1498.6
-420187959#3,106.0,112.0,112.0,1346.88
-420187959#4,32.0,38.0,38.0,383.17
-420187959#5,13.0,15.0,15.0,23.64
-420187959#7,13.0,12.0,13.0,75.26
-420187959#8,12.0,12.0,12.0,22.07
-420317538#1,1.0,0.0,1.0,11.33
-420317538#2,3.0,3.0,3.0,94.68
-420317540,0.0,4.0,4.0,57.65
-420317541#0,8.0,14.0,14.0,79.5
-420317541#1,5.0,8.0,8.0,41.93
-420317543#0,2.0,2.0,2.0,10.07
-420317543#1,2.0,3.0,3.0,25.15
-420317544#1,1.0,0.0,1.0,7.55
-420317544#3,17.0,11.0,17.0,228.67
-420319840#0,3.0,0.0,3.0,9.07
-420319840#1,3.0,3.0,3.0,3.38
-420319841#1,23.0,23.0,23.0,6114.38
-420319841#10,0.0,0.0,0.0,0.0
-420319841#2,17.0,17.0,17.0,396.39
-420319841#3,18.0,16.0,18.0,39.08
-420319841#4,8.0,8.0,8.0,12.11
-420319841#5,8.0,8.0,8.0,19.04
-420319841#6,7.0,5.0,7.0,36.3
-420319841#7,6.0,0.0,6.0,16.79
-420319841#8,1.0,0.0,1.0,2.52
-420319844,1.0,1.0,1.0,5.41
-420319845,5.0,5.0,5.0,2138.22
-420319846,4.0,2.0,4.0,7.11
-420319847,0.0,0.0,0.0,0.0
-420319848#0,11.0,11.0,11.0,18.65
-420319848#1,11.0,11.0,11.0,43.63
-420319848#2,36.0,36.0,36.0,120.26
-420319848#3,33.0,33.0,33.0,66.72
-420319848#4,22.0,21.0,22.0,46.8
-420319848#5,14.0,14.0,14.0,23.44
-420319848#7,12.0,12.0,12.0,51.55
-420331801#0,0.0,0.0,0.0,0.0
-420331801#2,1.0,0.0,1.0,13.23
-420331802#0,28.0,28.0,28.0,4367.05
-420331802#1,1.0,1.0,1.0,6.52
-420331802#3,3.0,3.0,3.0,22.3
-420331803,0.0,0.0,0.0,0.0
-420331804,0.0,0.0,0.0,0.0
-420331805,4.0,1.0,4.0,31.44
-420331806,2.0,1.0,2.0,13.6
-420331807#0,1.0,0.0,1.0,3.12
-420331807#1,0.0,0.0,0.0,0.0
-420331808,0.0,0.0,0.0,0.0
-420331809,10.0,9.0,10.0,34.81
-420331810,3.0,2.0,3.0,18.6
-420331811#0,5.0,4.0,5.0,22.01
-420331812#0,1.0,1.0,1.0,306.07
-420331812#1,0.0,1.0,1.0,1.62
-420331812#2,1.0,1.0,1.0,1.43
-420331812#3,23.0,23.0,23.0,14.97
-420331812#4,25.0,23.0,25.0,107.28
-420331813#0,18.0,18.0,18.0,73.75
-420331814#0,3.0,3.0,3.0,17.51
-420331814#1,4.0,3.0,4.0,2.23
-420331814#2,4.0,4.0,4.0,9.02
-420331815,0.0,0.0,0.0,0.0
-420331816#1,2.0,5.0,5.0,447.41
-420331816#2,0.0,0.0,0.0,0.0
-420331817,0.0,0.0,0.0,0.0
-420331818#0,1.0,0.0,1.0,3.47
-420331823,0.0,1.0,1.0,8.95
-420331825#0,1.0,1.0,1.0,19.42
-420331825#1,1.0,2.0,2.0,9.05
-420331825#2,3.0,3.0,3.0,19.42
-420331825#3,5.0,2.0,5.0,24.68
-420331825#4,29.0,27.0,29.0,72.38
-420331827,6.0,6.0,6.0,23.75
-420331830,2.0,4.0,4.0,42.94
-420331831,0.0,0.0,0.0,0.0
-420331835#1,1.0,1.0,1.0,4.82
-420331836,1.0,1.0,1.0,5.41
-420331837#0,1.0,0.0,1.0,2.89
-420331837#1,0.0,0.0,0.0,0.0
-420331838#0,0.0,0.0,0.0,0.0
-420331838#1,3.0,1.0,3.0,22.1
-420331839,8.0,8.0,8.0,1983.0
-420334155#3,0.0,0.0,0.0,0.0
-420335669,0.0,0.0,0.0,0.0
-420348545,2.0,1.0,2.0,20.9
-420348552#1,2.0,2.0,2.0,20.47
-420348553,0.0,0.0,0.0,0.0
-420348555#1,26.0,0.0,26.0,194.11
-420348556#1,4.0,4.0,4.0,8.37
-420348556#2,4.0,4.0,4.0,13.08
-420348556#3,4.0,3.0,4.0,26.01
-420348560,0.0,0.0,0.0,0.0
-420348561#0,0.0,1.0,1.0,3.77
-420348561#1,0.0,0.0,0.0,0.0
-420348561#2,1.0,6.0,6.0,20.81
-420361194#3,2.0,2.0,2.0,17.92
-420361205#3,0.0,0.0,0.0,0.0
-420383139#0,0.0,0.0,0.0,0.0
-420383139#1,1.0,1.0,1.0,6.64
-420383139#2,5.0,3.0,5.0,80.86
-420383140#2,2.0,2.0,2.0,9.05
-420383140#4,10.0,10.0,10.0,32.67
-420383140#5,9.0,8.0,9.0,10.62
-420383143#1,0.0,0.0,0.0,0.0
-420383143#2,0.0,0.0,0.0,0.0
-420383144#0,0.0,0.0,0.0,0.0
-420383144#1,0.0,0.0,0.0,0.0
-420383145,0.0,0.0,0.0,0.0
-420383146#1,0.0,0.0,0.0,0.0
-420383147,0.0,0.0,0.0,0.0
-420383151,4.0,4.0,4.0,24.32
-420383152,3.0,3.0,3.0,8.86
-420383153,1.0,12.0,12.0,73.27
-420383159#1,13.0,13.0,13.0,123.84
-420383159#2,1.0,0.0,1.0,6.65
-420383160#0,2.0,10.0,10.0,74.03
-420383161,0.0,2.0,2.0,16.27
-420391187#1,3.0,2.0,3.0,22.2
-420391195,0.0,0.0,0.0,0.0
-420393496#4,1.0,0.0,1.0,1.29
-422584938,0.0,2.0,2.0,38.06
-428260116#0,87.0,93.0,93.0,14166.48
-428260116#1,84.0,85.0,85.0,107.0
-431903251#0,8.0,16.0,16.0,110.09
-431903251#1,1.0,2.0,2.0,14.48
-464233655,0.0,0.0,0.0,0.0
-464445691#1,0.0,0.0,0.0,0.0
-464445691#3,0.0,5.0,5.0,34.8
-464459665,7.0,7.0,7.0,31.28
-464459667,0.0,1.0,1.0,6.94
-464459668#1,0.0,5.0,5.0,55.58
-464459668#2,11.0,0.0,11.0,44.62
-464461045,10.0,11.0,11.0,154.77
-464461048#0,3.0,3.0,3.0,10.45
-464461048#1,0.0,1.0,1.0,10.7
-464461048#2,7.0,8.0,8.0,23.6
-464461049#0,0.0,0.0,0.0,0.0
-464461049#1,11.0,3.0,11.0,27.71
-464461049#3,11.0,11.0,11.0,12.74
-464461050,3.0,3.0,3.0,8.58
-464461051,0.0,0.0,0.0,0.0
-464461052#1,0.0,2.0,2.0,11.03
-464461053#1,7.0,7.0,7.0,63.2
-464461053#2,1.0,0.0,1.0,14.43
-464461053#3,3.0,3.0,3.0,14.11
-464461053#4,2.0,2.0,2.0,10.26
-464461053#5,5.0,4.0,5.0,23.68
-464461054#0,13.0,14.0,14.0,31.06
-464461054#1,10.0,10.0,10.0,105.09
-464461055,0.0,0.0,0.0,0.0
-464461056,1.0,3.0,3.0,8.99
-464461057#0,3.0,2.0,3.0,16.31
-464461057#1,3.0,2.0,3.0,10.44
-464461057#4,3.0,3.0,3.0,33.86
-464461060,5.0,4.0,5.0,31.55
-464461063,1.0,0.0,1.0,7.66
-470453019#2,4.0,2.0,4.0,6.06
-470453019#4,4.0,3.0,4.0,7.9
-470453019#5,4.0,4.0,4.0,10.17
-470453019#7,6.0,6.0,6.0,26.65
-480233462#1,131.0,50.0,131.0,409.35
-482167260,0.0,0.0,0.0,0.0
-506162633,189.0,189.0,189.0,854.48
-516948900#2,140.0,131.0,140.0,1622.61
-516948900#3,143.0,129.0,143.0,836.48
-516948900#4,138.0,138.0,138.0,306.14
-516948900#6,133.0,138.0,138.0,196.15
-516948900#8,131.0,133.0,133.0,173.12
-520307305#2,278.0,271.0,278.0,144681.53
-520307305#3,10.0,13.0,13.0,142.47
-520307305#4,0.0,3.0,3.0,15.88
-520307306,455.0,456.0,456.0,3219.63
-531796031,0.0,2.0,2.0,11.17
-578313748#0,94.0,96.0,96.0,297.87
-578313748#2,122.0,122.0,122.0,128.32
-581906883#0,12.0,13.0,13.0,67.75
-581906883#1,1.0,1.0,1.0,1.34
-591142208#0,2.0,2.0,2.0,3.13
-591142208#2,4.0,2.0,4.0,29.96
-591142220,4.0,13.0,13.0,92.66
-601902513#0,23.0,23.0,23.0,215.83
-601902513#1,22.0,23.0,23.0,85.34
-607077076#0,6.0,5.0,6.0,12.56
-607077076#1,8.0,6.0,8.0,28.08
-607077076#3,0.0,2.0,2.0,18.72
-608946832,1.0,3.0,3.0,10.52
-628816136#3,15.0,1.0,15.0,162.69
-628816140#2,3.0,5.0,5.0,167.22
-631259843,0.0,4.0,4.0,27.89
-631259844,0.0,7.0,7.0,39.54
-634096163,32.0,29.0,32.0,212.08
-651696631#2,0.0,0.0,0.0,0.0
-651817398#5,0.0,1.0,1.0,17.55
-651818430#1,12.0,17.0,17.0,7581.5
-651818430#3,2.0,6.0,6.0,700.25
-656122998#0,0.0,0.0,0.0,0.0
-656122998#1,0.0,1.0,1.0,8.8
-701497860#0,1.0,0.0,1.0,3.64
-701497860#1,1.0,2.0,2.0,7.9
-711239223#2,0.0,0.0,0.0,0.0
-712288152#2,20.0,20.0,20.0,388.23
-73550864#2,0.0,1.0,1.0,15.2
-766904027#11,0.0,0.0,0.0,0.0
-767111811#2,0.0,3.0,3.0,26.8
-767524334#2,0.0,0.0,0.0,0.0
-767644534#0,1.0,0.0,1.0,2.0
-767644534#1,0.0,0.0,0.0,0.0
-767644535,2.0,1.0,2.0,10.17
-768399563#0,46.0,47.0,47.0,8908.13
-768952297,1.0,0.0,1.0,4.29
-769110715#2,1.0,1.0,1.0,43.2
-769423158,4.0,3.0,4.0,216.81
-769488211,1.0,0.0,1.0,3.28
-770860542#1,1.0,7.0,7.0,3213.53
-770860548#1,121.0,134.0,134.0,22458.22
-770860548#2,97.0,110.0,110.0,9446.13
-770860548#3,123.0,125.0,125.0,17449.87
-770860548#4,102.0,115.0,115.0,12532.73
-770860549,7.0,8.0,8.0,4605.03
-770860550,0.0,2.0,2.0,26.45
-770860551,19.0,17.0,19.0,136.95
-770860552#0,9.0,8.0,9.0,49.27
-770860552#2,4.0,12.0,12.0,5967.21
-770860565#0,16.0,21.0,21.0,5969.38
-770860565#1,7.0,9.0,9.0,945.26
-771678026,0.0,0.0,0.0,0.0
-771923366,0.0,0.0,0.0,0.0
-772279128#0,0.0,0.0,0.0,0.0
-772279128#4,7.0,7.0,7.0,121.29
-772279128#8,0.0,0.0,0.0,0.0
-772527390#2,0.0,0.0,0.0,0.0
-772527390#3,2.0,0.0,2.0,0.57
-772527390#5,2.0,2.0,2.0,602.28
-772873181#2,3.0,5.0,5.0,27.84
-772873182#1,1.0,1.0,1.0,15.81
-772873184,0.0,0.0,0.0,0.0
-775222468#16,42.0,41.0,42.0,1028.91
-775222468#3,38.0,37.0,38.0,371.19
-775222468#4,39.0,39.0,39.0,263.9
-775222468#5,40.0,42.0,42.0,25.62
-775222468#6,39.0,39.0,39.0,98.13
-775222468#8,39.0,39.0,39.0,145.17
-776781830,0.0,0.0,0.0,0.0
-776781838,0.0,0.0,0.0,0.0
-777422408,0.0,0.0,0.0,0.0
-778973690,0.0,0.0,0.0,0.0
-781985788#0,762.0,762.0,762.0,268.05
-781985790#1,1.0,0.0,1.0,4.22
-781985790#4,0.0,0.0,0.0,0.0
-782616914#1,0.0,0.0,0.0,0.0
-785130601#1,0.0,0.0,0.0,0.0
-785130602#0,0.0,0.0,0.0,0.0
-785130602#1,1.0,0.0,1.0,5.49
-785130602#2,1.0,0.0,1.0,4.69
-788296723#0,2.0,0.0,2.0,15.52
-788296723#2,4.0,4.0,4.0,28.88
-788296724#1,1.0,1.0,1.0,6.89
-788296725,3.0,1.0,3.0,15.19
-788296726#1,4.0,6.0,6.0,1490.24
-788296727#1,1.0,1.0,1.0,8.16
-788411954#1,7.0,7.0,7.0,41.1
-788411956,15.0,15.0,15.0,157.79
-788411958,18.0,19.0,19.0,2691.42
-788411959,0.0,0.0,0.0,0.0
-800229255,120.0,120.0,120.0,77.53
-800229257#1,27.0,27.0,27.0,338.71
-800229257#2,25.0,25.0,25.0,54.96
-821107999#1,0.0,4.0,4.0,101.76
-821108006#1,0.0,4.0,4.0,30.97
-821108007,10.0,15.0,15.0,143.85
-824132486,0.0,0.0,0.0,0.0
-870977308#1,1.0,1.0,1.0,3.91
-870977310#1,1.0,1.0,1.0,4.82
-870977311,0.0,0.0,0.0,0.0
-871052109#0,0.0,0.0,0.0,0.0
-871052109#1,0.0,0.0,0.0,0.0
-892932178#1,0.0,0.0,0.0,0.0
-910451393#1,3.0,2.0,3.0,16.7
-911522748#1,23.0,25.0,25.0,102.97
-911522751#0,1.0,1.0,1.0,3.95
-911522751#1,1.0,1.0,1.0,6.06
-911522751#3,0.0,1.0,1.0,3.77
-913006752#1,230.0,228.0,230.0,326.18
-913006753,53.0,53.0,53.0,48.74
-913006754#0,53.0,53.0,53.0,111.65
-913006754#1,41.0,52.0,52.0,527.9
-913006754#2,39.0,41.0,41.0,640.51
-913006754#3,22.0,22.0,22.0,50.92
-913006754#4,27.0,25.0,27.0,786.17
-913006754#5,10.0,10.0,10.0,40.84
-913006754#6,13.0,13.0,13.0,238.13
-913006754#8,13.0,12.0,13.0,151.08
-913006754#9,27.0,28.0,28.0,716.06
-913009310#1,0.0,0.0,0.0,0.0
-913009311,454.0,455.0,455.0,829.48
-913009312#10,473.0,471.0,473.0,1076.38
-913009312#3,437.0,437.0,437.0,13024.43
-913009312#4,459.0,459.0,459.0,3282.47
-913009312#5,464.0,464.0,464.0,11662.91
-913009312#8,464.0,464.0,464.0,25068.59
-913009312#9,471.0,470.0,471.0,2963.79
-913009313#1,2.0,0.0,2.0,14.39
-913570918,24.0,24.0,24.0,68.75
-913811577#1,3.0,12.0,12.0,51.87
-913811578,2.0,0.0,2.0,6.36
-913826317,3.0,3.0,3.0,12.18
-913833410,1.0,0.0,1.0,5.85
-913839558#3,0.0,0.0,0.0,0.0
-914660214#0,0.0,1.0,1.0,3.14
-914660214#2,0.0,2.0,2.0,14.54
-914660215#1,4.0,4.0,4.0,23.25
-921796625,0.0,0.0,0.0,0.0
-955312947#0,0.0,5.0,5.0,69.4
-955312947#1,0.0,0.0,0.0,0.0
-955312948,0.0,0.0,0.0,0.0
1002205277,0.0,0.0,0.0,0.0
1002205278,0.0,0.0,0.0,0.0
1002205279,0.0,0.0,0.0,0.0
1002205302,0.0,0.0,0.0,0.0
1002205303#1,13.0,15.0,15.0,145.58
1004718837,0.0,0.0,0.0,0.0
1011331960,6.0,1.0,6.0,36.24
1016508136#0,0.0,0.0,0.0,0.0
1017504130,3.0,4.0,4.0,349.33
1084408283#2,0.0,280.0,280.0,10222.26
1099004169,0.0,0.0,0.0,0.0
1109231376,28.0,27.0,28.0,26.09
1109231377#0,16.0,16.0,16.0,62.43
1109231377#1,16.0,16.0,16.0,40.86
1120540512,12.0,12.0,12.0,555.87
1125640020,10.0,7.0,10.0,140.77
1125773042,0.0,0.0,0.0,0.0
1125773043,28.0,31.0,31.0,41.9
1126339777#0,1.0,0.0,1.0,1.1
1126339784,4.0,0.0,4.0,17.07
1149179293,3.0,0.0,3.0,26.51
1160841705,9.0,12.0,12.0,61.36
117770531#4,0.0,0.0,0.0,0.0
117770531#5,1.0,1.0,1.0,4.0
117770531#6,1.0,13.0,13.0,115.32
117770536#0,1.0,1.0,1.0,3.65
117770536#1,0.0,0.0,0.0,0.0
117770543#0,1.0,1.0,1.0,10.77
117770543#1,7.0,7.0,7.0,61.3
117770543#2,1.0,0.0,1.0,6.03
117770551#0,9.0,9.0,9.0,63.74
117770551#2,3.0,3.0,3.0,9.56
117770551#3,2.0,1.0,2.0,2.33
117770551#4,0.0,0.0,0.0,0.0
117784411#0,0.0,2.0,2.0,24.95
117784411#1,0.0,0.0,0.0,0.0
117784411#2,1.0,1.0,1.0,6.25
117784413#0,2.0,2.0,2.0,40.92
117784414,0.0,0.0,0.0,0.0
117784415,0.0,0.0,0.0,0.0
117784416,3.0,0.0,3.0,14.67
117784417#0,1.0,2.0,2.0,8.84
117784417#2,5.0,5.0,5.0,5.62
117784417#3,6.0,5.0,6.0,4.95
117784417#4,5.0,5.0,5.0,34.89
117784418#0,1.0,0.0,1.0,4.67
117784418#1,0.0,0.0,0.0,0.0
117784418#2,0.0,0.0,0.0,0.0
117784418#3,2.0,2.0,2.0,9.54
117784418#4,3.0,13.0,13.0,4663.11
117784419#0,0.0,0.0,0.0,0.0
117784419#1,1.0,0.0,1.0,8.72
117784420,13.0,14.0,14.0,81.6
117784421#0,0.0,0.0,0.0,0.0
