edge_id,actual_entered_count,actual_left_count,actual_screenline_count,sampled_seconds
-176728951#4,82.0,60.0,82.0,1026.99
-176728952#0,9.0,13.0,13.0,247.92
-176728952#3,10.0,13.0,13.0,79.5
-176728952#6,13.0,19.0,19.0,260.7
-176728955#1,0.0,1.0,1.0,308.0
-176728955#2,18.0,21.0,21.0,1640.2
-176728955#4,13.0,16.0,16.0,133.72
-176728955#6,8.0,12.0,12.0,35.97
-176728955#7,9.0,14.0,14.0,77.21
-176728955#8,6.0,6.0,6.0,21.88
-180368918#0,120.0,120.0,120.0,292.22
-180368918#3,245.0,243.0,245.0,473.53
-180368918#5,247.0,245.0,247.0,2250.34
-180368918#6,249.0,248.0,249.0,333.2
-180368918#7,254.0,254.0,254.0,678.19
-180368918#8,254.0,254.0,254.0,397.99
-183272309#0,69.0,69.0,69.0,94889.7
-183272309#11,5.0,5.0,5.0,4.43
-183272309#13,7.0,5.0,7.0,44.1
-183272309#2,69.0,69.0,69.0,45863.43
-183272309#3,66.0,66.0,66.0,8290.11
-183272309#4,53.0,53.0,53.0,6961.3
-183272309#6,47.0,47.0,47.0,6987.13
-183272309#7,41.0,41.0,41.0,2347.28
-183272309#8,33.0,35.0,35.0,54.87
-183272309#9,32.0,32.0,32.0,97.43
-183272580#1,1.0,1.0,1.0,7.6
-183272613#2,3.0,0.0,3.0,25.2
-183272625#1,71.0,72.0,72.0,7357.87
-183272625#3,64.0,64.0,64.0,9136.94
-198564928#10,255.0,274.0,274.0,938.09
-198564928#11,233.0,217.0,233.0,671.5
-198564928#12,236.0,236.0,236.0,325.25
-198564928#13,250.0,249.0,250.0,146.82
-198564928#14,252.0,251.0,252.0,1074.54
-198564928#15,255.0,253.0,255.0,335.64
-198564928#16,255.0,255.0,255.0,1693.7
-198564928#17,256.0,255.0,256.0,339.02
-198564928#18,255.0,255.0,255.0,950.01
-198564928#20,255.0,255.0,255.0,2403.73
-198564928#21,251.0,255.0,255.0,1618.11
-198564928#22,251.0,251.0,251.0,561.43
-198564928#23,273.0,274.0,274.0,4406.17
-198564928#24,273.0,273.0,273.0,10632.91
-198564928#25,274.0,273.0,274.0,191.08
-198564928#26,272.0,273.0,273.0,27191.66
-198564928#27,241.0,241.0,241.0,13263.47
-198564928#28,244.0,244.0,244.0,6448.51
-198564928#4,78.0,77.0,78.0,18810.13
-198564928#5,158.0,158.0,158.0,1843.52
-198564928#6,160.0,156.0,160.0,401.45
-198564928#7,161.0,161.0,161.0,487.75
-198564928#8,158.0,158.0,158.0,288.7
-198564930,164.0,164.0,164.0,1492.1
-198564935#3,211.0,212.0,212.0,2272.64
-198691053#2,0.0,0.0,0.0,0.0
-198691055#0,6.0,8.0,8.0,16.07
-198691055#1,9.0,6.0,9.0,9.88
-198691059,30.0,1.0,30.0,44.87
