edge_id,length_m,lane_count,speed_mps,priority,spine_score,planned_count,actual_entered_count,actual_left_count
585341917,52.1,2.0,27.78,12.0,0.761745,277,276.0,275.0
184083191#1,20.44,3.0,16.67,12.0,0.761577,30,30.0,30.0
1465558144,40.67,6.0,27.78,12.0,0.759386,13,12.0,13.0
218926711#4,68.28,2.0,27.78,12.0,0.758187,280,269.0,219.0
616037662#0,108.99,5.0,27.78,12.0,0.758142,38,38.0,38.0
1455524949#6,14.88,3.0,16.67,12.0,0.757278,4,4.0,4.0
379943276,66.79,4.0,27.78,12.0,0.756856,52,52.0,52.0
218923178#0,11.83,3.0,16.67,12.0,0.754173,1,1.0,1.0
-913009312#8,118.78,2.0,27.78,12.0,0.752172,395,395.0,395.0
913009312#6,119.18,2.0,27.78,12.0,0.752024,425,425.0,412.0
800229256#3,18.09,3.0,16.67,12.0,0.750502,43,39.0,42.0
-383097714,18.36,5.0,27.78,12.0,0.748025,310,310.0,307.0
769116603#1,431.41,2.0,27.78,12.0,0.74774,75,75.0,75.0
619147727,29.27,2.0,27.78,12.0,0.747265,42,38.0,40.0
383097714,18.36,5.0,27.78,12.0,0.74724,531,528.0,531.0
218926711#6,95.39,2.0,27.78,12.0,0.744613,284,283.0,283.0
1206223946#0,32.77,2.0,27.78,12.0,0.744553,182,181.0,174.0
585341901#1,41.89,2.0,27.78,12.0,0.742394,288,287.0,262.0
619147736,87.07,2.0,27.78,12.0,0.736289,280,277.0,243.0
-913009312#3,136.25,2.0,27.78,12.0,0.735459,421,420.0,416.0
913009312#1,136.06,2.0,27.78,12.0,0.734901,437,437.0,426.0
413953595,14.4,2.0,27.78,12.0,0.732915,117,117.0,117.0
585341901#3,44.56,2.0,27.78,12.0,0.732849,252,248.0,231.0
616037662#1,28.21,5.0,27.78,12.0,0.728144,43,43.0,43.0
-218923177,154.31,1.0,27.78,11.0,0.727874,13,10.0,13.0
333554715#1,154.4,1.0,27.78,11.0,0.727341,5,5.0,5.0
783692390#0,98.49,1.0,22.22,7.0,0.726533,56,17.0,56.0
516948898#2,11.03,3.0,27.78,12.0,0.725672,21,15.0,16.0
616037662#2,22.22,5.0,27.78,12.0,0.723105,41,41.0,16.0
218926711#1,25.6,2.0,27.78,12.0,0.722587,156,146.0,134.0
218926711#0,58.28,2.0,27.78,12.0,0.718821,145,134.0,107.0
919984684,12.05,2.0,27.78,12.0,0.718531,30,30.0,30.0
413953596#0,15.55,3.0,27.78,12.0,0.718187,124,124.0,122.0
183272313#0,87.72,2.0,27.78,12.0,0.717706,0,0.0,0.0
585341908#0,59.61,2.0,27.78,12.0,0.715613,21,17.0,21.0
785130598#1,154.47,2.0,13.89,12.0,0.715134,38,38.0,37.0
785130598#5,112.66,2.0,13.89,12.0,0.713051,35,35.0,35.0
913428734,71.33,1.0,22.22,7.0,0.70848,2,2.0,2.0
619147734,40.06,8.0,16.67,12.0,0.707682,13,11.0,13.0
198564928#26,110.24,1.0,27.78,11.0,0.707504,579,579.0,579.0
-198564928#26,110.28,1.0,27.78,11.0,0.707005,183,183.0,183.0
183272314#2,89.4,2.0,27.78,12.0,0.705611,0,0.0,0.0
899373686#6,60.36,8.0,16.67,12.0,0.702156,22,22.0,22.0
37402180#3,278.86,1.0,27.78,11.0,0.699627,9,9.0,9.0
-800229257#1,278.12,1.0,27.78,11.0,0.699254,39,36.0,38.0
218915132#0,25.06,3.0,27.78,12.0,0.697785,44,44.0,42.0
198564928#27,94.52,1.0,27.78,11.0,0.696463,582,582.0,581.0
-198564928#27,94.5,1.0,27.78,11.0,0.695916,182,182.0,182.0
516948900#3,76.39,1.0,27.78,11.0,0.69444,5,2.0,5.0
-516948900#3,76.39,1.0,27.78,11.0,0.693904,32,29.0,31.0
585341903#0,71.1,2.0,27.78,12.0,0.69377,45,43.0,45.0
1455518729#0,86.92,1.0,27.78,11.0,0.693705,555,555.0,555.0
-1455518729#0,86.91,1.0,27.78,11.0,0.693164,168,168.0,168.0
785130598#7,86.02,2.0,13.89,12.0,0.692085,36,36.0,36.0
1455497343#1,80.65,2.0,13.89,12.0,0.690699,50,50.0,50.0
220028617,321.17,2.0,27.78,12.0,0.690285,7,7.0,0.0
619147738#1,17.0,2.0,27.78,12.0,0.689763,81,79.0,81.0
585341902,23.25,2.0,27.78,12.0,0.688512,187,184.0,181.0
913009312#9,33.36,2.0,27.78,12.0,0.688419,442,440.0,441.0
-913009312#9,33.36,2.0,27.78,12.0,0.688418,409,409.0,408.0
345046979#4,83.23,2.0,27.78,12.0,0.683483,140,140.0,140.0
-345046979#5,83.33,2.0,27.78,12.0,0.683114,298,298.0,298.0
1455497343#4,67.17,2.0,13.89,12.0,0.680778,35,35.0,32.0
782892489#5,192.29,2.0,27.78,12.0,0.680331,92,92.0,92.0
773066535#0,36.72,2.0,27.78,12.0,0.678912,10,10.0,10.0
782892491#0,53.78,1.0,22.22,10.0,0.678507,9,8.0,9.0
-1424068314#4,32.66,2.0,27.78,12.0,0.677443,0,0.0,0.0
1424068314#4,31.89,2.0,27.78,12.0,0.677394,1,0.0,1.0
516948900#4,50.58,1.0,27.78,11.0,0.673723,13,5.0,13.0
-516948900#4,50.58,1.0,27.78,11.0,0.673189,23,21.0,23.0
782892491#1,44.84,1.0,22.22,10.0,0.672055,8,7.0,8.0
183272647,55.32,1.0,22.22,7.0,0.671388,93,92.0,93.0
218974503#1,281.24,2.0,27.78,12.0,0.668043,79,79.0,74.0
-913009312#4,24.82,2.0,27.78,12.0,0.667733,393,393.0,393.0
708858347,38.35,5.0,13.89,11.0,0.667488,17,17.0,15.0
333554716,52.11,1.0,22.22,7.0,0.667187,0,0.0,0.0
913009312#4,24.82,2.0,27.78,12.0,0.667161,430,430.0,425.0
