edge_id,actual_entered_count,actual_left_count,sampled_seconds
-198691059,1.0,3.0,9.59
-198691062#0,1.0,0.0,5.29
-198691062#1,0.0,0.0,0.0
-198691063#1,27.0,2.0,191.68
-198691066,12.0,12.0,76.22
-198691067#1,4.0,5.0,18.09
-198691067#2,299.0,299.0,7604.4
-198691068,6.0,4.0,34.75
-198691070#0,3.0,1.0,19.87
-198691070#1,13.0,9.0,25.31
-198691071#0,3.0,4.0,15.51
-198691071#1,2.0,3.0,39.85
-198691072#0,0.0,0.0,0.0
-198691072#1,0.0,0.0,0.0
-198691075#1,12.0,9.0,55.73
-198691076#0,8.0,7.0,74.79
-198691076#1,8.0,8.0,8.4
-198691076#2,11.0,12.0,77.57
-198691080#0,0.0,1.0,1.61
-198691080#1,0.0,0.0,0.0
-198691080#2,0.0,0.0,0.0
-198691081,0.0,0.0,0.0
-198691083,0.0,0.0,0.0
-198691084,0.0,1.0,6.78
-198691085#0,13.0,12.0,54.83
-198691085#1,8.0,12.0,71.82
-198691085#2,1.0,3.0,21.0
-198691085#3,2.0,2.0,9.73
-198691086#2,10.0,7.0,239.85
-198691086#3,7.0,6.0,48.25
-198691087#1,0.0,0.0,0.0
-198691088,4.0,5.0,32.91
-198691090,4.0,9.0,33.84
-198691091,0.0,4.0,35.25
-198691093,0.0,0.0,0.0
-203501044,0.0,0.0,0.0
-215843535#2,0.0,0.0,0.0
-215843535#5,0.0,1.0,9.34
-218662402#1,430.0,427.0,9182.08
-218684408#1,0.0,0.0,0.0
-218684408#2,0.0,0.0,0.0
-218684408#4,0.0,0.0,0.0
-218684408#5,0.0,0.0,0.0
-218684411#1,23.0,23.0,91.37
-218684411#2,4.0,8.0,20.88
-218684411#3,0.0,0.0,0.0
-218684411#4,0.0,0.0,0.0
-218773868#0,557.0,557.0,2589.58
-218773868#2,25.0,24.0,72.65
-218773868#3,24.0,24.0,26.69
-218773868#4,24.0,24.0,63.13
-218773868#5,24.0,24.0,58.46
-218773868#6,22.0,21.0,16.19
-218923171#1,62.0,62.0,96.02
-218923171#3,62.0,62.0,88.35
-218923171#4,63.0,63.0,231.93
-218923171#5,164.0,163.0,423.72
-218923177,10.0,13.0,368.11
-218960891#0,2.0,1.0,4.94
-218960891#1,1.0,1.0,8.26
-218960895#0,0.0,0.0,0.0
-223418965#1,0.0,0.0,0.0
-223418965#13,1.0,1.0,11.21
-223418965#14,1.0,1.0,2.1
-223418965#15,1.0,1.0,5.17
-223418965#17,0.0,0.0,0.0
-223418965#2,2.0,0.0,10.89
-223418965#4,30.0,30.0,194.59
-223418965#9,14.0,13.0,87.45
-228795463#1,7.0,3.0,82.09
-228795463#3,10.0,8.0,7.79
-228795463#4,10.0,10.0,48.84
-228795467#0,3.0,0.0,14.86
-228795467#2,0.0,0.0,0.0
-228795468#0,14.0,15.0,76.95
-228795468#1,20.0,16.0,87.04
-228795468#2,21.0,25.0,79.43
-228795468#3,20.0,23.0,105.67
-228795471,22.0,39.0,95.65
-228795474#0,0.0,0.0,0.0
-228795474#2,3.0,0.0,13.41
-228795477#1,3.0,3.0,927.89
-228795477#2,1.0,1.0,4.15
-228795477#3,0.0,4.0,20.58
-228795477#5,0.0,0.0,0.0
-228795477#6,0.0,0.0,0.0
-228795477#7,0.0,0.0,0.0
-228795477#8,3.0,3.0,12.63
-228795478#0,8.0,8.0,42.43
-228795478#1,4.0,8.0,44.16
-228795478#2,2.0,0.0,10.19
-228795480,0.0,2.0,19.05
-228795481#0,0.0,0.0,0.0
-228795481#1,0.0,0.0,0.0
-228795483,0.0,0.0,0.0
-228795484#0,9.0,8.0,48.02
-228795484#1,9.0,9.0,57.7
-228796091#0,0.0,0.0,0.0
-228796091#1,1.0,0.0,2.24
-228796091#4,1.0,3.0,31.89
-228797633#1,7.0,7.0,35.93
-228797635#1,10.0,9.0,146.22
-228797635#2,8.0,10.0,63.92
-228797638#1,0.0,0.0,0.0
-228950039,1.0,1.0,5.62
-228950040#2,9.0,9.0,42.22
-229028338#0,0.0,0.0,0.0
-229028344#1,0.0,0.0,0.0
-229028634#1,2.0,4.0,35.02
-233651273,198.0,191.0,1325.97
-233651275,0.0,0.0,0.0
-233651280#0,3.0,1.0,28.77
-233651280#1,6.0,6.0,49.24
-233651284#0,11.0,6.0,75.44
-233651284#1,2.0,3.0,24.76
-233651288#0,2.0,1.0,30.22
-233651289#1,0.0,0.0,0.0
-233651326#2,0.0,0.0,0.0
-233651326#3,1.0,0.0,8.67
-233651327#5,0.0,0.0,0.0
-233651328#2,0.0,0.0,0.0
-233651333#5,4.0,2.0,38.31
-233651338#2,0.0,0.0,0.0
-233652295#2,0.0,0.0,0.0
-238535895#0,0.0,0.0,0.0
-238535896#2,0.0,0.0,0.0
-238536650#0,7.0,5.0,27.36
-238536650#1,7.0,7.0,26.96
-238536650#2,2.0,6.0,48.56
-239357573#19,13.0,0.0,107.85
-239357573#21,35.0,30.0,213.42
-243542153#3,3.0,3.0,96.39
-243542153#5,2.0,2.0,8.76
-243542153#6,2.0,2.0,3.69
-243542154#0,15.0,12.0,577.96
-243542154#1,6.0,6.0,22.39
-243542154#2,6.0,6.0,13.58
-243542154#3,8.0,8.0,6.45
-243542154#5,8.0,10.0,12.36
-243542154#7,8.0,7.0,54.32
-243542154#8,1.0,1.0,2.8
-243542154#9,0.0,0.0,0.0
-243542155#0,2.0,2.0,11.14
-243542155#1,2.0,2.0,10.97
-243542156#1,5.0,5.0,50.34
-243542157,0.0,1.0,8.11
-244215399,0.0,0.0,0.0
-244217578#0,5.0,5.0,33.31
-244217578#1,11.0,11.0,111.8
-244217578#3,11.0,11.0,60.29
-244221646#1,5.0,5.0,48.72
-244221646#2,3.0,3.0,5.35
-244384770#11,61.0,0.0,83.49
-244384770#15,228.0,160.0,3443.13
-268782232#0,5.0,3.0,14.9
-268782232#1,2.0,5.0,21.8
-268782232#2,0.0,0.0,0.0
-268782233#0,3.0,3.0,14.71
-268782233#2,3.0,3.0,6.22
-268782233#3,7.0,4.0,13.29
-268782233#4,10.0,9.0,115.95
-268782234#0,0.0,0.0,0.0
-268782234#1,1.0,1.0,8.27
-268782329#0,5.0,4.0,26.71
-268782329#1,2.0,2.0,9.4
-268782331,2.0,3.0,21.85
-268782333#0,1.0,0.0,6.47
-268782333#1,4.0,5.0,27.26
-268782334#0,0.0,12.0,64.72
-268782334#1,6.0,3.0,27.8
-268783056#1,29.0,29.0,16.01
-270279684#0,1.0,0.0,1.04
-270279684#1,15.0,14.0,76.09
-270279686#0,0.0,4.0,30.45
-270279686#1,0.0,0.0,0.0
-272228144#0,2.0,2.0,8.16
-272228144#1,2.0,2.0,10.96
-272228144#2,1.0,0.0,4.47
-272228144#3,3.0,0.0,8.26
-272228338,1.0,0.0,3.27
-272228339#0,4.0,3.0,14.73
-272228339#1,9.0,8.0,26.49
-272228339#2,10.0,10.0,10.64
-272228339#3,10.0,10.0,15.31
-272228340,2.0,0.0,9.34
-272228440#2,0.0,0.0,0.0
-272228442,0.0,0.0,0.0
-272228567,0.0,0.0,0.0
-272228670#1,0.0,0.0,0.0
-272229587#1,18.0,18.0,107.32
-272229587#2,16.0,16.0,45.55
-272229587#3,7.0,7.0,11.39
-272229587#5,17.0,16.0,54.76
-272229587#7,26.0,26.0,97.68
-272229587#8,26.0,26.0,219.87
-272229587#9,18.0,18.0,52.67
-272229588#0,3.0,1.0,22.14
-272229588#1,5.0,3.0,11.2
-272229589,2.0,0.0,9.69
-272231354,8.0,9.0,48.22
-272231356,8.0,13.0,45.71
-272231357#1,2.0,17.0,137.69
-272231357#2,5.0,2.0,22.38
-272232099#1,0.0,0.0,0.0
-272263605#1,0.0,0.0,0.0
-272263605#2,1.0,0.0,4.15
-272263606,0.0,0.0,0.0
-273028084#11,3.0,3.0,25.9
-273028084#5,6.0,6.0,72.2
-273028084#8,4.0,4.0,32.14
-273028084#9,4.0,4.0,14.01
-273638833#5,2.0,0.0,2.42
-273638834#1,24.0,24.0,4764.29
-273638834#4,29.0,24.0,53847.77
-273638834#6,28.0,28.0,642.8
-273638834#9,26.0,26.0,118.46
-273639040#2,2.0,1.0,19.3
-273639055#1,1.0,1.0,4.38
-273639055#2,5.0,44.0,5125.26
-273639055#5,3.0,4.0,312.79
-273639055#6,16.0,16.0,59.69
-273639056#2,1.0,2.0,16.12
-273639456,0.0,0.0,0.0
-273639501#1,7.0,7.0,22.05
-273639501#2,8.0,8.0,23.61
-273639766,0.0,0.0,0.0
-273640070#3,5.0,5.0,70.04
-273640076#1,1.0,3.0,52.84
-273640078#1,1.0,1.0,70.1
-273640078#4,1.0,1.0,17.57
-273647554#1,5.0,2.0,25.61
-273647554#4,1.0,1.0,4.72
-273647556#1,0.0,0.0,0.0
-273647557,1.0,0.0,10.05
-273647638#0,0.0,0.0,0.0
-273647638#2,1.0,1.0,2.12
-273648116#1,0.0,0.0,0.0
-273896133#2,0.0,0.0,0.0
-273896156#0,0.0,0.0,0.0
-273896156#2,0.0,0.0,0.0
-277257944#1,2.0,2.0,9.89
-277257944#3,0.0,0.0,0.0
-301285277#1,2.0,0.0,14.56
-301285279#0,0.0,3.0,49.99
-301285279#2,0.0,0.0,0.0
-315658884#5,35.0,37.0,632.69
-315658896#1,6.0,6.0,191.26
-315658896#2,5.0,4.0,11.51
-315658896#5,3.0,2.0,21.01
-315658896#6,2.0,0.0,4.07
-315658896#7,0.0,0.0,0.0
-315658897#1,3.0,0.0,22.38
-315658897#2,14.0,14.0,115.26
-315658897#5,0.0,0.0,0.0
-315658899#1,0.0,1.0,30.96
-315658900#2,0.0,0.0,0.0
-315658900#3,0.0,0.0,0.0
-315658900#5,0.0,0.0,0.0
-315658900#8,0.0,0.0,0.0
-318747848#2,14.0,15.0,102.82
-318747848#7,22.0,22.0,349.35
-318747850#0,0.0,0.0,0.0
-318747850#1,0.0,0.0,0.0
-318747850#2,0.0,0.0,0.0
-318747850#3,0.0,0.0,0.0
-322977445,1.0,1.0,13.24
-322977650,0.0,0.0,0.0
-327035698#0,3.0,2.0,14.65
-327035698#1,4.0,2.0,12.91
-327035698#3,4.0,4.0,28.23
-327035699#1,0.0,0.0,0.0
-327035700#0,20.0,20.0,134.74
-327035700#1,28.0,29.0,100.31
-327035702#0,8.0,4.0,17.99
-327035702#1,9.0,8.0,23.49
-327035702#5,9.0,9.0,54.05
-327040896,0.0,0.0,0.0
-329612996,0.0,0.0,0.0
-329995227#0,1.0,3.0,14.49
-329995227#1,4.0,4.0,40.03
-329995227#2,4.0,7.0,42.53
-329995230#0,27.0,25.0,98.03
-329995230#1,18.0,19.0,54.94
-329995230#2,9.0,10.0,37.6
-329995231#0,0.0,4.0,27.98
-329995231#1,9.0,6.0,42.48
-333554714#1,0.0,4.0,25.42
-344645186,17.0,10.0,141.66
-344645187,6.0,9.0,94.53
-344663874,1.0,4.0,158.69
-344663901#3,0.0,0.0,0.0
-344663909#1,190.0,0.0,717.46
-344663909#5,2.0,2.0,16.2
-345046979#3,298.0,299.0,2871.78
-345046979#5,298.0,298.0,1457.29
-348626442,6.0,0.0,51.44
-348626444#0,0.0,3.0,596.16
-348626444#2,0.0,1.0,5.37
-348626444#3,0.0,0.0,0.0
-348648522,0.0,0.0,0.0
-348659730,5.0,5.0,64.99
-351672095#1,0.0,2.0,26.66
-351672100#2,4.0,3.0,73.45
-351672100#4,17.0,14.0,103.59
-37399598#1,7.0,23.0,124.78
-37399598#2,6.0,7.0,35.09
-37399598#3,0.0,0.0,0.0
-37399924#1,11.0,11.0,71.73
-37399924#11,2.0,3.0,15.53
-37399924#2,11.0,11.0,45.41
-37399924#4,7.0,9.0,32.84
-37399924#5,7.0,7.0,9.43
-37399924#7,6.0,6.0,27.83
-37399924#8,6.0,6.0,28.26
-37399924#9,3.0,3.0,9.45
-37402180#2,0.0,0.0,0.0
-37403486#2,44.0,43.0,164.51
-37403487#1,49.0,49.0,67.13
-375125209,38.0,45.0,226.17
-37928420#2,283.0,277.0,9275.14
-381226320,4.0,4.0,8.74
-381226321,0.0,0.0,0.0
-381226322#1,2.0,2.0,13.42
-381226322#3,1.0,1.0,3.94
-381226322#4,1.0,1.0,7.07
-381226323,1.0,0.0,3.84
-381226325,4.0,2.0,17.87
-381230507#0,3.0,5.0,46.71
-381230507#4,2.0,2.0,10.09
-381447817#0,3.0,0.0,18.21
-381447817#1,0.0,13.0,164.65
-381447818,0.0,0.0,0.0
-381447820,0.0,0.0,0.0
-381447822,1.0,0.0,3.03
-381447823#1,2.0,2.0,86.68
-381447824,0.0,0.0,0.0
-381447826,0.0,0.0,0.0
-381447829#0,2.0,2.0,114.99
-381447831#0,0.0,0.0,0.0
-381447831#1,0.0,0.0,0.0
-381447832,16.0,16.0,160.96
-381447833#0,0.0,0.0,0.0
-381447833#1,4.0,4.0,29.16
-381447834#0,0.0,0.0,0.0
-381447834#1,0.0,0.0,0.0
-381447836#0,0.0,2.0,6.31
-381447836#2,4.0,1.0,6.88
-381447836#3,4.0,4.0,15.75
-381452097#1,7.0,7.0,391.65
-381452097#2,0.0,0.0,0.0
-381452097#3,0.0,0.0,0.0
-381452098#0,0.0,6.0,91.78
-381452099,0.0,0.0,0.0
-381452101#0,13.0,12.0,73.29
-381452101#1,14.0,9.0,71.83
-381452101#2,14.0,12.0,30.6
-381452101#3,15.0,17.0,28.47
-381452103#0,86.0,96.0,13487.03
-381452103#2,49.0,54.0,11844.66
-381452104#0,14.0,16.0,15658.08
-381452104#1,13.0,13.0,141.49
-381452104#2,10.0,8.0,167.63
-381452106#0,2.0,1.0,10.3
-381452106#1,1.0,2.0,2.24
-381452106#3,5.0,5.0,3.78
-381452106#4,5.0,5.0,15.81
-381452106#6,9.0,8.0,72.42
-381452108#0,6.0,7.0,4529.58
-381452108#1,4.0,4.0,774.08
-381452108#3,3.0,3.0,18.58
-381452108#4,6.0,3.0,3.37
-381452108#5,6.0,6.0,25.25
-381452110,1.0,0.0,2.37
-381452111,0.0,0.0,0.0
-381452112,0.0,0.0,0.0
-381452116,0.0,0.0,0.0
-381452117,0.0,1.0,2.84
-381452120#0,6.0,12.0,1414.54
-381452120#1,7.0,8.0,49.26
-381452120#2,11.0,19.0,136.59
-381452120#3,7.0,8.0,48.13
-381452120#5,5.0,5.0,16.0
-381452120#6,6.0,6.0,31.89
-381452122#3,13.0,15.0,316.34
-381452128,0.0,10.0,89.3
-381452129,0.0,0.0,0.0
-381452130,5.0,0.0,38.3
-381452132,4.0,3.0,324.44
-381452133,0.0,0.0,0.0
-381452134,0.0,2.0,22.37
-381452136,0.0,0.0,0.0
-381452137,0.0,1.0,5.25
-381452138#0,1.0,0.0,2.71
-381452138#1,5.0,5.0,21.72
-381452140#0,4.0,4.0,15.39
-381452140#1,1.0,1.0,14.98
-381452141,3.0,1.0,23.06
-381452143#0,3.0,3.0,6.51
-381452143#1,1.0,0.0,5.44
-381452147,0.0,0.0,0.0
-381452149#0,0.0,2.0,3.21
-381452151,0.0,0.0,0.0
-381452152,0.0,0.0,0.0
-381452153,2.0,1.0,11.5
-381452155,1.0,1.0,6.22
-381452156#0,5.0,5.0,19.03
-381452156#2,6.0,5.0,53.82
-381452158,0.0,0.0,0.0
-381452159,0.0,1.0,8.24
-381452160#0,2.0,2.0,13.48
-381452160#1,0.0,0.0,0.0
-381452160#2,6.0,5.0,13.25
-381452162,1.0,2.0,20.23
-381452163#0,7.0,7.0,18.1
-381452163#1,2.0,7.0,17.23
-381452163#2,4.0,2.0,10.17
-381452163#3,2.0,2.0,3.56
-381452163#4,1.0,2.0,5.46
-381452163#5,2.0,1.0,9.62
-381452166#0,4.0,0.0,21.12
-381452166#1,34.0,34.0,810.9
-381452166#3,0.0,0.0,0.0
-381452167,5.0,7.0,38.0
-381452169,0.0,0.0,0.0
-381452170#0,14.0,11.0,527.53
-381452170#1,28.0,27.0,96.09
-381452172,0.0,0.0,0.0
-381452174#0,1.0,1.0,8.83
-381452174#1,0.0,0.0,0.0
-381452175#0,14.0,14.0,1784.33
-381452175#1,20.0,19.0,2174.22
-381452175#2,11.0,23.0,1084.66
-381452175#3,12.0,12.0,38.64
-381452176#0,5.0,4.0,24.06
-381452176#1,5.0,5.0,27.12
-381452178#0,22.0,29.0,137.52
-381452178#1,16.0,22.0,80.14
-381452179#0,17.0,17.0,65.7
-381452179#1,7.0,8.0,14.98
-381452179#3,13.0,13.0,48.55
-381452180#0,0.0,0.0,0.0
-381452180#2,0.0,0.0,0.0
-381452180#4,3.0,1.0,20.74
-381452182#0,5.0,13.0,3553.23
-381452182#1,0.0,5.0,224.52
-381452186#0,0.0,0.0,0.0
-381452186#2,3.0,0.0,17.36
-381453320#0,2.0,2.0,38.38
-381453320#1,2.0,0.0,16.98
-381453320#2,2.0,2.0,5.56
-381453320#3,2.0,2.0,5.54
-381453321#1,2.0,2.0,7.94
-381453321#2,1.0,2.0,7.86
-381453321#4,2.0,1.0,4.21
-381453321#5,0.0,0.0,0.0
-381453322,0.0,0.0,0.0
-381453323,0.0,0.0,0.0
-381453324,1.0,0.0,3.21
-381453325#1,1.0,1.0,3.93
-381453326#0,2.0,2.0,11.17
-381453326#2,8.0,8.0,27.5
-381453326#3,8.0,8.0,34.9
-381453327,0.0,0.0,0.0
-381453328#0,2.0,2.0,36.14
-381453328#1,5.0,4.0,16.25
-381453328#2,5.0,5.0,15.0
-381453328#3,4.0,4.0,17.42
-381453329,3.0,0.0,28.9
-381453331,2.0,1.0,30.51
-381453798,0.0,0.0,0.0
-381453800,0.0,0.0,0.0
-381456417#0,3.0,3.0,15.83
-381456417#1,3.0,3.0,18.74
-381456417#2,0.0,0.0,0.0
-381456418#0,2.0,2.0,2.1
-381456418#1,5.0,4.0,18.97
-381456418#2,6.0,6.0,8.05
-381456418#4,6.0,6.0,26.17
-381456418#6,8.0,7.0,25.02
-381456419#0,0.0,0.0,0.0
-381456419#1,0.0,0.0,0.0
-381456420#0,6.0,5.0,862.81
-381456420#2,5.0,5.0,9.67
-381456420#4,5.0,5.0,10.82
-381456420#5,3.0,3.0,4.52
-381456420#6,1.0,1.0,5.21
-381456420#7,1.0,1.0,2.84
-381456422#1,2.0,2.0,76.57
-381456422#3,0.0,0.0,0.0
-381456422#4,1.0,0.0,0.64
-381456422#6,2.0,0.0,7.01
-381456422#7,0.0,0.0,0.0
-381456424#0,1.0,1.0,9.04
-381456424#1,0.0,0.0,0.0
-381456424#2,6.0,5.0,9.17
-381456424#3,6.0,6.0,7.62
-381456424#5,7.0,6.0,9.64
-381456424#6,9.0,8.0,14.5
-381456424#8,11.0,9.0,50.99
-381456429,0.0,0.0,0.0
-381456432,0.0,0.0,0.0
-381456433,0.0,2.0,10.69
-381456440#1,0.0,0.0,0.0
-381456441,0.0,0.0,0.0
-381456443,0.0,0.0,0.0
-381456444,0.0,0.0,0.0
-381456445,1.0,1.0,4.65
-381456446#0,1.0,0.0,2.4
-381456446#1,2.0,2.0,11.02
-381456447,0.0,0.0,0.0
-381456448,0.0,0.0,0.0
-381456449,4.0,1.0,18.54
-381456451,1.0,1.0,7.3
-381456452#2,1.0,0.0,5.15
-381456453#0,0.0,0.0,0.0
-381456453#1,0.0,0.0,0.0
-381456455#0,4.0,4.0,2.86
-381456455#1,6.0,6.0,18.91
-381456456,0.0,2.0,16.05
-381456457#1,0.0,0.0,0.0
-381456457#2,0.0,0.0,0.0
