connected_road_no,side_edge_sub_index,side_edge_id,relation_to_mainroad_node,junction_id,nearest_route_edge_id,nearest_segment_id,mainroad_edge_ids_at_junction,distance_from_fire_station_m,side_edge_length_m,side_edge_lane_count,side_edge_speed_kmh,side_from_node,side_to_node
14,3,381447832,leaves_mainroad_node,3846495828,218773868#3,S6,-218773868#3 -218773868#4 218773868#3 218773868#4,659.28,74.34,2,50.0,3846495828,3337470956
14,4,420331827,enters_mainroad_node,3846495828,218773868#3,S6,-218773868#3 -218773868#4 218773868#3 218773868#4,659.28,38.61,1,50.0,3846495816,3846495828
15,1,-381447817#1,leaves_mainroad_node,3846495825,218773868#4,S6,-218773868#4 -218773868#5 218773868#4 218773868#5,719.48,105.18,2,50.0,3846495825,1327210822
15,2,-381447831#1,leaves_mainroad_node,3846495825,218773868#4,S6,-218773868#4 -218773868#5 218773868#4 218773868#5,719.48,19.46,2,50.0,3846495825,3846495832
15,3,381447817#1,enters_mainroad_node,3846495825,218773868#4,S6,-218773868#4 -218773868#5 218773868#4 218773868#5,719.48,105.35,1,50.0,1327210822,3846495825
15,4,381447831#1,enters_mainroad_node,3846495825,218773868#4,S6,-218773868#4 -218773868#5 218773868#4 218773868#5,719.48,12.61,1,50.0,3846495832,3846495825
16,1,-348626444#3,leaves_mainroad_node,3547031098,218773868#5,S6,-218773868#5 -218773868#6 218773868#5 218773868#6,767.47,24.87,2,50.0,3547031098,3846495835
16,2,348626444#3,enters_mainroad_node,3547031098,218773868#5,S6,-218773868#5 -218773868#6 218773868#5 218773868#6,767.47,24.87,1,50.0,3846495835,3547031098
17,1,381447828,leaves_mainroad_node,3846495820,218773868#6,S6,-1455512070 -218773868#6 1455512070 218773868#6,779.49,88.56,2,50.0,3846495820,3846495797
18,1,-1455512067,leaves_mainroad_node,cluster_13348213189_13348213190_13348213191_4273893706_#1more,-1455512070,S6,-1455512070 1455512066 1455512070 428260110,849.33,10.02,2,50.0,cluster_13348213189_13348213190_13348213191_4273893706_#1more,4273893719
18,2,-428260116#0,enters_mainroad_node,cluster_13348213189_13348213190_13348213191_4273893706_#1more,-1455512070,S6,-1455512070 1455512066 1455512070 428260110,849.33,63.89,2,50.0,3846542636,cluster_13348213189_13348213190_13348213191_4273893706_#1more
18,3,1455512067,enters_mainroad_node,cluster_13348213189_13348213190_13348213191_4273893706_#1more,-1455512070,S6,-1455512070 1455512066 1455512070 428260110,849.33,10.02,2,50.0,4273893719,cluster_13348213189_13348213190_13348213191_4273893706_#1more
18,4,1455512071,leaves_mainroad_node,cluster_13348213189_13348213190_13348213191_4273893706_#1more,-1455512070,S6,-1455512070 1455512066 1455512070 428260110,849.33,64.43,2,50.0,cluster_13348213189_13348213190_13348213191_4273893706_#1more,3846542636
19,1,-381453328#0,enters_mainroad_node,10864285554,428260110,S7,428260110 785130600#0,884.05,22.05,1,50.0,3846542613,10864285554
19,2,381453328#0,leaves_mainroad_node,10864285554,428260110,S7,428260110 785130600#0,884.05,21.92,1,50.0,10864285554,3846542613
20,1,-381453324,leaves_mainroad_node,7335400044,785130600#0,S7,785130600#0 785130600#1,923.15,22.37,1,50.0,7335400044,cluster_3846542609_3846542610
20,2,381453324,enters_mainroad_node,7335400044,785130600#0,S7,785130600#0 785130600#1,923.15,22.87,1,50.0,cluster_3846542609_3846542610,7335400044
21,1,-420348556#3,leaves_mainroad_node,5863541379,785130600#2,S7,785130600#2 785130600#3,1061.75,56.07,1,50.0,5863541379,3846542596
21,2,420348556#3,enters_mainroad_node,5863541379,785130600#2,S7,785130600#2 785130600#3,1061.75,56.74,1,50.0,3846542596,5863541379
