input_method,input_seed,input_round,input_parameter_id,input_t_lead,input_delta_T_thr,input_G_ext,input_Q_ratio,input_tau,output_D_E_sec,output_D_G_sec,weight_E,weight_G,weight_ratio,score,measured_T_free_EMV_sec,measured_T_actual_EMV_sec,measured_D_E_sec,measured_D_G_sec,measured_general_mean_travel_time_sec,stage2_on_count,stage3_on_count
BO,20260607,8,bo_r08_003_tl100_dt208_ge14_qr40_tau85,100,208,14,0.4,0.85,371.92,432.18,0.91,0.09,10:1,377.40,,,371.92,432.18,,1,63
BO,20260607,8,bo_r08_004_tl93_dt169_ge14_qr33_tau86,93,169,14,0.33,0.86,272.92,447.98,0.91,0.09,10:1,288.83,,,272.92,447.98,,1,56
BO,20260607,8,bo_r08_005_tl87_dt219_ge28_qr60_tau90,87,219,28,0.6,0.9,476.92,428.81,0.91,0.09,10:1,472.55,,,476.92,428.81,,1,54
BO,20260607,8,bo_r08_006_tl1_dt114_ge1_qr99_tau88,1,114,1,0.99,0.88,547.92,297.52,0.91,0.09,10:1,525.16,,,547.92,297.52,,0,137
BO,20260607,9,bo_r09_001_tl93_dt168_ge14_qr33_tau86,93,168,14,0.33,0.86,272.92,447.98,0.91,0.09,10:1,288.83,,,272.92,447.98,,1,56
BO,20260607,9,bo_r09_002_tl92_dt167_ge15_qr32_tau87,92,167,15,0.32,0.87,382.92,431.33,0.91,0.09,10:1,387.32,,,382.92,431.33,,1,60
BO,20260607,9,bo_r09_003_tl107_dt120_ge8_qr20_tau90,107,120,8,0.2,0.9,457.92,431.07,0.91,0.09,10:1,455.48,,,457.92,431.07,,1,91
BO,20260607,9,bo_r09_004_tl107_dt120_ge18_qr33_tau88,107,120,18,0.33,0.88,518.92,302.18,0.91,0.09,10:1,499.22,,,518.92,302.18,,1,72
BO,20260607,9,bo_r09_005_tl51_dt201_ge28_qr52_tau90,51,201,28,0.52,0.9,413.92,428.14,0.91,0.09,10:1,415.21,,,413.92,428.14,,1,47
BO,20260607,9,bo_r09_006_tl34_dt24_ge43_qr1_tau85,34,24,43,0.01,0.85,0.00,500.78,0.91,0.09,10:1,45.53,,,0.00,500.78,,1,14
BO,20260607,10,bo_r10_001_tl95_dt166_ge13_qr32_tau85,95,166,13,0.32,0.85,252.92,453.28,0.91,0.09,10:1,271.13,,,252.92,453.28,,1,54
BO,20260607,10,bo_r10_002_tl95_dt166_ge13_qr32_tau87,95,166,13,0.32,0.87,252.92,453.28,0.91,0.09,10:1,271.13,,,252.92,453.28,,1,54
BO,20260607,10,bo_r10_003_tl95_dt157_ge12_qr39_tau87,95,157,12,0.39,0.87,398.92,442.89,0.91,0.09,10:1,402.92,,,398.92,442.89,,1,70
BO,20260607,10,bo_r10_004_tl95_dt156_ge12_qr25_tau87,95,156,12,0.25,0.87,398.92,442.89,0.91,0.09,10:1,402.92,,,398.92,442.89,,1,70
BO,20260607,10,bo_r10_005_tl97_dt126_ge12_qr4_tau89,97,126,12,0.04,0.89,371.92,442.31,0.91,0.09,10:1,378.32,,,371.92,442.31,,1,65
BO,20260607,10,bo_r10_006_tl0_dt178_ge50_qr92_tau90,0,178,50,0.92,0.9,491.92,310.75,0.91,0.09,10:1,475.45,,,491.92,310.75,,0,37
BO,20260607,11,bo_r11_001_tl92_dt172_ge15_qr34_tau86,92,172,15,0.34,0.86,382.92,431.33,0.91,0.09,10:1,387.32,,,382.92,431.33,,1,60
BO,20260607,11,bo_r11_002_tl91_dt168_ge15_qr34_tau86,91,168,15,0.34,0.86,382.92,431.33,0.91,0.09,10:1,387.32,,,382.92,431.33,,1,60
BO,20260607,11,bo_r11_003_tl64_dt174_ge9_qr34_tau87,64,174,9,0.34,0.87,375.92,438.95,0.91,0.09,10:1,381.65,,,375.92,438.95,,1,77
BO,20260607,11,bo_r11_004_tl62_dt163_ge10_qr43_tau90,62,163,10,0.43,0.9,328.92,446.38,0.91,0.09,10:1,339.60,,,328.92,446.38,,1,67
BO,20260607,11,bo_r11_005_tl90_dt198_ge47_qr7_tau79,90,198,47,0.07,0.79,259.92,453.83,0.91,0.09,10:1,277.55,,,259.92,453.83,,1,30
BO,20260607,11,bo_r11_006_tl5_dt217_ge49_qr96_tau71,5,217,49,0.96,0.71,474.92,307.35,0.91,0.09,10:1,459.69,,,474.92,307.35,,0,37
BO,20260607,12,bo_r12_001_tl90_dt199_ge47_qr7_tau79,90,199,47,0.07,0.79,259.92,453.83,0.91,0.09,10:1,277.55,,,259.92,453.83,,1,30
BO,20260607,12,bo_r12_002_tl90_dt196_ge47_qr8_tau80,90,196,47,0.08,0.8,259.92,453.83,0.91,0.09,10:1,277.55,,,259.92,453.83,,1,30
BO,20260607,12,bo_r12_003_tl98_dt198_ge50_qr3_tau81,98,198,50,0.03,0.81,0.00,466.18,0.91,0.09,10:1,42.38,,,0.00,466.18,,1,25
BO,20260607,12,bo_r12_004_tl97_dt197_ge50_qr11_tau81,97,197,50,0.11,0.81,0.00,466.18,0.91,0.09,10:1,42.38,,,0.00,466.18,,1,25
BO,20260607,12,bo_r12_005_tl43_dt183_ge8_qr97_tau77,43,183,8,0.97,0.77,556.92,304.05,0.91,0.09,10:1,533.93,,,556.92,304.05,,0,104
BO,20260607,12,bo_r12_006_tl108_dt6_ge0_qr22_tau79,108,6,0,0.22,0.79,313.92,447.29,0.91,0.09,10:1,326.04,,,313.92,447.29,,1,19
BO,20260607,13,bo_r13_001_tl89_dt194_ge46_qr7_tau79,89,194,46,0.07,0.79,279.92,459.23,0.91,0.09,10:1,296.22,,,279.92,459.23,,1,29
BO,20260607,13,bo_r13_002_tl89_dt200_ge46_qr7_tau79,89,200,46,0.07,0.79,279.92,459.23,0.91,0.09,10:1,296.22,,,279.92,459.23,,1,29
BO,20260607,13,bo_r13_003_tl76_dt191_ge50_qr18_tau86,76,191,50,0.18,0.86,0.00,467.06,0.91,0.09,10:1,42.46,,,0.00,467.06,,1,25
BO,20260607,13,bo_r13_004_tl94_dt219_ge50_qr21_tau84,94,219,50,0.21,0.84,0.00,467.06,0.91,0.09,10:1,42.46,,,0.00,467.06,,1,25
BO,20260607,13,bo_r13_005_tl77_dt154_ge23_qr39_tau72,77,154,23,0.39,0.72,505.92,312.16,0.91,0.09,10:1,488.31,,,505.92,312.16,,1,61
BO,20260607,13,bo_r13_006_tl76_dt7_ge1_qr0_tau82,76,7,1,0.0,0.82,0.00,478.11,0.91,0.09,10:1,43.46,,,0.00,478.11,,1,21
BO,20260607,14,bo_r14_001_tl89_dt195_ge46_qr7_tau79,89,195,46,0.07,0.79,279.92,459.23,0.91,0.09,10:1,296.22,,,279.92,459.23,,1,29
BO,20260607,14,bo_r14_002_tl89_dt200_ge46_qr7_tau80,89,200,46,0.07,0.8,279.92,459.23,0.91,0.09,10:1,296.22,,,279.92,459.23,,1,29
BO,20260607,14,bo_r14_003_tl86_dt189_ge50_qr0_tau84,86,189,50,0.0,0.84,0.00,467.06,0.91,0.09,10:1,42.46,,,0.00,467.06,,1,25
BO,20260607,14,bo_r14_004_tl85_dt211_ge50_qr5_tau84,85,211,50,0.05,0.84,0.00,467.06,0.91,0.09,10:1,42.46,,,0.00,467.06,,1,25
BO,20260607,14,bo_r14_005_tl24_dt176_ge9_qr46_tau72,24,176,9,0.46,0.72,0.00,470.47,0.91,0.09,10:1,42.77,,,0.00,470.47,,1,69
BO,20260607,14,bo_r14_006_tl110_dt0_ge14_qr48_tau84,110,0,14,0.48,0.84,371.92,432.18,0.91,0.09,10:1,377.40,,,371.92,432.18,,1,63
BO,20260607,15,bo_r15_001_tl89_dt196_ge46_qr7_tau79,89,196,46,0.07,0.79,279.92,459.23,0.91,0.09,10:1,296.22,,,279.92,459.23,,1,29
BO,20260607,15,bo_r15_002_tl89_dt194_ge46_qr7_tau81,89,194,46,0.07,0.81,279.92,459.23,0.91,0.09,10:1,296.22,,,279.92,459.23,,1,29
BO,20260607,15,bo_r15_003_tl96_dt147_ge49_qr19_tau81,96,147,49,0.19,0.81,657.92,292.41,0.91,0.09,10:1,624.69,,,657.92,292.41,,1,45
BO,20260607,15,bo_r15_004_tl91_dt150_ge50_qr8_tau81,91,150,50,0.08,0.81,0.00,466.18,0.91,0.09,10:1,42.38,,,0.00,466.18,,1,25
BO,20260607,15,bo_r15_005_tl106_dt90_ge46_qr5_tau84,106,90,46,0.05,0.84,495.92,306.43,0.91,0.09,10:1,478.69,,,495.92,306.43,,1,40
BO,20260607,15,bo_r15_006_tl97_dt55_ge1_qr97_tau70,97,55,1,0.97,0.7,0.00,486.65,0.91,0.09,10:1,44.24,,,0.00,486.65,,0,80
BO,20260607,16,bo_r16_001_tl89_dt198_ge46_qr7_tau79,89,198,46,0.07,0.79,279.92,459.23,0.91,0.09,10:1,296.22,,,279.92,459.23,,1,29
BO,20260607,16,bo_r16_002_tl89_dt194_ge46_qr7_tau80,89,194,46,0.07,0.8,279.92,459.23,0.91,0.09,10:1,296.22,,,279.92,459.23,,1,29
BO,20260607,16,bo_r16_003_tl112_dt185_ge50_qr0_tau79,112,185,50,0.0,0.79,0.00,466.18,0.91,0.09,10:1,42.38,,,0.00,466.18,,1,25
BO,20260607,16,bo_r16_004_tl110_dt184_ge49_qr7_tau79,110,184,49,0.07,0.79,657.92,292.41,0.91,0.09,10:1,624.69,,,657.92,292.41,,1,45
BO,20260607,16,bo_r16_005_tl61_dt121_ge48_qr10_tau72,61,121,48,0.1,0.72,360.92,439.52,0.91,0.09,10:1,368.06,,,360.92,439.52,,1,31
BO,20260607,16,bo_r16_006_tl109_dt161_ge1_qr99_tau70,109,161,1,0.99,0.7,469.92,426.95,0.91,0.09,10:1,466.01,,,469.92,426.95,,0,134
BO,20260607,17,bo_r17_001_tl89_dt197_ge46_qr7_tau79,89,197,46,0.07,0.79,279.92,459.23,0.91,0.09,10:1,296.22,,,279.92,459.23,,1,29
BO,20260607,17,bo_r17_002_tl89_dt195_ge46_qr7_tau81,89,195,46,0.07,0.81,279.92,459.23,0.91,0.09,10:1,296.22,,,279.92,459.23,,1,29
BO,20260607,17,bo_r17_003_tl100_dt163_ge47_qr0_tau75,100,163,47,0.0,0.75,259.92,453.83,0.91,0.09,10:1,277.55,,,259.92,453.83,,1,30
BO,20260607,17,bo_r17_004_tl99_dt164_ge47_qr11_tau80,99,164,47,0.11,0.8,259.92,453.83,0.91,0.09,10:1,277.55,,,259.92,453.83,,1,30
BO,20260607,17,bo_r17_005_tl96_dt165_ge46_qr7_tau75,96,165,46,0.07,0.75,279.92,459.23,0.91,0.09,10:1,296.22,,,279.92,459.23,,1,29
BO,20260607,17,bo_r17_006_tl100_dt177_ge0_qr100_tau86,100,177,0,1.0,0.86,234.92,454.29,0.91,0.09,10:1,254.86,,,234.92,454.29,,0,95
BO,20260607,18,bo_r18_001_tl89_dt195_ge46_qr7_tau80,89,195,46,0.07,0.8,279.92,459.23,0.91,0.09,10:1,296.22,,,279.92,459.23,,1,29
BO,20260607,18,bo_r18_002_tl89_dt200_ge46_qr8_tau79,89,200,46,0.08,0.79,279.92,459.23,0.91,0.09,10:1,296.22,,,279.92,459.23,,1,29
BO,20260607,18,bo_r18_003_tl90_dt178_ge50_qr23_tau76,90,178,50,0.23,0.76,0.00,466.18,0.91,0.09,10:1,42.38,,,0.00,466.18,,1,25
BO,20260607,18,bo_r18_004_tl88_dt170_ge50_qr1_tau70,88,170,50,0.01,0.7,0.00,467.22,0.91,0.09,10:1,42.47,,,0.00,467.22,,1,25
BO,20260607,18,bo_r18_005_tl104_dt66_ge17_qr10_tau86,104,66,17,0.1,0.86,404.92,435.21,0.91,0.09,10:1,407.67,,,404.92,435.21,,1,62
BO,20260607,18,bo_r18_006_tl86_dt210_ge7_qr100_tau81,86,210,7,1.0,0.81,337.92,436.20,0.91,0.09,10:1,346.85,,,337.92,436.20,,0,78
BO,20260607,19,bo_r19_001_tl89_dt196_ge46_qr7_tau80,89,196,46,0.07,0.8,279.92,459.23,0.91,0.09,10:1,296.22,,,279.92,459.23,,1,29
BO,20260607,19,bo_r19_002_tl89_dt200_ge46_qr8_tau80,89,200,46,0.08,0.8,279.92,459.23,0.91,0.09,10:1,296.22,,,279.92,459.23,,1,29
BO,20260607,19,bo_r19_003_tl97_dt198_ge50_qr0_tau70,97,198,50,0.0,0.7,0.00,467.22,0.91,0.09,10:1,42.47,,,0.00,467.22,,1,25
BO,20260607,19,bo_r19_004_tl94_dt173_ge50_qr11_tau82,94,173,50,0.11,0.82,0.00,466.18,0.91,0.09,10:1,42.38,,,0.00,466.18,,1,25
BO,20260607,19,bo_r19_005_tl74_dt207_ge50_qr16_tau72,74,207,50,0.16,0.72,0.00,467.22,0.91,0.09,10:1,42.47,,,0.00,467.22,,1,25
BO,20260607,19,bo_r19_006_tl76_dt116_ge3_qr97_tau90,76,116,3,0.97,0.9,439.92,326.47,0.91,0.09,10:1,429.61,,,439.92,326.47,,0,112
BO,20260607,20,bo_r20_001_tl89_dt197_ge46_qr7_tau80,89,197,46,0.07,0.8,279.92,459.23,0.91,0.09,10:1,296.22,,,279.92,459.23,,1,29
