method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,observed_score,best_so_far,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,bo_selection_strategy,bo_candidate_source,bo_plateau_mode,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score
BO,20260607,6,3,6,bo_r06_003_tl67_dt131_ge9_qr23_tau79,67,131,9,0.23,0.79,1000321.95,314.60,843354.50,417393.40,1269315.61,142.52,83.47,ei,local,False,49.40,15.49,10.05,12.92,9.48,49.40,17.83,49.40,19.19,3.89996064,5,0.587557
BO,20260607,6,4,6,bo_r06_004_tl61_dt133_ge9_qr31_tau81,61,133,9,0.31,0.81,1000346.36,314.60,527090.24,-182826.09,1237006.57,118.56,82.05,ei,local,False,50.95,15.24,10.03,13.00,9.77,50.95,19.02,50.95,19.67,3.93079738,5,0.616793
BO,20260607,6,5,6,bo_r06_005_tl63_dt138_ge2_qr49_tau81,63,138,2,0.49,0.81,1000043.54,314.60,301363.28,-642109.15,1244835.70,133.46,77.95,ei,global,False,50.17,14.67,9.74,12.63,9.65,50.17,19.11,50.17,19.33,3.91544918,5,0.639587
BO,20260607,6,6,6,bo_r06_006_tl5_dt213_ge48_qr99_tau73,5,213,48,0.99,0.73,406.33,314.60,910235.87,290475.59,1529996.16,87.74,29.21,ei,global,False,20.24,4.69,3.33,4.64,3.75,20.24,8.34,20.24,7.50,3.00780143,5,0.689279
BO,20260607,7,1,6,bo_r07_001_tl66_dt134_ge13_qr20_tau81,66,134,13,0.2,0.81,1000311.39,314.60,93896.84,-100405.90,288199.59,149.00,48.75,ei,stable_success,False,30.07,9.37,6.10,7.80,5.82,30.07,11.07,30.07,11.70,3.40342178,5,0.612589
BO,20260607,7,2,6,bo_r07_002_tl69_dt134_ge13_qr20_tau81,69,134,13,0.2,0.81,350.25,314.60,-107226.23,-294199.33,79746.86,143.82,47.55,ei,stable_success,False,29.60,9.33,6.07,7.71,5.76,29.60,10.90,29.60,11.56,3.38763008,5,0.618281
BO,20260607,7,3,6,bo_r07_003_tl59_dt125_ge11_qr13_tau81,59,125,11,0.13,0.81,1000446.10,314.60,698481.49,198761.47,1198201.51,235.15,102.92,ei,trust_region,False,60.00,18.28,11.92,15.54,11.38,60.00,21.68,60.00,23.13,4.09428870,5,0.578620
BO,20260607,7,4,6,bo_r07_004_tl67_dt121_ge11_qr10_tau82,67,121,11,0.1,0.82,1000560.16,314.60,-154492.59,-478999.99,170014.82,212.50,100.46,ei,local,False,60.58,19.10,12.39,15.84,11.70,60.58,22.01,60.58,23.60,4.10393766,5,0.598759
BO,20260607,7,5,6,bo_r07_005_tl68_dt112_ge12_qr13_tau70,68,112,12,0.13,0.7,1000494.59,314.60,-336400.61,-706503.83,33702.60,149.68,79.75,ei,global,False,38.77,13.24,8.29,10.77,7.21,38.77,12.27,38.77,15.09,3.65764153,5,0.481718
BO,20260607,7,6,6,bo_r07_006_tl6_dt152_ge49_qr94_tau74,6,152,49,0.94,0.74,1000459.69,314.60,326082.30,-122690.96,774855.57,80.68,24.84,ei,global,False,17.75,4.22,2.98,4.09,3.33,17.75,7.35,17.75,6.62,2.87643502,5,0.711127
BO,20260607,8,1,6,bo_r08_001_tl69_dt140_ge15_qr22_tau83,69,140,15,0.22,0.83,375.38,314.60,-765702.46,-1034578.36,-496826.57,0.21,18.04,stable_success_lattice,stable_success,False,11.79,3.68,2.41,3.04,2.31,11.79,4.44,11.79,4.61,2.46746837,5,0.649840
BO,20260607,8,2,6,bo_r08_002_tl69_dt140_ge15_qr20_tau83,69,140,15,0.2,0.83,375.38,314.60,-782175.49,-1058188.32,-506162.66,1.13,17.44,stable_success_lattice,stable_success,False,11.32,3.54,2.31,2.92,2.22,11.32,4.25,11.32,4.43,2.42658386,5,0.645040
BO,20260607,8,3,6,bo_r08_003_tl100_dt208_ge14_qr40_tau85,100,208,14,0.4,0.85,1000377.40,314.60,448805.46,-528403.15,1426014.07,86.92,61.19,ei,local,False,46.15,15.39,10.01,12.05,9.49,46.15,17.95,46.15,18.51,3.83186463,5,0.750875
BO,20260607,8,4,6,bo_r08_004_tl93_dt169_ge14_qr33_tau86,93,169,14,0.33,0.86,288.83,288.83,311864.66,-649991.23,1273720.54,83.53,59.70,ei,local,False,44.57,14.64,9.54,11.57,9.11,44.57,17.35,44.57,17.80,3.79696753,5,0.743111
BO,20260607,8,5,6,bo_r08_005_tl87_dt219_ge28_qr60_tau90,87,219,28,0.6,0.9,472.55,288.83,469231.28,-509486.50,1447949.07,87.72,75.10,ei,global,False,65.60,20.35,13.57,16.39,13.57,65.60,27.16,65.60,26.11,4.18351143,5,0.871518
