method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,observed_score,best_so_far,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,bo_selection_strategy,bo_candidate_source,bo_plateau_mode,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score
BO,20260607,41,2,6,bo_r41_002_tl101_dt33_ge41_qr86_tau81,101,33,41,0.86,0.81,1000045.36,245.52,232.76,155.02,310.51,22.34,22.33,ei,,,21.40,7.07,4.66,5.45,4.56,21.40,8.92,21.40,8.68,3.06327938,5,0.957704
BO,20260607,41,3,6,bo_r41_003_tl43_dt37_ge42_qr98_tau78,43,37,42,0.98,0.78,1000045.43,245.52,239.21,144.60,333.83,21.98,21.92,ei,,,18.59,5.18,3.55,4.46,3.73,18.59,7.83,18.59,7.22,2.92254334,5,0.845548
BO,20260607,41,4,6,bo_r41_004_tl58_dt43_ge41_qr92_tau77,58,43,41,0.92,0.77,1000044.91,245.52,263.80,115.16,412.45,21.55,21.49,ei,,,18.18,5.37,3.62,4.47,3.70,18.18,7.55,18.18,7.15,2.90049784,5,0.843617
BO,20260607,41,5,6,bo_r41_005_tl82_dt35_ge39_qr97_tau73,82,35,39,0.97,0.73,1000044.65,245.52,246.24,142.70,349.79,20.19,20.14,ei,,,17.22,5.52,3.65,4.37,3.58,17.22,7.03,17.22,6.89,2.84603385,5,0.852974
BO,20260607,41,6,6,bo_r41_006_tl38_dt40_ge39_qr85_tau74,38,40,39,0.85,0.74,1000045.35,245.52,265.21,123.02,407.41,19.73,19.65,ei,,,14.81,4.12,2.80,3.59,2.91,14.81,6.03,14.81,5.71,2.69502867,5,0.750241
BO,20260607,42,1,6,bo_r42_001_tl49_dt36_ge40_qr100_tau70,49,36,40,1.0,0.7,1000044.64,245.52,227.84,128.27,327.41,29.64,29.52,ei,,,22.75,6.61,4.45,5.60,4.53,22.75,9.24,22.75,8.86,3.12456760,5,0.767522
BO,20260607,42,2,6,bo_r42_002_tl56_dt39_ge41_qr83_tau79,56,39,41,0.83,0.79,1000045.15,245.52,243.29,123.38,363.20,24.99,24.92,ei,,,21.02,6.18,4.17,5.16,4.27,21.02,8.74,21.02,8.26,3.04561677,5,0.841383
BO,20260607,42,3,6,bo_r42_003_tl63_dt41_ge40_qr91_tau76,63,41,40,0.91,0.76,1000044.52,245.52,253.25,112.81,393.69,24.40,24.33,ei,,,20.42,6.15,4.12,5.06,4.17,20.42,8.42,20.42,8.06,3.01650218,5,0.837034
BO,20260607,42,4,6,bo_r42_004_tl59_dt43_ge41_qr100_tau77,59,43,41,1.0,0.77,1000044.91,245.52,262.58,113.85,411.31,22.06,22.01,ei,,,19.08,5.61,3.79,4.67,3.89,19.08,7.98,19.08,7.51,2.94861395,5,0.864714
BO,20260607,42,5,6,bo_r42_005_tl64_dt42_ge41_qr85_tau72,64,42,41,0.85,0.72,1000045.52,245.52,260.04,116.99,403.10,21.98,21.90,ei,,,17.22,5.32,3.53,4.34,3.50,17.22,6.93,17.22,6.81,2.84611212,5,0.783491
BO,20260607,42,6,6,bo_r42_006_tl46_dt39_ge39_qr83_tau75,46,39,39,0.83,0.75,1000045.71,245.52,260.85,125.41,396.29,20.14,20.06,ei,,,15.54,4.46,3.01,3.81,3.09,15.54,6.34,15.54,6.04,2.74369282,5,0.771910
BO,20260607,43,1,6,bo_r43_001_tl58_dt37_ge41_qr100_tau72,58,37,41,1.0,0.72,1000045.44,245.52,230.24,130.59,329.88,28.17,28.08,ei,,,22.81,6.80,4.56,5.65,4.62,22.81,9.34,22.81,8.96,3.12703618,5,0.809558
BO,20260607,43,2,6,bo_r43_002_tl67_dt32_ge40_qr79_tau74,67,32,40,0.79,0.74,1000045.48,245.52,225.53,156.47,294.59,25.49,25.40,ei,,,20.30,6.32,4.19,5.12,4.14,20.30,8.19,20.30,8.04,3.01058372,5,0.796435
BO,20260607,43,3,6,bo_r43_003_tl36_dt43_ge41_qr98_tau70,36,43,41,0.98,0.7,1000044.91,245.52,262.36,113.44,411.28,22.19,22.09,ei,,,16.40,4.54,3.09,3.98,3.21,16.40,6.66,16.40,6.31,2.79755343,5,0.739276
BO,20260607,43,4,6,bo_r43_004_tl43_dt39_ge42_qr96_tau76,43,39,42,0.96,0.76,1000045.09,245.52,247.77,133.34,362.21,21.66,21.59,ei,,,17.72,4.97,3.39,4.28,3.54,17.72,7.39,17.72,6.88,2.87495907,5,0.818168
BO,20260607,43,5,6,bo_r43_005_tl54_dt37_ge39_qr94_tau70,54,37,39,0.94,0.7,1000044.65,245.52,250.53,132.33,368.73,21.14,21.05,ei,,,16.04,4.77,3.19,3.99,3.21,16.04,6.45,16.04,6.28,2.77529971,5,0.759069
BO,20260607,43,6,6,bo_r43_006_tl66_dt40_ge39_qr89_tau77,66,40,39,0.89,0.77,1000045.35,245.52,264.51,122.63,406.38,19.95,19.89,ei,,,16.87,5.12,3.43,4.19,3.46,16.87,6.97,16.87,6.67,2.82580376,5,0.845966
BO,20260607,44,1,6,bo_r44_001_tl50_dt36_ge40_qr90_tau72,50,36,40,0.9,0.72,1000045.68,245.52,227.41,129.25,325.58,29.64,29.52,ei,,,22.74,6.65,4.47,5.62,4.54,22.74,9.22,22.74,8.87,3.12432422,5,0.767420
BO,20260607,44,2,6,bo_r44_002_tl55_dt37_ge41_qr95_tau70,55,37,41,0.95,0.7,1000045.44,245.52,230.00,130.88,329.13,28.21,28.10,ei,,,21.72,6.49,4.34,5.41,4.36,21.72,8.77,21.72,8.51,3.07814659,5,0.769866
BO,20260607,44,3,6,bo_r44_003_tl28_dt32_ge40_qr84_tau70,28,32,40,0.84,0.7,1000045.48,245.52,221.59,158.43,284.75,27.38,27.24,ei,,,18.91,5.11,3.48,4.58,3.63,18.91,7.54,18.91,7.21,2.93952674,5,0.690439
BO,20260607,44,4,6,bo_r44_004_tl40_dt31_ge40_qr100_tau70,40,31,40,1.0,0.7,1000044.72,245.52,222.48,168.76,276.20,25.25,25.14,ei,,,18.98,5.33,3.62,4.62,3.74,18.98,7.72,18.98,7.34,2.94358154,5,0.751897
BO,20260607,44,5,6,bo_r44_005_tl47_dt31_ge40_qr96_tau77,47,31,40,0.96,0.77,1000044.72,245.52,221.67,173.00,270.35,25.19,25.11,ei,,,20.97,5.94,4.05,5.07,4.21,20.97,8.76,20.97,8.17,3.04304490,5,0.832579
BO,20260607,44,6,6,bo_r44_006_tl42_dt32_ge41_qr93_tau72,42,32,41,0.93,0.72,1000045.07,245.52,223.54,172.94,274.15,23.95,23.85,ei,,,18.29,5.19,3.51,4.46,3.62,18.29,7.46,18.29,7.09,2.90651341,5,0.763852
BO,20260607,45,1,6,bo_r45_001_tl34_dt35_ge40_qr100_tau73,34,35,40,1.0,0.73,1000044.60,245.52,224.89,133.64,316.14,29.96,29.84,ei,,,23.14,6.29,4.31,5.55,4.54,23.14,9.56,23.14,8.90,3.14163268,5,0.772353
BO,20260607,45,2,6,bo_r45_002_tl59_dt33_ge40_qr93_tau76,59,33,40,0.93,0.76,1000044.58,245.52,220.95,152.61,289.30,28.70,28.61,ei,,,24.01,7.13,4.80,5.92,4.88,24.01,9.94,24.01,9.44,3.17830125,5,0.836566
BO,20260607,45,3,6,bo_r45_003_tl58_dt38_ge40_qr100_tau81,58,38,40,1.0,0.81,1000044.59,245.52,236.71,119.63,353.80,27.89,27.85,ei,,,25.24,7.31,4.97,6.12,5.17,25.24,10.73,25.24,9.92,3.22860939,5,0.905018
BO,20260607,45,4,6,bo_r45_004_tl67_dt38_ge40_qr99_tau75,67,38,40,0.99,0.75,1000044.59,245.52,236.84,119.51,354.16,27.88,27.80,ei,,,23.80,7.23,4.84,5.91,4.88,23.80,9.85,23.80,9.42,3.16955847,5,0.853694
BO,20260607,45,5,6,bo_r45_005_tl41_dt34_ge41_qr98_tau74,41,34,41,0.98,0.74,1000045.44,245.52,222.54,152.19,292.90,27.85,27.75,ei,,,22.15,6.19,4.22,5.36,4.40,22.15,9.17,22.15,8.58,3.09803802,5,0.795374
BO,20260607,45,6,6,bo_r45_006_tl58_dt39_ge41_qr90_tau82,58,39,41,0.9,0.82,1000045.15,245.52,240.57,122.56,358.59,26.00,25.96,ei,,,23.27,6.78,4.60,5.66,4.76,23.27,9.85,23.27,9.15,3.14725060,5,0.894978
BO,20260607,46,1,6,bo_r46_001_tl52_dt37_ge40_qr95_tau80,52,37,40,0.95,0.8,1000044.60,245.52,231.39,124.03,338.76,28.99,28.93,ei,,,25.25,7.22,4.92,6.11,5.12,25.25,10.66,25.25,9.88,3.22889370,5,0.870924
BO,20260607,46,2,6,bo_r46_002_tl64_dt39_ge41_qr100_tau79,64,39,41,1.0,0.79,1000044.88,245.52,239.57,121.66,357.47,26.52,26.47,ei,,,23.79,7.07,4.77,5.83,4.89,23.79,10.03,23.79,9.40,3.16941764,5,0.897362
BO,20260607,46,3,6,bo_r46_003_tl35_dt41_ge41_qr100_tau76,35,41,41,1.0,0.76,1000044.91,245.52,249.77,115.02,384.52,24.84,24.76,ei,,,20.09,5.44,3.74,4.79,3.98,20.09,8.41,20.09,7.74,3.00033130,5,0.808759
BO,20260607,46,4,6,bo_r46_004_tl97_dt42_ge41_qr100_tau81,97,42,41,1.0,0.81,1000044.91,245.52,259.63,115.34,403.93,22.40,22.39,ei,,,21.97,7.10,4.71,5.53,4.67,21.97,9.27,21.97,8.88,3.08984440,5,0.981103
BO,20260607,46,5,6,bo_r46_005_tl19_dt38_ge40_qr58_tau83,19,38,40,0.58,0.83,1000045.68,245.52,261.10,123.80,398.39,20.40,20.31,ei,,,15.35,3.93,2.73,3.61,2.96,15.35,6.37,15.35,5.83,2.73093811,5,0.752222
BO,20260607,46,6,6,bo_r46_006_tl43_dt34_ge39_qr91_tau75,43,34,39,0.91,0.75,1000044.68,245.52,241.47,150.74,332.19,19.99,19.92,ei,,,15.73,4.43,3.01,3.82,3.13,15.73,6.48,15.73,6.10,2.75561629,5,0.786869
BO,20260607,47,1,6,bo_r47_001_tl42_dt34_ge40_qr80_tau73,42,34,40,0.8,0.73,1000045.68,245.52,225.37,141.80,308.95,28.22,28.09,ei,,,20.88,5.96,4.02,5.13,4.11,20.88,8.41,20.88,8.09,3.03856644,5,0.739821
BO,20260607,47,2,6,bo_r47_002_tl66_dt34_ge41_qr90_tau77,66,34,41,0.9,0.77,1000045.49,245.52,225.19,153.79,296.59,26.14,26.07,ei,,,22.39,6.80,4.56,5.56,4.60,22.39,9.28,22.39,8.86,3.10871190,5,0.856607
