segment_id,direction,reference_speed_kmh,simulated_speed_kmh,speed_error_kmh,edgeData_speed_kmh,reference_travel_time_s,simulated_travel_time_s,travel_time_error_s,edgeData_travel_time_s,reference_volume_vph,observed_count,volume_error,edgeData_observed_count,screenline_edge,screenline_count,raw_edge_count_sum,edge_count,max_density,max_occupancy,fcd_traversal_sample_count,fcd_traversal_time_median_s,fcd_traversal_time_p75_s,runtime_queue_max_m,runtime_slow_count_max,runtime_halted_count_max,runtime_density_max,runtime_occupancy_max,runtime_waiting_or_timeloss_max,low_speed_interval_count,target_queue_proxy,sumo_queue_proxy,class
S6,downbound,15.7,50.76,35.06,50.76,101.9,33.064,-68.836,33.064,1128.0,4.0,-1124.0,1.0,1455512070,4.0,404.0,12,59.57,9.99,0,,,7.685,3.074,3.074,59.57,29.03,61.4,9,2.047897,0.0,free
S6,upbound,16.4,38.738,22.338,38.738,97.6,30.967,-66.633,30.967,1128.0,18.0,-1110.0,8.0,-1455512070,18.0,1854.0,9,73.53,18.59,0,,,6.171,1.646,1.646,73.53,21.98,277.97,1,1.890338,0.0,free
S7,downbound,15.7,29.12,13.42,29.12,78.5,71.427,-7.073,71.427,1128.0,0.0,-1128.0,0.0,1455497343#1,0.0,249.0,8,25.11,4.33,0,,,5.15,2.06,2.06,25.11,12.15,45.94,8,2.049713,0.23061,off_target
S7,upbound,16.4,54.609,38.209,54.609,75.1,26.353,-48.747,26.353,1128.0,19.0,-1109.0,3.0,785130600#2,19.0,1176.0,7,69.2,13.69,0,,,42.843,17.137,17.137,69.2,21.35,458.69,6,1.889815,0.0,free
S8,downbound,14.2,16.669,2.469,16.669,11.5,1564.938,1553.438,1564.938,759.0,6.0,-753.0,2.0,785130598#8,6.0,109.0,2,32.65,8.23,0,,,10.354,2.761,2.761,32.65,16.45,105.17,4,2.450015,0.780891,target_like
S8,upbound,18.3,39.249,20.949,39.249,8.9,14.934,6.034,14.934,759.0,18.0,-741.0,6.0,1455497345,18.0,397.0,2,69.2,13.69,0,,,42.843,17.137,17.137,69.2,21.35,458.69,6,1.52235,0.0,free
S9,downbound,14.2,8.643,-5.557,8.643,118.9,1876.701,1757.801,1876.701,759.0,4.0,-755.0,1.0,785130598#2,4.0,515.0,11,296.05,54.09,0,,,56.242,22.497,22.497,296.05,66.43,449.53,109,2.441805,2.759435,target_like
S9,upbound,16.8,3.713,-13.087,3.713,100.5,489.24,388.74,489.24,759.0,17.0,-742.0,4.0,218773869#6,17.0,1505.0,11,362.69,55.64,0,,,157.994,63.198,63.198,362.69,69.06,1248.38,335,1.805941,3.299051,stop
S10,downbound,14.5,8.251,-6.249,8.251,53.3,415.364,362.064,415.364,759.0,7.0,-752.0,0.0,781985779#1,7.0,624.0,13,296.05,54.09,0,,,79.797,31.919,31.919,296.05,66.43,611.86,138,2.358304,2.800439,target_like
S10,upbound,16.4,14.921,-1.479,14.921,47.1,74.146,27.046,74.146,759.0,9.0,-750.0,0.0,219696193#1,9.0,718.0,9,362.69,52.9,0,,,52.499,21.0,21.0,362.69,68.9,342.0,53,1.890831,2.116323,target_like
S11,downbound,14.2,77.876,63.676,77.876,32.7,14.366,-18.334,14.366,759.0,7.0,-752.0,0.0,781985783,7.0,214.0,8,5.85,1.46,0,,,0.0,0.0,0.0,5.85,2.69,5.8,0,2.442892,0.0,metric_invalid
S11,upbound,17.3,60.413,43.113,60.413,26.8,20.621,-6.179,20.621,759.0,1.0,-758.0,0.0,420361196,1.0,480.0,6,14.47,3.79,0,,,0.0,0.0,0.0,14.47,4.23,23.44,0,1.703732,0.0,speed_sanity_fail
S12,downbound,14.9,78.741,63.841,78.741,48.6,19.085,-29.515,19.085,759.0,7.0,-752.0,0.0,781985784,7.0,293.0,12,5.85,1.46,0,,,0.0,0.0,0.0,5.85,2.69,5.8,0,2.246647,0.0,metric_invalid
S12,upbound,16.4,53.661,37.261,53.661,44.2,34.219,-9.981,34.219,759.0,1.0,-758.0,1.0,180445419,1.0,793.0,9,38.91,6.65,0,,,6.28,2.512,2.512,38.91,16.68,50.99,6,1.890766,0.0,free
S13,downbound,15.7,80.136,64.436,80.136,14.7,5.384,-9.316,5.384,759.0,7.0,-752.0,2.0,781985786#7,7.0,196.0,3,5.32,1.33,0,,,0.0,0.0,0.0,5.32,2.23,0.63,0,2.052299,0.0,metric_invalid
S13,upbound,19.2,57.667,38.467,57.667,12.0,10.657,-1.343,10.657,759.0,11.0,-748.0,3.0,347237859#1,11.0,500.0,4,38.91,6.65,0,,,6.28,2.512,2.512,38.91,16.68,59.02,6,1.371529,0.0,free
S14,downbound,16.5,79.68,63.18,79.68,44.1,10.267,-33.833,10.267,759.0,6.0,-753.0,2.0,781985786#3,6.0,299.0,5,5.3,0.88,0,,,0.0,0.0,0.0,5.3,1.89,2.2,0,1.867072,0.0,metric_invalid
S14,upbound,19.2,16.345,-2.855,16.345,37.9,70.301,32.401,70.301,759.0,11.0,-748.0,3.0,347237859#3,11.0,669.0,5,137.79,22.88,0,,,60.738,24.295,24.295,137.79,68.36,477.2,27,1.370399,1.631762,target_like
S15,downbound,16.5,71.769,55.269,71.769,35.6,9.043,-26.557,9.043,759.0,5.0,-754.0,1.0,781985786#2,5.0,109.0,2,4.85,0.8,0,,,0.0,0.0,0.0,4.85,1.35,5.97,0,1.869452,0.0,metric_invalid
S15,upbound,16.8,5.469,-11.331,5.469,34.9,276.38,241.48,276.38,759.0,29.0,-730.0,2.0,781985787#0,29.0,470.0,4,250.47,43.64,0,,,104.39,41.756,41.756,250.47,68.36,837.44,72,1.802974,3.107971,off_target
S16,downbound,14.5,1.035,-13.465,1.035,54.8,1794.853,1740.053,1794.853,759.0,14.0,-745.0,3.0,921117704#0,14.0,218.0,2,387.15,64.55,0,,,261.21,104.484,104.484,387.15,66.7,2089.88,110,2.357626,3.558551,stop
S16,upbound,18.3,50.101,31.801,50.101,43.4,25.472,-17.928,25.472,759.0,27.0,-732.0,0.0,218915135#3,27.0,346.0,5,335.16,56.91,0,,,76.944,30.778,30.778,335.16,61.65,169.36,6,1.521063,0.0,free
S17,downbound,15.7,1.579,-14.121,1.579,39.3,2796.595,2757.295,2796.595,759.0,17.0,-742.0,2.0,781983103#1,17.0,517.0,5,400.0,65.84,0,,,261.21,104.484,104.484,400.0,67.42,2089.88,179,2.051125,3.508446,stop
S17,upbound,19.2,56.321,37.121,56.321,32.1,24.172,-7.928,24.172,759.0,24.0,-735.0,0.0,781983104#0,24.0,301.0,4,335.16,56.91,0,,,76.944,30.778,30.778,335.16,61.65,169.36,6,1.371529,0.0,free
S18,downbound,16.5,3.343,-13.157,3.343,39.8,2140.842,2101.042,2140.842,759.0,18.0,-741.0,7.0,619147739#5,18.0,935.0,5,400.0,65.84,0,,,237.12,94.848,94.848,400.0,69.06,1887.03,137,1.866812,3.338105,stop
S18,upbound,18.3,78.208,59.908,78.208,35.9,16.096,-19.804,16.096,759.0,24.0,-735.0,0.0,781983104#1,24.0,267.0,4,17.31,2.88,0,,,0.0,0.0,0.0,17.31,6.92,12.78,0,1.520045,0.0,metric_invalid
S19,downbound,15.7,6.989,-8.711,6.989,63.7,1166.711,1103.011,1166.711,759.0,16.0,-743.0,8.0,619147739#0,16.0,1467.0,7,381.72,63.44,0,,,211.253,84.501,84.501,381.72,69.11,1278.43,99,2.048852,2.954054,off_target
S19,upbound,18.3,72.711,54.411,72.711,54.6,26.725,-27.875,26.725,759.0,13.0,-746.0,1.0,333557072#5,13.0,449.0,6,17.31,3.07,0,,,0.0,0.0,0.0,17.31,6.92,49.92,0,1.51958,0.0,metric_invalid
S20,downbound,15.7,58.118,42.418,58.118,3.9,8.563,4.663,8.563,759.0,13.0,-746.0,7.0,619147740,13.0,371.0,2,20.76,3.54,0,,,0.0,0.0,0.0,20.76,6.88,71.07,0,2.026,0.0,free
S20,upbound,18.3,56.062,37.762,56.062,3.4,6.875,3.475,6.875,759.0,7.0,-752.0,1.0,619147738#0,7.0,42.0,1,12.13,2.45,0,,,0.0,0.0,0.0,12.13,3.51,29.05,0,1.528317,0.0,free
S21,downbound,14.2,46.77,32.57,46.77,20.8,10.256,-10.544,10.256,759.0,6.0,-753.0,1.0,219696191#1,6.0,273.0,4,13.51,3.38,0,,,0.0,0.0,0.0,13.51,6.76,13.72,0,2.439661,0.0,free
S21,upbound,18.3,56.062,37.762,56.062,16.2,6.875,-9.325,6.875,759.0,7.0,-752.0,1.0,619147738#0,7.0,42.0,1,12.13,2.45,0,,,0.0,0.0,0.0,12.13,3.51,29.05,0,1.525579,0.0,free
S22,downbound,14.2,8.525,-5.675,8.525,30.5,442.555,412.055,442.555,759.0,3.0,-756.0,0.0,477063271,3.0,69.0,8,30.78,7.78,0,,,8.902,2.374,2.374,30.78,15.56,70.94,16,2.443457,1.106967,target_like
S22,upbound,16.8,47.35,30.55,47.35,25.8,4.768,-21.032,4.768,759.0,0.0,-759.0,0.0,1206223945,0.0,116.0,12,11.1,2.28,0,,,0.0,0.0,0.0,11.1,3.56,7.99,0,1.808561,0.0,free
