edge_id,target_lanes,current_lanes,lane_delta,source_segment_ids,source_directions,source_row_count,dominant_segment_ids,dominant_directions,dominant_match_ratio,repair_reason
37402371,3,2,1,S22,upbound,1,S22,upbound,0.071429,edge_weighted_majority_lane_target
420361196,2,2,0,S10 S11 S12,upbound,3,S10 S11 S12,upbound,1.0,edge_weighted_majority_lane_target
578313748#2,3,2,1,S2 S3,upbound,2,S2 S3,upbound,0.4,edge_weighted_majority_lane_target
585341906#0,3,2,1,S22,upbound,1,S22,upbound,0.285714,edge_weighted_majority_lane_target
585341907#0,3,2,1,S22,upbound,1,S22,upbound,0.285714,edge_weighted_majority_lane_target
781983104#1,3,2,1,S17 S18 S19,upbound,3,S17 S18 S19,upbound,1.0,edge_weighted_majority_lane_target
781985793#1,2,2,0,S10 S11,upbound,2,S10 S11,upbound,0.434783,edge_weighted_majority_lane_target
785130600#3,2,2,0,S7 S8,upbound,2,S7 S8,upbound,0.833333,edge_weighted_majority_lane_target
800229255,3,2,1,S2 S3,upbound,2,S2 S3,upbound,0.3,edge_weighted_majority_lane_target
180368918#5,3,2,1,S3 S4,upbound,2,S3 S4,upbound,0.357143,edge_weighted_majority_lane_target
347237859#2,3,2,1,S13 S14,upbound,2,S13 S14,upbound,0.5,edge_weighted_majority_lane_target
-218684411#0,3,3,0,S1,upbound,1,S1,upbound,0.162162,edge_weighted_majority_lane_target
218773868#0,2,2,0,S6,upbound,1,S6,upbound,0.130435,edge_weighted_majority_lane_target
428260110,2,2,0,S6 S7,upbound,2,S6 S7,upbound,0.222222,edge_weighted_majority_lane_target
1455497345,3,2,1,S7 S8 S9,upbound,3,S7 S8 S9,upbound,1.0,edge_weighted_majority_lane_target
180368915#1,3,2,1,S10 S11,upbound,2,S10 S11,upbound,0.357143,isolated_lane_gap_smoothing
333557072#2,3,2,1,S18 S19,upbound,2,S18 S19,upbound,0.310345,edge_weighted_majority_lane_target
781985789#0,3,1,2,S16,upbound,1,S16,upbound,0.333333,edge_weighted_majority_lane_target
-174870621#10,3,2,1,S1,upbound,1,S1,upbound,0.216216,edge_weighted_majority_lane_target
585341906#2,3,2,1,S22,upbound,1,S22,upbound,0.5,edge_weighted_majority_lane_target
347237859#5,3,2,1,S14 S15,upbound,2,S14 S15,upbound,0.5,edge_weighted_majority_lane_target
218915133#0,2,2,0,S12,upbound,1,S12,upbound,0.272727,edge_weighted_majority_lane_target
219696193#1,2,2,0,S10 S9,upbound,2,S10 S9,upbound,0.478261,edge_weighted_majority_lane_target
-174870621#9,3,2,1,S1,upbound,1,S1,upbound,0.216216,edge_weighted_majority_lane_target
218773868#2,3,2,1,S6,upbound,1,S6,upbound,0.195652,isolated_lane_gap_smoothing
218773869#1,3,2,1,S9,upbound,1,S9,upbound,0.22449,edge_weighted_majority_lane_target
785130600#0,3,2,1,S7,upbound,1,S7,upbound,0.305556,isolated_lane_gap_smoothing
781985789#1,3,1,2,S16,upbound,1,S16,upbound,0.333333,edge_weighted_majority_lane_target
585341907#2,3,2,1,S22,upbound,1,S22,upbound,0.571429,edge_weighted_majority_lane_target
180368918#0,3,2,1,S2 S3,upbound,2,S2 S3,upbound,0.642857,edge_weighted_majority_lane_target
-381802847#0,3,1,2,S1 S2,upbound,2,S1 S2,upbound,0.8,edge_weighted_majority_lane_target
347237859#3,3,2,1,S13 S14,upbound,2,S13 S14,upbound,0.681818,edge_weighted_majority_lane_target
180368918#6,3,2,1,S3 S4,upbound,2,S3 S4,upbound,0.571429,edge_weighted_majority_lane_target
218915133#1,3,2,1,S12,upbound,1,S12,upbound,0.454545,isolated_lane_gap_smoothing
-174870621#8,3,2,1,S1,upbound,1,S1,upbound,0.324324,edge_weighted_majority_lane_target
