edge_id,current_lanes,target_lanes_simple,weighted_majority_lanes,max_target_lanes,total_matched_length_m,max_match_ratio,edge_length_m,source_segment_ids,source_directions,source_row_count,min_axis_position,smoothing_applied,repair_reason
381802847#2,1,3,3,3,48.22973,0.135135,88.79,S1,downbound,1,0.34881,False,edge_weighted_majority_lane_target
1206223946#1,2,2,2,2,65.68,0.8,21.81,S21,downbound,1,0.350917,False,edge_weighted_majority_lane_target
782892492#0,1,2,2,2,101.221429,0.714286,23.08,S11 S12,downbound,2,0.351034,False,edge_weighted_majority_lane_target
620607766#0,1,2,2,2,73.2,0.363636,10.07,S12,downbound,1,0.358593,False,edge_weighted_majority_lane_target
781985786#2,3,3,3,3,126.855556,0.777778,83.62,S15,downbound,1,0.360012,False,edge_weighted_majority_lane_target
619147739#5,2,3,3,3,146.978621,0.7,77.11,S18 S19,downbound,2,0.360809,False,edge_weighted_majority_lane_target
-578313748#0,2,3,3,3,81.45,0.45,16.98,S2,downbound,1,0.362182,False,edge_weighted_majority_lane_target
-218773868#5,2,3,3,3,106.317391,0.23913,48.88,S6,downbound,1,0.380365,False,edge_weighted_majority_lane_target
174870621#5,2,3,3,3,67.521622,0.189189,2.42,S1,downbound,1,0.398168,False,edge_weighted_majority_lane_target
781985792#0,2,3,3,3,83.934783,0.391304,16.65,S10,downbound,1,0.406038,False,edge_weighted_majority_lane_target
620607766#1,1,3,2,2,73.2,0.363636,5.94,S12,downbound,1,0.414308,True,isolated_lane_gap_smoothing
955312947#1,1,3,3,3,54.063158,0.315789,71.84,S17,downbound,1,0.418168,False,edge_weighted_majority_lane_target
1455497343#2,2,3,3,3,95.055556,0.277778,31.15,S7,downbound,1,0.43464,False,edge_weighted_majority_lane_target
781985786#4,3,3,3,3,91.954545,0.454545,33.23,S14,downbound,1,0.449881,False,edge_weighted_majority_lane_target
785130598#3,2,3,2,2,95.693878,0.204082,25.75,S9,downbound,1,0.451959,True,isolated_lane_gap_smoothing
174870621#6,2,3,3,3,86.813514,0.243243,27.25,S1,downbound,1,0.479233,False,edge_weighted_majority_lane_target
619147739#1,2,3,3,3,76.634483,0.275862,13.6,S19,downbound,1,0.479712,False,edge_weighted_majority_lane_target
781985792#1,2,3,3,3,74.608696,0.347826,8.88,S10,downbound,1,0.499047,False,edge_weighted_majority_lane_target
781985784,2,2,2,2,155.55,0.772727,97.56,S12,downbound,1,0.505798,False,edge_weighted_majority_lane_target
620607766#2,1,2,2,2,64.05,0.318182,41.63,S12,downbound,1,0.520725,False,edge_weighted_majority_lane_target
785130598#4,2,2,2,2,86.12449,0.183673,21.76,S9,downbound,1,0.524743,False,edge_weighted_majority_lane_target
-218773868#4,2,3,3,3,115.982609,0.26087,60.72,S6,downbound,1,0.532395,False,edge_weighted_majority_lane_target
174870621#7,2,3,3,3,77.167568,0.216216,9.33,S1,downbound,1,0.538415,False,edge_weighted_majority_lane_target
-381453320#0,1,3,3,3,66.538889,0.194444,31.02,S7,downbound,1,0.558473,False,edge_weighted_majority_lane_target
619147739#2,2,3,3,3,86.213793,0.310345,25.03,S19,downbound,1,0.5753,False,edge_weighted_majority_lane_target
1455497343#3,2,3,3,3,114.066667,0.333333,44.13,S7,downbound,1,0.586784,False,edge_weighted_majority_lane_target
783692390#0,1,2,2,2,155.55,0.772727,95.31,S12,downbound,1,0.613848,False,edge_weighted_majority_lane_target
785130598#5,2,2,2,2,114.832653,0.244898,53.07,S9,downbound,1,0.646344,False,edge_weighted_majority_lane_target
781985792#2,2,3,3,3,111.913043,0.521739,43.81,S10,downbound,1,0.647312,False,edge_weighted_majority_lane_target
781985786#5,3,3,3,3,82.759091,0.409091,28.19,S14,downbound,1,0.659062,False,edge_weighted_majority_lane_target
477063271,2,3,2,2,68.685714,0.571429,0.2,S22,downbound,1,0.667123,True,isolated_lane_gap_smoothing
-218773868#3,2,3,3,3,77.321739,0.173913,23.45,S6,downbound,1,0.670217,False,edge_weighted_majority_lane_target
174870621#8,2,3,3,3,125.397297,0.351351,56.25,S1,downbound,1,0.693802,False,edge_weighted_majority_lane_target
785130598#6,2,3,2,2,95.693878,0.204082,43.61,S9,downbound,1,0.75273,True,isolated_lane_gap_smoothing
1455497343#4,2,3,3,3,133.077778,0.388889,67.12,S7,downbound,1,0.790486,False,edge_weighted_majority_lane_target
-218773868#2,2,3,3,3,96.652174,0.217391,49.02,S6,downbound,1,0.809892,False,edge_weighted_majority_lane_target
174870621#9,2,3,3,3,77.167568,0.216216,7.81,S1,downbound,1,0.817842,False,edge_weighted_majority_lane_target
785130598#7,2,3,2,2,66.985714,0.142857,12.79,S9,downbound,1,0.856684,True,isolated_lane_gap_smoothing
174870621#10,2,3,3,3,86.813514,0.243243,14.55,S1,downbound,1,0.863605,False,edge_weighted_majority_lane_target
218684411#0,2,3,3,3,57.875676,0.162162,11.54,S1,downbound,1,0.948887,False,edge_weighted_majority_lane_target
218684411#1,2,3,3,3,48.22973,0.135135,24.47,S1,downbound,1,1.0,False,edge_weighted_majority_lane_target
218684411#2,2,3,3,3,9.645946,0.027027,13.14,S1,downbound,1,1.0,False,edge_weighted_majority_lane_target
273638834#1,1,3,3,3,18.652174,0.086957,0.77,S10,downbound,1,1.0,False,edge_weighted_majority_lane_target
315658897#0,1,3,3,3,9.57931,0.034483,76.43,S19,downbound,1,1.0,False,edge_weighted_majority_lane_target
-174870621#2,2,3,3,3,132.063514,0.25,64.95,S1 S2,upbound,2,0.0,False,edge_weighted_majority_lane_target
-218684411#1,3,3,3,3,38.583784,0.108108,24.47,S1,upbound,1,0.0,False,edge_weighted_majority_lane_target
-273638834#1,1,3,2,2,18.652174,0.086957,0.2,S10,upbound,1,0.0,True,isolated_lane_gap_smoothing
-273638834#2,1,3,3,3,76.068501,0.122449,47.42,S10 S9,upbound,2,0.0,False,edge_weighted_majority_lane_target
-315658897#0,1,3,3,3,9.57931,0.034483,75.47,S19,upbound,1,0.0,False,edge_weighted_majority_lane_target
180368915#0,2,2,2,2,74.132919,0.285714,5.03,S10 S11,upbound,2,0.0,False,edge_weighted_majority_lane_target
180368915#3,2,2,2,2,82.75,0.5,38.34,S11 S12,upbound,2,0.0,False,edge_weighted_majority_lane_target
180368918#3,2,3,3,3,92.05,0.642857,24.71,S3 S4,upbound,2,0.0,False,edge_weighted_majority_lane_target
180368918#7,2,3,3,3,103.295238,0.714286,47.64,S4 S5,upbound,2,0.0,False,edge_weighted_majority_lane_target
180368918#8,2,3,2,3,77.416149,1.0,17.1,S4 S5 S6,upbound,3,0.0,True,isolated_lane_gap_smoothing
218773869#9,2,3,3,3,85.637888,0.142857,17.65,S10 S9,upbound,2,0.0,False,edge_weighted_majority_lane_target
218915135#4,2,3,3,3,109.213158,0.315789,39.8,S16 S17,upbound,2,0.0,False,edge_weighted_majority_lane_target
