edge_id,target_lanes_simple,actual_lanes,current_lanes_before_repair,source_segment_ids,source_directions,smoothing_applied,status
-174870621#7,3,3,2,S1,upbound,False,PASS
218773868#4,3,3,2,S6,upbound,True,PASS
1206223947,3,3,2,S22,upbound,False,PASS
180445419,2,2,2,S12,upbound,False,PASS
619147738#1,3,3,2,S22,upbound,False,PASS
-174870621#6,3,3,2,S1,upbound,False,PASS
219696193#2,3,3,2,S10,upbound,True,PASS
218773869#5,3,3,2,S9,upbound,False,PASS
218915133#2,3,3,2,S12,upbound,True,PASS
1206223945,3,3,2,S22,upbound,False,PASS
781985787#0,3,3,2,S15,upbound,False,PASS
-955312947#1,3,3,1,S17,upbound,False,PASS
-174870621#5,3,3,2,S1,upbound,False,PASS
218915135#3,3,3,2,S16,upbound,False,PASS
183272387#0,3,3,2,S2,upbound,False,PASS
218773868#5,2,2,2,S6,upbound,False,PASS
785130600#2,2,2,2,S7,upbound,False,PASS
578313748#0,3,3,2,S2,upbound,False,PASS
-381802847#2,3,3,1,S1,upbound,False,PASS
218773869#6,3,3,2,S9,upbound,False,PASS
-174870621#4,3,3,2,S1,upbound,False,PASS
781985793#0,2,2,2,S10,upbound,False,PASS
218773868#6,2,2,2,S6,upbound,False,PASS
1206223939,3,3,2,S22,upbound,False,PASS
218915133#3,3,3,2,S12,upbound,True,PASS
333557072#5,3,3,2,S19,upbound,False,PASS
183272387#1,3,3,2,S2,upbound,False,PASS
615671503,3,3,2,S22,upbound,False,PASS
-1455512070,3,3,2,S6,upbound,True,PASS
-381802847#1,3,3,1,S1,upbound,False,PASS
218773869#7,3,3,2,S9,upbound,False,PASS
218773869#8,3,3,2,S9,upbound,False,PASS
615671502,3,3,2,S22,upbound,False,PASS
183272387#2,3,3,2,S2,upbound,False,PASS
183272654,3,3,4,S22,upbound,False,PASS
315658884#1,3,3,1,S18,upbound,False,PASS
913372757,3,3,1,S15,upbound,False,PASS
