tls_id,profile_role,source,source_itst_id,source_eqmn_id,source_tls_id,movement_ids,mapped_segments,route_order_min,cycle_sec,main_green_sec,side_green_sec,yellow_sec,offset_sec,confidence,dominant_api_field,dominant_remaining_sec,inference_reason
cluster_3846534041_436877431,location_matched_mainroad,A008_location_matched_nearest_TData_timing_fallback,6813,CIB1070033700,cluster_3846534041_436877431,B4_MOVEMENT_02,S3:upbound,12.0,110,75,29,3,57,0.55,,0.0,no direct API timing hit; borrowed nearest API timing from CSV_TLS_S11_S12_TOEGYE_RO_2_GA at route_order=42.0
joinedS_4276255151_cluster_4276255149_4276255150_4276255152_436839431,global_location_fallback,nearest_similar_A008_or_API_signal_profile,592,CIB1070033700,CSV_TLS_S08_S09_TOEGYE_RO_4_GA,,,0.0,110,64,40,3,79,0.45,,0.0,"nearest A008=중구청 (15.0m), no direct timing hit; borrowed source_tls=CSV_TLS_S08_S09_TOEGYE_RO_4_GA at 229.0m"
1945254547,global_location_fallback,nearest_similar_A008_or_API_signal_profile,7088,CIB1210102800,13732389938,,,0.0,115,60,49,3,11,0.54,etLtsgRmdrCs,103.2,"nearest A008=서울광장 (19.8m), no direct timing hit; borrowed source_tls=13732389938 at 347.6m"
CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,location_matched_mainroad,A008_location_matched_nearest_TData_timing_fallback,647,CIB1070033700,CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,B4_MOVEMENT_03,S5:upbound,16.0,110,75,29,3,76,0.55,,0.0,no direct API timing hit; borrowed nearest API timing from CSV_TLS_S11_S12_TOEGYE_RO_2_GA at route_order=42.0
joinedS_11209914859_cluster_11209914851_11209914852_11209914857_11209914858_#9more,global_location_direct,A008_global_TData_SPAT_direct,374,CIB1021037400,joinedS_11209914859_cluster_11209914851_11209914852_11209914857_11209914858_#9more,,,0.0,85,50,29,3,32,0.669,seStsgRmdrCs,38.6,nearest A008=염천교; direct timing hit for itstId=374
cluster_2374692784_2374692803,global_location_fallback,nearest_similar_A008_or_API_signal_profile,1239,CIB1070033700,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,,,0.0,110,64,40,3,37,0.45,,0.0,"nearest A008=티마크호텔 (156.5m), no direct timing hit; borrowed source_tls=joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more at 278.3m"
CSV_TLS_S16_S17_SHINSEGAE_DEPARTMENT_STORE,location_matched_mainroad,A008_location_matched_nearest_TData_timing_fallback,1105,CIB1070033600,CSV_TLS_S16_S17_SHINSEGAE_DEPARTMENT_STORE,B4_MOVEMENT_12,S16:upbound,52.0,100,75,19,3,69,0.55,,0.0,no direct API timing hit; borrowed nearest API timing from CSV_TLS_S19_S20_SEVERANCE_BUILDING at route_order=58.0
joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,location_matched_mainroad,A008_location_matched_nearest_TData_timing_fallback,649,CIB1070033700,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,B4_MOVEMENT_06 B4_MOVEMENT_07,S9:upbound,37.0,110,75,29,3,77,0.55,,0.0,no direct API timing hit; borrowed nearest API timing from CSV_TLS_S11_S12_TOEGYE_RO_2_GA at route_order=42.0
cluster_3846493853_3846493855_3846493856,global_location_fallback,nearest_similar_A008_or_API_signal_profile,5619,CIB1161096400,joinedS_3846493837_cluster_2515564080_436883154,,,0.0,85,43,36,3,54,0.585,etLtsgRmdrCs,1.9,"nearest A008=엠버서더호텔(연등) (70.5m), no direct timing hit; borrowed source_tls=joinedS_3846493837_cluster_2515564080_436883154 at 120.8m"
3846493836,global_location_direct,A008_global_TData_SPAT_direct,964,CIB1161096400,3846493836,,,0.0,85,50,29,3,75,0.625,etLtsgRmdrCs,1.9,nearest A008=엠버서더호텔; direct timing hit for itstId=964
436870729,global_location_direct,A008_global_TData_SPAT_direct,963,CIB1161096300,436870729,,,0.0,130,85,39,3,108,0.896,neLtsgRmdrCs,128.0,nearest A008=우리은행장충지점; direct timing hit for itstId=963
3846533327,global_location_fallback,nearest_similar_A008_or_API_signal_profile,5091,CIB1161096300,436870729,,,0.0,130,73,51,3,83,0.62,neLtsgRmdrCs,128.0,"nearest A008=장충초교(경보) (38.6m), no direct timing hit; borrowed source_tls=436870729 at 593.8m"
CSV_TLS_S17_S18_NAMDAEMUN_MARKET,location_matched_mainroad,A008_location_matched_nearest_TData_timing_fallback,5263,CIB1070033600,CSV_TLS_S17_S18_NAMDAEMUN_MARKET,B4_MOVEMENT_13,S17:upbound,53.0,100,75,19,3,74,0.55,,0.0,no direct API timing hit; borrowed nearest API timing from CSV_TLS_S19_S20_SEVERANCE_BUILDING at route_order=58.0
3846495798,global_location_fallback,nearest_similar_A008_or_API_signal_profile,612,CIB1070033700,joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,,,0.0,110,64,40,3,41,0.45,,0.0,"nearest A008=퇴계로5가 (86.3m), no direct timing hit; borrowed source_tls=joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more at 85.1m"
436849185,global_location_fallback,nearest_similar_A008_or_API_signal_profile,7757,CIB1210102800,13732389938,,,0.0,115,60,49,3,94,0.54,etLtsgRmdrCs,103.2,"nearest A008=조선호텔앞(연등) (203.5m), no direct timing hit; borrowed source_tls=13732389938 at 93.9m"
joinedS_11414286323_cluster_11414286309_7666741014,global_location_fallback,nearest_similar_A008_or_API_signal_profile,7087,CIB1070033600,CSV_TLS_S17_S18_NAMDAEMUN_MARKET,,,0.0,100,64,30,3,63,0.45,,0.0,"nearest A008=삼성본관 (26.7m), no direct timing hit; borrowed source_tls=CSV_TLS_S17_S18_NAMDAEMUN_MARKET at 449.6m"
joinedS_3846493837_cluster_2515564080_436883154,global_location_direct,A008_global_TData_SPAT_direct,964,CIB1161096400,joinedS_3846493837_cluster_2515564080_436883154,,,0.0,85,50,29,3,74,0.685,etLtsgRmdrCs,1.9,nearest A008=엠버서더호텔; direct timing hit for itstId=964
