edge_id,edge_role,current_lanes_before,reference_lanes,target_lanes,actual_lanes_after,status,reason
781985792#3,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
781985793#0,route+mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
781985793#1,route+mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
782892492#0,mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
782892492#1,mainroad,2,2,3,3,PASS,b0_route_geometry_lane_recall
783692390#0,mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
783692390#1,mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
785130598#0,mainroad,2,2,3,3,PASS,b0_route_geometry_lane_recall
785130598#1,mainroad,2,3,3,3,PASS,b0_route_geometry_lane_recall
785130598#2,mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
785130598#3,mainroad,2,3,2,2,PASS,b0_route_geometry_lane_recall
785130598#4,mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
785130598#5,mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
785130598#6,mainroad,2,3,2,2,PASS,b0_route_geometry_lane_recall
785130598#7,mainroad,2,3,2,2,PASS,b0_route_geometry_lane_recall
785130598#8,mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
785130600#0,route+mainroad,2,3,3,3,PASS,b0_route_geometry_lane_recall
785130600#1,route+mainroad,2,3,3,3,PASS,b0_route_geometry_lane_recall
785130600#2,route+mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
785130600#3,route+mainroad,2,2,3,3,PASS,b0_route_geometry_lane_recall
785130603,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
800229255,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
913372757,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
913702834,mainroad,2,2,3,3,PASS,b0_route_geometry_lane_recall
921117704#0,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
955312947#1,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
