method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,sumo_summary_teleports,sumo_summary_collisions,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,bo_selection_strategy,bo_candidate_source,bo_plateau_mode,bo_batch_slot,hold_feasibility,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,8,4,6,bo_r08_004_tl93_dt169_ge14_qr33_tau86,93,169,14,0.33,0.86,272.92,447.98,288.83,288.83,0.00,PASS,,recovery_detected,True,False,0,0,0,354,1,56,311864.66,-649991.23,1273720.54,83.53,59.70,ei,local,False,local_constrained,0.7179810990417218,44.57,14.64,9.54,11.57,9.11,44.57,17.35,44.57,17.80,3.79696753,5,0.743111,288.83,,,
BO,20260607,8,5,6,bo_r08_005_tl87_dt219_ge28_qr60_tau90,87,219,28,0.6,0.9,476.92,428.81,472.55,288.83,0.00,PASS,,recovery_detected,True,False,0,0,0,360,1,54,469231.28,-509486.50,1447949.07,87.72,75.10,ei,global,False,global_ei,0.8579850796937638,65.60,20.35,13.57,16.39,13.57,65.60,27.16,65.60,26.11,4.18351143,5,0.871518,472.55,,,
BO,20260607,8,6,6,bo_r08_006_tl1_dt114_ge1_qr99_tau88,1,114,1,0.99,0.88,547.92,297.52,1000525.16,288.83,1000000.00,FAIL,sumo_summary_teleport_collision,recovery_timeout,True,False,1,1,1,2285,0,137,477416.96,-501447.12,1456281.04,87.80,20.40,ei,global,False,space_filling,0.23350727385661774,14.82,2.96,2.21,3.22,2.69,14.82,6.35,14.82,5.38,2.69568605,5,0.722667,525.16,,,
BO,20260607,9,1,6,bo_r09_001_tl93_dt168_ge14_qr33_tau86,93,168,14,0.33,0.86,272.92,447.98,288.83,288.83,0.00,PASS,,recovery_detected,True,False,0,0,0,354,1,56,-1242.85,-73218.77,70733.06,1.24,47.96,incumbent_exploitation,stable_success,False,stable,0.6193649507844079,35.81,11.76,7.67,9.30,7.32,35.81,13.95,35.81,14.30,3.57834797,5,0.743401,288.83,,,
BO,20260607,9,2,6,bo_r09_002_tl92_dt167_ge15_qr32_tau87,92,167,15,0.32,0.87,382.92,431.33,387.32,288.83,0.00,PASS,,recovery_detected,True,False,0,0,0,556,1,60,36573.15,-365867.15,439013.46,23.82,45.33,stable_success_lattice,stable_success,False,stable,0.650334458244132,34.31,11.20,7.32,8.88,7.02,34.31,13.44,34.31,13.69,3.53539124,5,0.753644,387.32,,,
BO,20260607,9,3,6,bo_r09_003_tl107_dt120_ge8_qr20_tau90,107,120,8,0.2,0.9,457.92,431.07,455.48,288.83,0.00,PASS,,recovery_detected,True,False,0,0,0,874,1,91,451199.71,-525333.78,1427733.20,99.63,83.69,ei,local,False,local_constrained,0.8433000386858207,65.30,22.25,14.42,17.16,13.59,65.30,25.52,65.30,26.37,4.17899970,5,0.777192,455.48,,,
BO,20260607,9,4,6,bo_r09_004_tl107_dt120_ge18_qr33_tau88,107,120,18,0.33,0.88,518.92,302.18,1000499.22,288.83,1000000.00,FAIL,sumo_summary_teleport_collision,recovery_timeout,True,False,1,1,1,606,1,72,447072.33,-529356.31,1423500.96,96.77,81.08,ei,local,False,local_constrained,0.8405429151813938,66.61,22.65,14.73,17.40,13.98,66.61,26.45,66.61,26.97,4.19885201,5,0.818892,499.22,,,
BO,20260607,9,5,6,bo_r09_005_tl51_dt201_ge28_qr52_tau90,51,201,28,0.52,0.9,413.92,428.14,415.21,288.83,0.00,PASS,,recovery_detected,True,False,0,0,0,349,1,47,449823.64,-526623.35,1426270.64,92.31,91.97,ei,global,False,global_ei,1.0,72.85,20.18,13.78,17.57,14.43,72.85,30.15,72.85,28.16,4.28842192,5,0.789238,415.21,,,
BO,20260607,9,6,6,bo_r09_006_tl34_dt24_ge43_qr1_tau85,34,24,43,0.01,0.85,0.00,500.78,1000045.53,288.83,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,0,0,2586,1,14,458689.52,-517891.35,1435270.40,85.42,18.79,ei,global,False,space_filling,0.2211882520004828,12.84,3.70,2.47,3.19,2.49,12.84,5.02,12.84,4.95,2.55276796,5,0.679695,45.53,,,
BO,20260607,10,1,6,bo_r10_001_tl95_dt166_ge13_qr32_tau85,95,166,13,0.32,0.85,252.92,453.28,1000271.13,288.83,1000000.00,FAIL,sumo_summary_teleport_collision,recovery_detected,True,False,1,1,1,425,1,54,74225.01,-316911.28,465361.30,129.25,82.21,ei,stable_success,False,stable,0.6390761568403881,60.39,20.07,13.04,15.79,12.35,60.39,23.31,60.39,24.16,4.10086296,5,0.731126,271.13,,,
BO,20260607,10,2,6,bo_r10_002_tl95_dt166_ge13_qr32_tau87,95,166,13,0.32,0.87,252.92,453.28,1000271.13,288.83,1000000.00,FAIL,sumo_summary_teleport_collision,recovery_detected,True,False,1,1,1,425,1,54,66789.47,-355126.01,488704.95,128.02,81.77,ei,stable_success,False,stable,0.6415237767937677,61.85,20.36,13.28,16.06,12.68,61.85,24.17,61.85,24.73,4.12475863,5,0.753126,271.13,,,
BO,20260607,10,3,6,bo_r10_003_tl95_dt157_ge12_qr39_tau87,95,157,12,0.39,0.87,398.92,442.89,402.92,288.83,0.00,PASS,,recovery_detected,True,False,0,0,0,554,1,70,262802.67,-558307.07,1083912.42,160.83,113.43,ei,local,False,local_constrained,0.7081334334725582,87.61,28.59,18.71,22.62,17.99,87.61,34.55,87.61,35.01,4.47293399,5,0.769288,402.92,,,
