edge_id,target_lanes,current_lanes,lane_delta,source_segment_ids,source_directions,source_row_count,dominant_segment_ids,dominant_directions,dominant_match_ratio,repair_reason
578313748#2,3,2,1,S2,upbound,1,S2,upbound,0.4,validated_toegye_dominant_mainline_lane_override
578313749#0,3,3,0,S2,downbound,1,S2,downbound,0.4,validated_toegye_dominant_mainline_lane_override
585341902,2,2,0,S22,downbound,1,S22,downbound,0.714286,validated_toegye_dominant_mainline_lane_override
585341903#0,2,2,0,S22,downbound,1,S22,downbound,0.357143,validated_toegye_dominant_mainline_lane_override
585341906#2,3,2,1,S22,upbound,1,S22,upbound,0.5,validated_toegye_dominant_mainline_lane_override
585341907#2,3,2,1,S22,upbound,1,S22,upbound,0.571429,validated_toegye_dominant_mainline_lane_override
615671502,3,2,1,S22,upbound,1,S22,upbound,0.357143,validated_toegye_dominant_mainline_lane_override
615671505#0,2,4,-2,S22,downbound,1,S22,downbound,0.571429,validated_toegye_dominant_mainline_lane_override
619147738#0,3,2,1,S20 S21,upbound,2,S20,upbound,1.0,validated_toegye_dominant_mainline_lane_override
619147738#1,3,2,1,S22,upbound,1,S22,upbound,0.357143,validated_toegye_dominant_mainline_lane_override
619147739#0,3,2,1,S19 S20,downbound,2,S20,downbound,0.666667,validated_toegye_dominant_mainline_lane_override
619147739#1,3,2,1,S19,downbound,1,S19,downbound,0.37931,validated_toegye_dominant_mainline_lane_override
619147739#3,3,2,1,S19,downbound,1,S19,downbound,0.448276,validated_toegye_dominant_mainline_lane_override
619147739#5,3,2,1,S18,downbound,1,S18,downbound,0.7,validated_toegye_dominant_mainline_lane_override
619147739#6,3,2,1,S18,downbound,1,S18,downbound,0.6,validated_toegye_dominant_mainline_lane_override
619147740,3,2,1,S20 S21,downbound,2,S20,downbound,1.0,validated_toegye_dominant_mainline_lane_override
620607766#0,2,1,1,S12,downbound,1,S12,downbound,0.363636,validated_toegye_dominant_mainline_lane_override
773060736,2,1,1,S11,downbound,1,S11,downbound,0.357143,validated_toegye_dominant_mainline_lane_override
781983103#1,3,2,1,S17,downbound,1,S17,downbound,0.684211,validated_toegye_dominant_mainline_lane_override
781983103#2,3,2,1,S17,downbound,1,S17,downbound,0.631579,validated_toegye_dominant_mainline_lane_override
781983104#0,3,2,1,S17,upbound,1,S17,upbound,0.842105,validated_toegye_dominant_mainline_lane_override
781983104#1,3,2,1,S17 S18,upbound,2,S18,upbound,1.0,validated_toegye_dominant_mainline_lane_override
781985779#0,3,2,1,S10,downbound,1,S10,downbound,0.913043,validated_toegye_dominant_mainline_lane_override
781985784,2,2,0,S11 S12,downbound,2,S11,downbound,1.0,validated_toegye_dominant_mainline_lane_override
781985786#2,3,3,0,S15,downbound,1,S15,downbound,0.777778,validated_toegye_dominant_mainline_lane_override
781985786#3,3,3,0,S14 S15,downbound,2,S14,downbound,0.454545,validated_toegye_dominant_mainline_lane_override
781985786#4,3,3,0,S14,downbound,1,S14,downbound,0.454545,validated_toegye_dominant_mainline_lane_override
781985786#5,3,3,0,S14,downbound,1,S14,downbound,0.409091,validated_toegye_dominant_mainline_lane_override
781985786#6,3,3,0,S13 S14,downbound,2,S13,downbound,0.5,validated_toegye_dominant_mainline_lane_override
781985786#7,3,3,0,S13,downbound,1,S13,downbound,1.0,validated_toegye_dominant_mainline_lane_override
781985786#8,3,3,0,S12 S13,downbound,2,S13,downbound,0.5,validated_toegye_dominant_mainline_lane_override
