method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,delay_A,delay_N,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,8,3,6,bo_r08_003_tl52_dt209_ge43_qr9_tau88,52,209,43,0.09,0.88,209.92,83.13,198.39,91.20,0.00,PASS,,recovery_detected,True,False,0,168,1,29,238.79,79.40,398.18,,,,,,,,,,,,,,198.39,,,
BO,20260607,8,4,6,bo_r08_004_tl53_dt156_ge33_qr38_tau86,53,156,33,0.38,0.86,363.92,89.46,338.97,91.20,0.00,PASS,,recovery_detected,True,False,0,364,0,42,238.79,79.40,398.18,,,,,,,,,,,,,,338.97,,,
BO,20260607,8,5,6,bo_r08_005_tl23_dt153_ge44_qr17_tau73,23,153,44,0.17,0.73,159.92,84.98,153.11,91.20,0.00,PASS,,recovery_detected,True,False,0,249,1,28,238.79,79.40,398.18,,,,,,,,,,,,,,153.11,,,
BO,20260607,8,6,6,bo_r08_006_tl17_dt76_ge27_qr36_tau87,17,76,27,0.36,0.87,159.92,80.82,152.73,91.20,0.00,PASS,,recovery_detected,True,False,0,585,0,33,238.79,79.40,398.18,,,,,,,,,,,,,,152.73,,,
BO,20260607,9,1,6,bo_r09_001_tl106_dt21_ge32_qr45_tau74,106,21,32,0.45,0.74,144.92,75.77,138.63,91.20,0.00,PASS,,recovery_detected,True,False,0,2674,0,19,237.03,80.64,393.42,,,,,,,,,,,,,,138.63,,,
BO,20260607,9,2,6,bo_r09_002_tl105_dt75_ge12_qr84_tau87,105,75,12,0.84,0.87,290.92,92.83,272.91,91.20,0.00,PASS,,recovery_detected,True,False,0,971,0,58,237.03,80.64,393.42,,,,,,,,,,,,,,272.91,,,
BO,20260607,9,3,6,bo_r09_003_tl42_dt234_ge39_qr55_tau84,42,234,39,0.55,0.84,274.92,81.03,257.29,91.20,0.00,PASS,,recovery_detected,True,False,0,245,0,32,237.03,80.64,393.42,,,,,,,,,,,,,,257.29,,,
BO,20260607,9,4,6,bo_r09_004_tl119_dt231_ge27_qr7_tau70,119,231,27,0.07,0.7,287.92,86.12,269.57,91.20,0.00,PASS,,recovery_detected,True,False,0,277,1,43,237.03,80.64,393.42,,,,,,,,,,,,,,269.57,,,
BO,20260607,9,5,6,bo_r09_005_tl57_dt68_ge11_qr91_tau90,57,68,11,0.91,0.9,210.92,88.29,199.77,91.20,0.00,PASS,,recovery_detected,True,False,0,546,0,58,237.03,80.64,393.42,,,,,,,,,,,,,,199.77,,,
BO,20260607,9,6,6,bo_r09_006_tl32_dt111_ge6_qr52_tau83,32,111,6,0.52,0.83,262.92,101.62,248.26,91.20,0.00,PASS,,recovery_detected,True,False,0,1076,0,69,237.03,80.64,393.42,,,,,,,,,,,,,,248.26,,,
BO,20260607,10,1,6,bo_r10_001_tl78_dt33_ge41_qr96_tau79,78,33,41,0.96,0.79,144.92,86.55,139.61,91.20,0.00,PASS,,recovery_detected,True,False,0,1932,0,20,236.37,85.60,387.14,,,,,,,,,,,,,,139.61,,,
BO,20260607,10,2,6,bo_r10_002_tl33_dt142_ge15_qr0_tau74,33,142,15,0.0,0.74,267.92,86.03,251.38,91.20,0.00,PASS,,recovery_detected,True,False,0,802,1,51,236.37,85.60,387.14,,,,,,,,,,,,,,251.38,,,
BO,20260607,10,3,6,bo_r10_003_tl111_dt95_ge35_qr42_tau87,111,95,35,0.42,0.87,370.92,89.35,345.32,91.20,0.00,PASS,,recovery_detected,True,False,0,444,0,41,236.37,85.60,387.14,,,,,,,,,,,,,,345.32,,,
BO,20260607,10,4,6,bo_r10_004_tl119_dt133_ge13_qr83_tau76,119,133,13,0.83,0.76,355.92,93.20,332.04,91.20,0.00,PASS,,recovery_detected,True,False,0,680,0,65,236.37,85.60,387.14,,,,,,,,,,,,,,332.04,,,
BO,20260607,10,5,6,bo_r10_005_tl103_dt217_ge30_qr85_tau82,103,217,30,0.85,0.82,286.92,75.40,267.69,91.20,0.00,PASS,,recovery_detected,True,False,0,292,0,40,236.37,85.60,387.14,,,,,,,,,,,,,,267.69,,,
BO,20260607,10,6,6,bo_r10_006_tl2_dt95_ge46_qr94_tau71,2,95,46,0.94,0.71,162.92,87.44,156.06,91.20,0.00,PASS,,recovery_detected,True,False,0,636,0,22,236.37,85.60,387.14,,,,,,,,,,,,,,156.06,,,
BO,20260607,11,1,6,bo_r11_001_tl70_dt39_ge50_qr97_tau90,70,39,50,0.97,0.9,144.92,88.61,139.80,91.20,0.00,PASS,,recovery_detected,True,False,0,1652,0,18,237.60,86.31,388.89,0.84,0.84,0.63,0.61,0.62,0.61,0.84,0.71,0.84,0.67,-0.17591640,5,1.000000,139.80,,,
BO,20260607,11,2,6,bo_r11_002_tl119_dt36_ge32_qr92_tau87,119,36,32,0.92,0.87,108.92,81.92,106.47,91.20,0.00,PASS,,recovery_detected,True,False,0,1588,0,23,237.60,86.31,388.89,0.84,0.84,0.64,0.61,0.62,0.61,0.84,0.70,0.84,0.67,-0.17591640,5,1.000000,106.47,,,
BO,20260607,11,3,6,bo_r11_003_tl119_dt53_ge41_qr88_tau89,119,53,41,0.88,0.89,190.92,84.80,181.27,91.20,0.00,PASS,,recovery_detected,True,False,0,903,0,27,237.60,86.31,388.89,0.84,0.84,0.65,0.61,0.62,0.61,0.84,0.71,0.84,0.67,-0.17591640,5,1.000000,181.27,,,
BO,20260607,11,4,6,bo_r11_004_tl119_dt97_ge38_qr81_tau88,119,97,38,0.81,0.88,292.92,87.71,274.26,91.20,0.00,PASS,,recovery_detected,True,False,0,378,0,36,237.60,86.31,388.89,0.84,0.84,0.64,0.61,0.62,0.61,0.84,0.70,0.84,0.67,-0.17591640,5,1.000000,274.26,,,
BO,20260607,11,5,6,bo_r11_005_tl115_dt181_ge44_qr91_tau84,115,181,44,0.91,0.84,248.92,80.57,233.62,91.20,0.00,PASS,,recovery_detected,True,False,0,173,0,29,237.60,86.31,388.89,0.83,0.83,0.64,0.61,0.62,0.61,0.83,0.70,0.83,0.67,-0.18206370,5,0.982490,233.62,,,
BO,20260607,11,6,6,bo_r11_006_tl44_dt9_ge38_qr99_tau90,44,9,38,0.99,0.9,177.92,81.68,169.17,91.20,0.00,PASS,,recovery_detected,True,False,0,3579,0,18,237.60,86.31,388.89,0.83,0.83,0.62,0.60,0.61,0.60,0.83,0.70,0.83,0.66,-0.18635102,5,0.970342,169.17,,,
BO,20260607,12,1,6,bo_r12_001_tl119_dt0_ge40_qr60_tau88,119,0,40,0.6,0.88,297.92,84.08,278.48,91.20,0.00,PASS,,recovery_detected,True,False,0,195,0,35,232.73,81.70,383.77,0.98,0.98,0.75,0.71,0.72,0.71,0.98,0.81,0.98,0.78,-0.02518203,5,0.994275,278.48,,,
