route_id,transition_index,from_edge_id,to_edge_id,turn_angle_deg,turn_class
ER_ACC_004,13,180368918#7,180368918#8,2.333,normal
ER_ACC_004,14,180368918#8,218773868#0,1.645,normal
ER_ACC_004,15,218773868#0,218773868#2,6.453,normal
ER_ACC_004,16,218773868#2,218773868#3,0.227,normal
ER_ACC_004,17,218773868#3,218773868#4,1.127,normal
ER_ACC_004,18,218773868#4,218773868#5,0.019,normal
ER_ACC_004,19,218773868#5,218773868#6,0.918,normal
ER_ACC_004,20,218773868#6,-1455512070,1.016,normal
ER_ACC_004,21,-1455512070,-1455512069,1.265,normal
ER_ACC_004,22,-1455512069,428260110,2.189,normal
ER_ACC_004,23,428260110,785130600#0,5.536,normal
ER_ACC_004,24,785130600#0,785130600#1,8.278,normal
ER_ACC_004,25,785130600#1,785130600#2,4.928,normal
ER_ACC_004,26,785130600#2,785130600#3,1.533,normal
ER_ACC_004,27,785130600#3,1455497345,1.122,normal
ER_ACC_004,28,1455497345,218773869#1,1.649,normal
ER_ACC_004,29,218773869#1,218773869#3,1.256,normal
ER_ACC_004,30,218773869#3,218773869#4,1.01,normal
ER_ACC_004,31,218773869#4,218773869#5,2.551,normal
ER_ACC_004,32,218773869#5,218773869#6,2.396,normal
ER_ACC_004,33,218773869#6,218773869#7,5.435,normal
ER_ACC_004,34,218773869#7,218773869#8,20.278,normal
ER_ACC_004,35,218773869#8,219696193#0,7.83,normal
ER_ACC_004,36,219696193#0,219696193#1,0.251,normal
ER_ACC_004,37,219696193#1,219696193#2,5.563,normal
ER_ACC_004,38,219696193#2,781985793#0,11.902,normal
ER_ACC_004,39,781985793#0,420361196,13.997,normal
ER_ACC_004,40,420361196,347237859#0,2.141,normal
ER_ACC_004,41,347237859#0,347237859#1,4.701,normal
ER_ACC_004,42,347237859#1,347237859#2,1.88,normal
ER_ACC_004,43,347237859#2,198691061#0,90.314,normal
ER_ACC_004,44,198691061#0,198691061#1,15.272,normal
ER_ACC_004,45,198691061#1,198691061#2,9.769,normal
ER_ACC_004,46,198691061#2,-198691068,87.503,normal
ER_ACC_004,47,-198691068,-198691090,1.011,normal
ER_ACC_005,1,-381802881#2,-381802847#2,68.415,normal
ER_ACC_005,2,-381802847#2,-183272625#1,83.113,normal
ER_ACC_005,3,-183272625#1,-174870621#2,80.198,normal
ER_ACC_005,4,-174870621#2,-174870621#0,6.265,normal
ER_ACC_005,5,-174870621#0,578313748#0,9.983,normal
ER_ACC_005,6,578313748#0,578313748#2,2.534,normal
ER_ACC_005,7,578313748#2,800229255,1.08,normal
ER_ACC_005,8,800229255,180368918#0,2.43,normal
ER_ACC_005,9,180368918#0,180368918#3,0.87,normal
ER_ACC_005,10,180368918#3,180368918#5,2.577,normal
ER_ACC_005,11,180368918#5,180368918#6,0.01,normal
ER_ACC_005,12,180368918#6,180368918#7,1.311,normal
ER_ACC_005,13,180368918#7,180368918#8,2.333,normal
ER_ACC_005,14,180368918#8,218773868#0,1.645,normal
ER_ACC_005,15,218773868#0,218773868#2,6.453,normal
ER_ACC_005,16,218773868#2,218773868#3,0.227,normal
ER_ACC_005,17,218773868#3,218773868#4,1.127,normal
ER_ACC_005,18,218773868#4,218773868#5,0.019,normal
ER_ACC_005,19,218773868#5,218773868#6,0.918,normal
ER_ACC_005,20,218773868#6,-1455512070,1.016,normal
ER_ACC_005,21,-1455512070,-1455512069,1.265,normal
ER_ACC_005,22,-1455512069,428260110,2.189,normal
ER_ACC_005,23,428260110,785130600#0,5.536,normal
ER_ACC_005,24,785130600#0,785130600#1,8.278,normal
ER_ACC_005,25,785130600#1,785130600#2,4.928,normal
ER_ACC_005,26,785130600#2,785130600#3,1.533,normal
ER_ACC_005,27,785130600#3,1455497345,1.122,normal
ER_ACC_005,28,1455497345,218773869#1,1.649,normal
ER_ACC_005,29,218773869#1,218773869#3,1.256,normal
ER_ACC_005,30,218773869#3,218773869#4,1.01,normal
ER_ACC_005,31,218773869#4,218773869#5,2.551,normal
ER_ACC_005,32,218773869#5,218773869#6,2.396,normal
ER_ACC_005,33,218773869#6,218773869#7,5.435,normal
ER_ACC_005,34,218773869#7,218773869#8,20.278,normal
ER_ACC_005,35,218773869#8,219696192#0,80.322,normal
ER_ACC_005,36,219696192#0,219696192#4,4.949,normal
ER_ACC_005,37,219696192#4,219696192#5,0.675,normal
