edge_id,current_lanes,target_lanes,source_segment_ids,source_directions,total_matched_length_m,max_match_ratio,repair_reason
783692390#0,1,2,S12,downbound,155.55,0.772727,compact_v9_one_edge_one_lane_target_mainroad_min_2
783692390#1,1,2,S11,downbound,9.207,0.071429,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130598#0,2,2,S10 S9,downbound,85.638,0.142857,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130598#1,2,2,S10 S9,downbound,85.881,0.163265,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130598#2,2,2,S9,downbound,210.527,0.44898,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130598#3,2,2,S9,downbound,95.694,0.204082,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130598#4,2,2,S9,downbound,86.124,0.183673,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130598#5,2,2,S9,downbound,114.833,0.244898,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130598#6,2,2,S9,downbound,95.694,0.204082,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130598#7,2,2,S9,downbound,66.986,0.142857,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130598#8,2,2,S8 S9,downbound,114.222,0.833333,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130600#0,2,2,S7,upbound,104.561,0.305556,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130600#1,2,2,S7,upbound,76.044,0.222222,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130600#2,2,2,S7,upbound,199.617,0.583333,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130600#3,2,2,S7 S8,upbound,123.217,0.833333,compact_v9_one_edge_one_lane_target_mainroad_min_2
785130603,1,3,S6 S7,downbound,95.535,0.194444,compact_v9_one_edge_one_lane_target_mainroad_min_2
800229255,2,3,S2 S3,upbound,81.986,0.3,compact_v9_one_edge_one_lane_target_mainroad_min_2
913372757,1,3,S15,upbound,27.183,0.166667,compact_v9_one_edge_one_lane_target_mainroad_min_2
913702834,1,2,S4 S5,upbound,38.036,0.5,compact_v9_one_edge_one_lane_target_mainroad_min_2
921117704#0,2,3,S16 S17,downbound,127.596,0.333333,compact_v9_one_edge_one_lane_target_mainroad_min_2
955312947#1,1,3,S17,downbound,54.063,0.315789,compact_v9_one_edge_one_lane_target_mainroad_min_2
