edge_id,target_lanes,current_lanes,lane_delta,source_segment_ids,source_directions,source_row_count,dominant_segment_ids,dominant_directions,dominant_match_ratio,repair_reason
477063271,2,2,0,S22,downbound,,S22,downbound,0.571429,compact_v9_one_edge_one_lane_target_mainroad_min_2
578313748#0,3,2,1,S2,upbound,,S2,upbound,0.45,compact_v9_one_edge_one_lane_target_mainroad_min_2
578313748#2,3,2,1,S2 S3,upbound,,S2 S3,upbound,0.4,compact_v9_one_edge_one_lane_target_mainroad_min_2
578313749#0,3,3,0,S2,downbound,,S2,downbound,0.3,compact_v9_one_edge_one_lane_target_mainroad_min_2
578313749#1,3,3,0,S2,downbound,,S2,downbound,0.4,compact_v9_one_edge_one_lane_target_mainroad_min_2
585341903#0,2,2,0,S22,downbound,,S22,downbound,0.071429,compact_v9_one_edge_one_lane_target_mainroad_min_2
585341903#1,2,2,0,S22,downbound,,S22,downbound,0.357143,compact_v9_one_edge_one_lane_target_mainroad_min_2
585341906#0,3,2,1,S22,upbound,,S22,upbound,0.285714,compact_v9_one_edge_one_lane_target_mainroad_min_2
585341906#2,3,2,1,S22,upbound,,S22,upbound,0.5,compact_v9_one_edge_one_lane_target_mainroad_min_2
585341907#0,3,2,1,S22,upbound,,S22,upbound,0.285714,compact_v9_one_edge_one_lane_target_mainroad_min_2
585341907#2,3,2,1,S22,upbound,,S22,upbound,0.571429,compact_v9_one_edge_one_lane_target_mainroad_min_2
585341908#0,2,2,0,S22,downbound,,S22,downbound,0.285714,compact_v9_one_edge_one_lane_target_mainroad_min_2
585341908#1,2,2,0,S22,downbound,,S22,downbound,0.285714,compact_v9_one_edge_one_lane_target_mainroad_min_2
615671502,3,2,1,S22,upbound,,S22,upbound,0.357143,compact_v9_one_edge_one_lane_target_mainroad_min_2
615671503,3,2,1,S22,upbound,,S22,upbound,0.285714,compact_v9_one_edge_one_lane_target_mainroad_min_2
619147738#0,3,2,1,S19 S20 S21,upbound,,S19 S20 S21,upbound,1.0,compact_v9_one_edge_one_lane_target_mainroad_min_2
619147738#1,3,2,1,S22,upbound,,S22,upbound,0.357143,compact_v9_one_edge_one_lane_target_mainroad_min_2
619147739#0,3,2,1,S19 S20,downbound,,S19 S20,downbound,0.666667,compact_v9_one_edge_one_lane_target_mainroad_min_2
619147739#1,3,2,1,S19,downbound,,S19,downbound,0.275862,compact_v9_one_edge_one_lane_target_mainroad_min_2
619147739#2,3,2,1,S19,downbound,,S19,downbound,0.310345,compact_v9_one_edge_one_lane_target_mainroad_min_2
619147739#3,3,2,1,S18 S19,downbound,,S18 S19,downbound,0.448276,compact_v9_one_edge_one_lane_target_mainroad_min_2
619147739#4,3,2,1,S18 S19,downbound,,S18 S19,downbound,0.3,compact_v9_one_edge_one_lane_target_mainroad_min_2
619147739#5,3,2,1,S18 S19,downbound,,S18 S19,downbound,0.7,compact_v9_one_edge_one_lane_target_mainroad_min_2
619147739#6,3,2,1,S17 S18,downbound,,S17 S18,downbound,0.6,compact_v9_one_edge_one_lane_target_mainroad_min_2
619147740,3,2,1,S19 S20 S21,downbound,,S19 S20 S21,downbound,1.0,compact_v9_one_edge_one_lane_target_mainroad_min_2
620607766#0,2,1,1,S12,downbound,,S12,downbound,0.363636,compact_v9_one_edge_one_lane_target_mainroad_min_2
620607766#1,2,1,1,S12,downbound,,S12,downbound,0.363636,compact_v9_one_edge_one_lane_target_mainroad_min_2
620607766#2,2,1,1,S12,downbound,,S12,downbound,0.318182,compact_v9_one_edge_one_lane_target_mainroad_min_2
773060736,2,1,1,S10 S11,downbound,,S10 S11,downbound,0.357143,compact_v9_one_edge_one_lane_target_mainroad_min_2
781983103#1,3,2,1,S17 S18,downbound,,S17 S18,downbound,0.684211,compact_v9_one_edge_one_lane_target_mainroad_min_2
781983103#2,3,2,1,S16 S17,downbound,,S16 S17,downbound,0.631579,compact_v9_one_edge_one_lane_target_mainroad_min_2
781983104#0,3,2,1,S16 S17,upbound,,S16 S17,upbound,0.842105,compact_v9_one_edge_one_lane_target_mainroad_min_2
781983104#1,3,2,1,S17 S18 S19,upbound,,S17 S18 S19,upbound,1.0,compact_v9_one_edge_one_lane_target_mainroad_min_2
781985779#0,3,2,1,S10 S11,downbound,,S10 S11,downbound,0.304348,compact_v9_one_edge_one_lane_target_mainroad_min_2
781985779#1,3,2,1,S10,downbound,,S10,downbound,0.478261,compact_v9_one_edge_one_lane_target_mainroad_min_2
781985783,2,2,0,S10 S11 S12,downbound,,S10 S11 S12,downbound,1.0,compact_v9_one_edge_one_lane_target_mainroad_min_2
781985784,2,2,0,S12,downbound,,S12,downbound,0.772727,compact_v9_one_edge_one_lane_target_mainroad_min_2
781985786#1,3,3,0,S15,downbound,,S15,downbound,0.111111,compact_v9_one_edge_one_lane_target_mainroad_min_2
781985786#2,3,3,0,S15,downbound,,S15,downbound,0.777778,compact_v9_one_edge_one_lane_target_mainroad_min_2
781985786#3,3,3,0,S14 S15,downbound,,S14 S15,downbound,0.454545,compact_v9_one_edge_one_lane_target_mainroad_min_2
781985786#4,3,3,0,S14,downbound,,S14,downbound,0.454545,compact_v9_one_edge_one_lane_target_mainroad_min_2
781985786#5,3,3,0,S14,downbound,,S14,downbound,0.409091,compact_v9_one_edge_one_lane_target_mainroad_min_2
781985786#6,3,3,0,S13 S14,downbound,,S13 S14,downbound,0.5,compact_v9_one_edge_one_lane_target_mainroad_min_2
781985786#7,3,3,0,S12 S13 S14,downbound,,S12 S13 S14,downbound,1.0,compact_v9_one_edge_one_lane_target_mainroad_min_2
781985786#8,2,3,-1,S12 S13,downbound,,S12 S13,downbound,0.5,compact_v9_one_edge_one_lane_target_mainroad_min_2
781985787#0,3,2,1,S15,upbound,,S15,upbound,0.722222,compact_v9_one_edge_one_lane_target_mainroad_min_2
781985789#0,3,1,2,S16,upbound,,S16,upbound,0.333333,compact_v9_one_edge_one_lane_target_mainroad_min_2
781985789#1,3,1,2,S16,upbound,,S16,upbound,0.333333,compact_v9_one_edge_one_lane_target_mainroad_min_2
781985792#0,3,2,1,S10,downbound,,S10,downbound,0.391304,compact_v9_one_edge_one_lane_target_mainroad_min_2
781985792#1,3,2,1,S10,downbound,,S10,downbound,0.347826,compact_v9_one_edge_one_lane_target_mainroad_min_2
781985792#2,3,2,1,S10,downbound,,S10,downbound,0.521739,compact_v9_one_edge_one_lane_target_mainroad_min_2
