input_method,input_seed,input_round,input_parameter_id,input_t_lead,input_delta_T_thr,input_G_ext,input_Q_ratio,input_tau,output_D_E_sec,output_D_G_sec,weight_E,weight_G,weight_ratio,score,measured_T_free_EMV_sec,measured_T_actual_EMV_sec,measured_D_E_sec,measured_D_G_sec,measured_general_mean_travel_time_sec,stage2_on_count,stage3_on_count
BO,20260607,3,bo_r03_002_tl47_dt96_ge27_qr36_tau79,47,96,27,0.36,0.79,60.00,112.89,0.91,0.09,10:1,64.81,218.00,278.00,60.00,112.89,181.29,,
BO,20260607,3,bo_r03_003_tl57_dt62_ge28_qr34_tau76,57,62,28,0.34,0.76,60.00,115.38,0.91,0.09,10:1,65.03,218.00,278.00,60.00,115.38,181.54,,
BO,20260607,3,bo_r03_004_tl67_dt59_ge24_qr33_tau76,67,59,24,0.33,0.76,60.00,115.99,0.91,0.09,10:1,65.09,218.00,278.00,60.00,115.99,181.60,,
BO,20260607,3,bo_r03_005_tl25_dt61_ge50_qr33_tau78,25,61,50,0.33,0.78,86.86,117.49,0.91,0.09,10:1,89.64,218.00,304.86,86.86,117.49,181.75,,
BO,20260607,3,bo_r03_006_tl105_dt216_ge1_qr96_tau82,105,216,1,0.96,0.82,60.00,113.99,0.91,0.09,10:1,64.91,218.00,278.00,60.00,113.99,181.40,,
BO,20260607,4,bo_r04_001_tl47_dt95_ge27_qr34_tau79,47,95,27,0.34,0.79,60.00,112.71,0.91,0.09,10:1,64.79,218.00,278.00,60.00,112.71,181.27,,
BO,20260607,4,bo_r04_002_tl47_dt98_ge27_qr35_tau80,47,98,27,0.35,0.8,60.00,112.75,0.91,0.09,10:1,64.80,218.00,278.00,60.00,112.75,181.27,,
BO,20260607,4,bo_r04_003_tl48_dt87_ge25_qr15_tau82,48,87,25,0.15,0.82,60.00,114.84,0.91,0.09,10:1,64.99,218.00,278.00,60.00,114.84,181.48,,
BO,20260607,4,bo_r04_004_tl43_dt87_ge30_qr21_tau80,43,87,30,0.21,0.8,65.56,115.38,0.91,0.09,10:1,70.09,218.00,283.56,65.56,115.38,181.54,,
BO,20260607,4,bo_r04_005_tl19_dt92_ge10_qr0_tau78,19,92,10,0.0,0.78,276.50,106.97,0.91,0.09,10:1,261.09,218.00,494.50,276.50,106.97,180.70,,
BO,20260607,4,bo_r04_006_tl112_dt224_ge0_qr100_tau82,112,224,0,1.0,0.82,60.00,114.89,0.91,0.09,10:1,64.99,218.00,278.00,60.00,114.89,181.49,,
BO,20260607,5,bo_r05_001_tl47_dt94_ge27_qr34_tau79,47,94,27,0.34,0.79,60.00,112.82,0.91,0.09,10:1,64.80,218.00,278.00,60.00,112.82,181.28,,
BO,20260607,5,bo_r05_002_tl47_dt97_ge27_qr35_tau80,47,97,27,0.35,0.8,60.00,112.34,0.91,0.09,10:1,64.76,218.00,278.00,60.00,112.34,181.23,,
BO,20260607,5,bo_r05_003_tl40_dt119_ge23_qr61_tau75,40,119,23,0.61,0.75,132.02,110.78,0.91,0.09,10:1,130.09,218.00,350.02,132.02,110.78,181.08,,
BO,20260607,5,bo_r05_004_tl54_dt138_ge34_qr46_tau75,54,138,34,0.46,0.75,60.00,117.24,0.91,0.09,10:1,65.20,218.00,278.00,60.00,117.24,181.72,,
BO,20260607,5,bo_r05_005_tl84_dt16_ge34_qr98_tau88,84,16,34,0.98,0.88,60.00,122.21,0.91,0.09,10:1,65.66,218.00,278.00,60.00,122.21,182.22,,
BO,20260607,5,bo_r05_006_tl108_dt207_ge1_qr18_tau85,108,207,1,0.18,0.85,60.00,117.14,0.91,0.09,10:1,65.19,218.00,278.00,60.00,117.14,181.71,,
