method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,observed_score,best_so_far,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,bo_selection_strategy,bo_candidate_source,bo_plateau_mode,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score
BO,20260607,2,5,6,bo_r02_005_tl48_dt98_ge28_qr35_tau79,48,98,28,0.35,0.79,64.88,64.88,65.15,64.84,65.45,0.03,24.78,incumbent_exploitation,global,False,16.25,4.75,3.16,4.08,3.14,16.25,6.23,16.25,6.27,2.78789780,5,0.651634
BO,20260607,2,6,6,bo_r02_006_tl11_dt220_ge1_qr98_tau74,11,220,1,0.98,0.74,382.35,64.88,65.32,64.75,65.88,0.29,0.29,ei,global,False,0.16,0.03,0.02,0.04,0.03,0.16,0.06,0.16,0.06,-1.83161652,5,0.554481
BO,20260607,3,1,6,bo_r03_001_tl47_dt96_ge27_qr34_tau79,47,96,27,0.34,0.79,64.79,64.79,64.71,58.17,71.25,23.47,103.98,surrogate_mean_rank,stable_success,False,67.45,19.65,13.06,16.94,12.98,67.45,25.80,67.45,25.98,4.21140369,5,0.644667
BO,20260607,3,2,6,bo_r03_002_tl47_dt96_ge27_qr36_tau79,47,96,27,0.36,0.79,64.81,64.79,64.59,58.02,71.15,27.67,103.87,surrogate_mean_rank,stable_success,False,67.88,19.73,13.13,17.02,13.08,67.88,26.05,67.88,26.15,4.21770610,5,0.649467
BO,20260607,3,3,6,bo_r03_003_tl57_dt62_ge28_qr34_tau76,57,62,28,0.34,0.76,65.03,64.79,64.88,60.62,69.14,396.30,393.83,ei,local,False,255.12,78.93,51.70,65.63,49.84,255.12,95.99,255.12,99.54,5.54173453,5,0.643756
BO,20260607,3,4,6,bo_r03_004_tl67_dt59_ge24_qr33_tau76,67,59,24,0.33,0.76,65.09,64.79,62.60,42.78,82.43,392.22,389.80,ei,local,False,254.24,81.56,52.99,66.32,50.23,254.24,94.94,254.24,100.05,5.53826261,5,0.648200
BO,20260607,3,5,6,bo_r03_005_tl25_dt61_ge50_qr33_tau78,25,61,50,0.33,0.78,89.64,64.79,75.73,-44.48,195.95,382.46,380.28,ei,global,False,257.94,71.25,48.16,63.16,49.48,257.94,101.61,257.94,98.60,5.55274517,5,0.674432
BO,20260607,3,6,6,bo_r03_006_tl105_dt216_ge1_qr96_tau82,105,216,1,0.96,0.82,64.91,64.79,344.26,276.10,412.41,52.99,52.82,ei,global,False,43.31,13.81,9.12,11.01,8.93,43.31,17.49,43.31,17.28,3.76830064,5,0.817190
BO,20260607,4,1,6,bo_r04_001_tl47_dt95_ge27_qr34_tau79,47,95,27,0.34,0.79,64.79,64.79,64.94,62.93,66.95,10.88,77.30,incumbent_exploitation,stable_success,False,50.17,14.61,9.71,12.60,9.65,50.17,19.19,50.17,19.32,3.91535698,5,0.644957
BO,20260607,4,2,6,bo_r04_002_tl47_dt98_ge27_qr35_tau80,47,98,27,0.35,0.8,64.80,64.79,65.15,63.05,67.25,4.40,71.43,incumbent_exploitation,stable_success,False,47.24,13.69,9.12,11.81,9.12,47.24,18.23,47.24,18.20,3.85533496,5,0.657487
BO,20260607,4,3,6,bo_r04_003_tl48_dt87_ge25_qr15_tau82,48,87,25,0.15,0.82,64.99,64.79,64.23,53.53,74.93,153.11,152.12,ei,local,False,96.47,28.44,18.81,24.41,18.52,96.47,36.46,96.47,37.18,4.56922582,5,0.630076
BO,20260607,4,4,6,bo_r04_004_tl43_dt87_ge30_qr21_tau80,43,87,30,0.21,0.8,70.09,64.79,64.40,48.64,80.16,152.72,151.73,ei,local,False,96.10,27.94,18.55,24.19,18.38,96.10,36.43,96.10,36.93,4.56535294,5,0.629239
BO,20260607,4,5,6,bo_r04_005_tl19_dt92_ge10_qr0_tau78,19,92,10,0.0,0.78,261.09,64.79,254.31,187.22,321.40,200.34,198.40,ei,global,False,89.12,22.00,14.69,22.23,14.74,89.12,29.59,89.12,32.06,4.49002470,5,0.444853
BO,20260607,4,6,6,bo_r04_006_tl112_dt224_ge0_qr100_tau82,112,224,0,1.0,0.82,64.99,64.79,66.26,29.49,103.04,36.01,35.91,ei,local,False,30.05,9.73,6.41,7.68,6.24,30.05,12.16,30.05,12.05,3.40294302,5,0.834500
BO,20260607,5,1,6,bo_r05_001_tl47_dt94_ge27_qr34_tau79,47,94,27,0.34,0.79,64.80,64.79,64.98,63.24,66.72,10.42,77.30,incumbent_exploitation,stable_success,False,50.19,14.62,9.72,12.61,9.66,50.19,19.20,50.19,19.33,3.91580680,5,0.645247
BO,20260607,5,2,6,bo_r05_002_tl47_dt97_ge27_qr35_tau80,47,97,27,0.35,0.8,64.76,64.76,64.96,63.18,66.74,0.14,71.43,incumbent_exploitation,stable_success,False,47.27,13.69,9.13,11.82,9.12,47.27,18.24,47.27,18.21,3.85577621,5,0.657777
BO,20260607,5,3,6,bo_r05_003_tl40_dt119_ge23_qr61_tau75,40,119,23,0.61,0.75,130.09,64.76,90.03,70.41,109.64,109.85,109.14,ei,local,False,69.48,19.13,12.88,17.12,13.13,69.48,26.75,69.48,26.41,4.24106939,5,0.632512
BO,20260607,5,4,6,bo_r05_004_tl54_dt138_ge34_qr46_tau75,54,138,34,0.46,0.75,65.20,64.76,65.42,56.87,73.97,106.72,106.07,ei,local,False,69.72,21.08,13.89,17.74,13.58,69.72,26.54,69.72,27.09,4.24447715,5,0.653311
BO,20260607,5,5,6,bo_r05_005_tl84_dt16_ge34_qr98_tau88,84,16,34,0.98,0.88,65.66,64.76,68.74,13.56,123.92,125.69,125.69,ei,global,False,125.69,38.87,26.22,31.24,26.83,125.69,54.87,125.69,50.62,4.83382044,5,1.000000
BO,20260607,5,6,6,bo_r05_006_tl108_dt207_ge1_qr18_tau85,108,207,1,0.18,0.85,65.19,64.76,65.03,16.53,113.53,124.20,123.48,ei,global,False,83.37,29.19,18.64,22.48,17.00,83.37,30.73,83.37,33.57,4.42330738,5,0.671294
